trade_date,trigger_ts,tf,direction,kind,pattern,htf_flag,confluence,entry_variant,limit_price,fill_ts,entry,stop_initial,target_name,target_level,working_target,exit_ts,exit_price,exit_reason,points,r_multiple,size,dollars,slippage_ticks,mgmt_variant,mfe_r,mae_r
2026-04-01,2026-04-01T09:47:00-04:00,1min,long,rejection_block,B2,with_trend,3,E3,24092.0,2026-04-01T09:48:00-04:00,24065.75,24082.25,profile_vah,24173.875,24171.5,2026-04-01T09:48:00-04:00,24064.75,stop,-1.0,-0.1026,1.0,-25.0,4,V8,1.29,-0.42
2026-04-01,2026-04-01T09:49:00-04:00,1min,short,rejection_block,A,counter_trend,3,E3,24080.25,2026-04-01T09:50:00-04:00,24080.25,24087.0,walkout_ny_session_low,24043.25,24045.75,2026-04-01T09:50:00-04:00,24088.0,stop,-7.75,-1.1481,1.0,-160.0,4,V8,2.26,-3.11
2026-04-02,2026-04-02T08:49:00-04:00,1min,long,displacement,B,counter_trend,3,E3,23744.0,2026-04-02T08:54:00-04:00,23744.0,23736.75,walkout_profile_poc,23830.125,23827.5,2026-04-02T08:57:00-04:00,23743.0,partial+stop,3.75,0.5172,1.0,70.0,1,V8,1.62,-0.83
2026-04-02,2026-04-02T09:00:00-04:00,5min,short,displacement,B,with_trend,3,E3,23734.75,2026-04-02T09:01:00-04:00,23734.75,23754.25,london_session_low,23666.0,23668.5,2026-04-02T09:28:00-04:00,23754.5,stop,-19.75,-1.0128,1.0,-400.0,1,V8,1.41,-1.29
2026-04-06,2026-04-06T08:36:00-04:00,3min,long,displacement,B,range,3,E3,24314.25,2026-04-06T08:40:00-04:00,24314.25,24305.25,walkout_prior_week_high,24348.25,24345.75,2026-04-06T08:52:00-04:00,24315.25,partial+stop,6.75,0.75,1.0,130.0,1,V8,2.64,-0.67
2026-04-06,2026-04-06T10:06:00-04:00,3min,short,displacement,B,range,3,E3,24299.0,2026-04-06T10:07:00-04:00,24299.0,24362.75,walkout_daily_vwap_lower_1,24154.82333851275,24157.25,2026-04-06T10:15:00-04:00,24363.0,stop,-64.0,-1.0039,0.5,-645.0,1,V8,0.3,-1.17
2026-04-07,2026-04-07T08:22:00-04:00,2min,long,displacement,B,range,3,E3,24217.0,2026-04-07T08:23:00-04:00,24217.0,24195.5,asia_session_high,24384.0,24381.5,2026-04-07T08:43:00-04:00,24194.5,stop,-22.5,-1.0465,1.0,-455.0,4,V8,1.51,-1.08
2026-04-07,2026-04-07T09:01:00-04:00,1min,short,displacement,B,range,3,E3,24209.5,2026-04-07T09:02:00-04:00,24218.75,24221.75,asia_session_low,24153.0,24155.5,2026-04-07T09:02:00-04:00,24222.0,stop,-3.25,-0.2653,1.0,-70.0,1,V8,0.17,-2.42
2026-04-08,2026-04-08T08:00:00-04:00,5min,short,rejection_block,B2,with_trend,3,E3,25212.0,2026-04-08T08:01:00-04:00,25220.0,25219.0,walkout_london_session_low,25134.25,25136.75,2026-04-08T08:01:00-04:00,25220.25,stop,-0.25,-0.0357,1.0,-10.0,1,V8,5.25,-4.25
2026-04-09,2026-04-09T09:36:00-04:00,3min,short,rejection_block,A,counter_trend,3,E3,25051.0,2026-04-09T09:37:00-04:00,25056.0,25057.0,daily_vwap_mid,25023.730271828215,25026.25,2026-04-09T09:37:00-04:00,25057.25,stop,-1.25,-0.2083,1.0,-30.0,1,V8,7.25,-13.75
2026-04-09,2026-04-09T09:37:00-04:00,1min,long,displacement,B,with_trend,3,E3,25052.75,2026-04-09T09:38:00-04:00,25050.0,25023.25,walkout_prior_day_high,25257.0,25254.5,2026-04-09T09:51:00-04:00,25050.5,partial+stop,7.75,0.2627,1.0,150.0,1,V8,2.3,-0.87
2026-04-10,2026-04-10T09:35:00-04:00,5min,long,rejection_block,A,with_trend,3,E3,25318.25,2026-04-10T09:36:00-04:00,25313.75,25309.25,ny_vwap_mid,25342.060228667317,25339.5,2026-04-10T09:37:00-04:00,25339.5,target,25.75,2.8611,1.0,510.0,0,V8,8.39,-0.28
2026-04-10,2026-04-10T09:44:00-04:00,2min,short,displacement,B,counter_trend,4,E3,25309.25,2026-04-10T09:45:00-04:00,25324.5,25336.75,walkout_profile_val,25246.625,25249.0,2026-04-10T09:45:00-04:00,25337.75,stop,-13.25,-0.4818,1.0,-270.0,4,V8,0.1,-1.53
2026-04-13,2026-04-13T08:15:00-04:00,5min,long,displacement,B,with_trend,3,E3,25114.5,2026-04-13T08:16:00-04:00,25114.5,25105.25,walkout_daily_vwap_upper_2,25189.35288559195,25186.75,2026-04-13T08:21:00-04:00,25112.25,partial+stop,1.125,0.1216,1.0,17.5,1,V8,0.78,-0.22
2026-04-13,2026-04-13T08:27:00-04:00,3min,long,rejection_block,B2,with_trend,3,E3,25122.0,2026-04-13T08:28:00-04:00,25122.0,25115.75,prior_day_low,25193.0,25190.5,2026-04-13T09:20:00-04:00,25190.5,target,68.5,10.96,1.0,1365.0,0,V8,11.12,-0.8
2026-04-15,2026-04-15T08:00:00-04:00,5min,short,rejection_block,B2,with_trend,3,E3,25998.25,2026-04-15T08:01:00-04:00,26000.25,26008.5,walkout_asia_session_low,25966.0,25968.5,2026-04-15T08:05:00-04:00,25968.5,partial+target,27.6875,2.7012,1.0,548.75,0,V8,3.88,-0.73
2026-04-15,2026-04-15T08:06:00-04:00,3min,short,displacement,B,with_trend,3,E3,25978.75,2026-04-15T08:07:00-04:00,25978.75,26001.25,walkout_prior_day_low,25560.0,25562.5,2026-04-15T08:21:00-04:00,25979.5,partial+stop,0.6875,0.0306,1.0,8.75,4,V8,0.81,-0.49
2026-04-16,2026-04-16T08:56:00-04:00,1min,long,displacement,B,range,4,E3,26403.25,2026-04-16T08:57:00-04:00,26401.0,26395.25,asia_session_high,26486.0,26483.5,2026-04-16T09:23:00-04:00,26395.0,stop,-6.0,-0.75,1.0,-125.0,1,V8,4.7,-1.09
2026-04-20,2026-04-20T08:58:00-04:00,2min,long,displacement,B,range,3,E3,26752.0,2026-04-20T08:59:00-04:00,26752.0,26744.75,london_session_high,26776.0,26773.5,2026-04-20T09:08:00-04:00,26744.5,stop,-7.5,-1.0345,1.0,-155.0,1,V8,7.03,-1.79
2026-04-20,2026-04-20T09:08:00-04:00,2min,short,displacement,B,range,3,E3,26756.5,2026-04-20T09:09:00-04:00,26781.0,26769.0,asia_session_high,26714.75,26717.25,2026-04-20T09:09:00-04:00,26781.25,stop,-0.25,-0.02,1.0,-10.0,1,V8,1.54,-0.54
2026-04-21,2026-04-21T08:20:00-04:00,5min,short,rejection_block,A,counter_trend,3,E3,26853.25,2026-04-21T08:28:00-04:00,26853.25,26859.5,daily_vwap_mid,26833.095230648745,26835.5,2026-04-21T08:29:00-04:00,26860.5,stop,-7.25,-1.16,1.0,-150.0,4,V8,1.08,-1.2
2026-04-21,2026-04-21T08:29:00-04:00,1min,long,displacement,B,with_trend,3,E3,26853.25,2026-04-21T08:30:00-04:00,26853.25,26846.5,walkout_prior_week_high,26884.75,26882.25,2026-04-21T08:37:00-04:00,26849.5,partial+stop,0.125,0.0185,1.0,-2.5,4,V8,2.89,-0.67
2026-04-22,2026-04-22T08:49:00-04:00,1min,short,displacement,B,range,3,E3,26826.25,2026-04-22T08:50:00-04:00,26826.25,26842.5,london_session_low,26779.75,26782.25,2026-04-22T09:09:00-04:00,26842.75,stop,-16.5,-1.0154,1.0,-335.0,1,V8,0.57,-3.0
2026-04-22,2026-04-22T09:35:00-04:00,5min,short,displacement,B,range,3,E3,26826.25,2026-04-22T09:36:00-04:00,26826.25,26892.75,walkout_prior_day_low,26551.75,26554.25,2026-04-22T09:59:00-04:00,26863.5,partial+stop,-12.25,-0.1842,0.5,-127.5,1,V8,0.22,-0.81
2026-04-23,2026-04-23T09:37:00-04:00,1min,long,rejection_block,B2,with_trend,3,E3,27018.25,2026-04-23T09:38:00-04:00,27018.25,27010.75,walkout_daily_vwap_upper_1,27036.704183485173,27034.25,2026-04-23T09:38:00-04:00,27034.25,target,16.0,2.1333,1.0,315.0,0,V8,2.87,-0.7
2026-04-23,2026-04-23T10:10:00-04:00,5min,long,rejection_block,B2,with_trend,3,E3,27000.0,2026-04-23T10:11:00-04:00,27000.0,26989.0,profile_vah,27063.625,27061.0,2026-04-23T10:13:00-04:00,26988.75,stop,-11.25,-1.0227,1.0,-230.0,1,V8,1.09,-1.3
2026-04-27,2026-04-27T10:02:00-04:00,2min,long,rejection_block,B2,with_trend,3,E3,27399.0,2026-04-27T10:03:00-04:00,27382.75,27387.0,ny_session_high,27435.0,27432.5,2026-04-27T10:03:00-04:00,27382.5,stop,-0.25,-0.0208,1.0,-10.0,1,V8,4.18,-0.12
2026-04-27,2026-04-27T10:03:00-04:00,3min,short,displacement,B,counter_trend,3,E3,27391.0,2026-04-27T10:04:00-04:00,27398.5,27409.5,walkout_ny_vwap_lower_1,27347.564350203018,27350.0,2026-04-27T10:11:00-04:00,27350.0,partial+target,31.375,1.6959,1.0,622.5,0,V8,4.57,-0.43
2026-04-28,2026-04-28T09:31:00-04:00,1min,short,displacement,B,range,3,E3,27100.0,2026-04-28T09:32:00-04:00,27100.0,27162.5,walkout_daily_vwap_lower_2,26962.87336431092,26965.25,2026-04-28T09:35:00-04:00,27162.75,stop,-62.75,-1.004,0.5,-632.5,1,V8,0.3,-1.22
2026-04-29,2026-04-29T08:40:00-04:00,5min,long,displacement,B,range,3,E3,27228.5,2026-04-29T08:48:00-04:00,27228.5,27201.5,london_session_high,27288.5,27286.0,2026-04-29T09:23:00-04:00,27201.25,stop,-27.25,-1.0093,1.0,-550.0,1,V8,0.84,-1.11
2026-04-29,2026-04-29T09:55:00-04:00,5min,long,displacement,B,counter_trend,3,E3,27221.5,2026-04-29T09:58:00-04:00,27221.5,27177.0,walkout_asia_session_high,27317.25,27314.75,2026-04-29T10:01:00-04:00,27200.5,partial+stop,-6.875,-0.1545,0.5,-73.75,1,V8,0.2,-0.74
2026-04-30,2026-04-30T09:46:00-04:00,2min,long,displacement,B,with_trend,3,E3,27358.5,2026-04-30T09:47:00-04:00,27307.5,27320.5,walkout_ny_vwap_upper_2,27453.294317190175,27450.75,2026-04-30T09:47:00-04:00,27307.25,stop,-0.25,-0.0066,1.0,-10.0,1,V8,1.33,-1.63
2026-04-30,2026-04-30T10:05:00-04:00,5min,long,displacement,B,with_trend,3,E3,27286.5,2026-04-30T10:06:00-04:00,27276.5,27236.25,prior_day_high,27414.0,27411.5,2026-04-30T10:08:00-04:00,27236.0,stop,-40.5,-0.806,0.5,-410.0,1,V8,0.61,-1.75
