trade_date,trigger_ts,tf,direction,kind,pattern,htf_flag,confluence,entry_variant,limit_price,fill_ts,entry,stop_initial,target_name,target_level,working_target,exit_ts,exit_price,exit_reason,points,r_multiple,size,dollars,slippage_ticks,mgmt_variant,mfe_r,mae_r
2026-02-03,2026-02-03T08:25:00-05:00,5min,short,displacement,B,with_trend,3,E3,25985.5,2026-02-03T08:26:00-05:00,25985.5,25995.25,prior_day_high,25949.5,25952.0,2026-02-03T08:26:00-05:00,25995.5,stop,-10.0,-1.0256,1.0,-205.0,1,V8,0.59,-1.0
2026-02-03,2026-02-03T08:27:00-05:00,3min,long,displacement,B,counter_trend,3,E3,25991.0,2026-02-03T08:28:00-05:00,25991.0,25976.0,london_session_high,26024.0,26021.5,2026-02-03T08:40:00-05:00,25975.75,stop,-15.25,-1.0167,1.0,-310.0,1,V8,0.57,-1.0
2026-02-04,2026-02-04T09:30:00-05:00,5min,long,displacement,B,counter_trend,3,E3,25378.0,2026-02-04T09:31:00-05:00,25308.25,25356.25,london_session_high,25509.5,25507.0,2026-02-04T09:31:00-05:00,25308.0,stop,-0.25,-0.0115,1.0,-10.0,1,V8,0.03,-1.13
2026-02-09,2026-02-09T09:26:00-05:00,2min,long,displacement,B,range,3,E3,25063.5,2026-02-09T09:28:00-05:00,25063.5,25044.0,asia_session_low,25120.75,25118.25,2026-02-09T09:30:00-05:00,25057.5,be_stop,-6.0,-0.3077,1.0,-125.0,1,V8,0.59,-5.1
2026-02-09,2026-02-09T10:02:00-05:00,2min,long,displacement,B,range,3,E3,25137.0,2026-02-09T10:03:00-05:00,25106.25,25104.5,london_session_high,25215.25,25212.75,2026-02-09T10:03:00-05:00,25104.25,stop,-2.0,-0.0615,1.0,-45.0,1,V8,23.86,-2.0
2026-02-10,2026-02-10T08:21:00-05:00,3min,long,displacement,B,range,4,E3,25336.0,2026-02-10T08:22:00-05:00,25325.25,25325.5,asia_session_high,25395.5,25393.0,2026-02-10T08:22:00-05:00,25324.25,stop,-1.0,-0.0952,1.0,-25.0,4,V8,22.0,-17.0
2026-02-10,2026-02-10T09:34:00-05:00,2min,short,rejection_block,A,range,3,E3,25372.25,2026-02-10T09:35:00-05:00,25372.25,25394.0,walkout_daily_vwap_lower_1,25321.935302229725,25324.5,2026-02-10T09:36:00-05:00,25324.5,partial+target,37.0,1.7011,1.0,735.0,0,V8,2.23,-0.25
2026-02-11,2026-02-11T09:47:00-05:00,1min,short,displacement,B,counter_trend,3,E3,25394.0,2026-02-11T09:48:00-05:00,25394.0,25436.75,data_extreme_Non-Farm Employm,25238.75,25241.25,2026-02-11T10:09:00-05:00,25241.25,partial+target,100.625,2.3538,0.5,1001.25,0,V8,3.74,-0.49
2026-02-12,2026-02-12T09:34:00-05:00,2min,long,displacement,B,range,3,E3,25366.0,2026-02-12T09:35:00-05:00,25358.25,25338.75,walkout_daily_vwap_upper_2,25423.096415411896,25420.5,2026-02-12T09:35:00-05:00,25338.5,stop,-19.75,-0.7248,1.0,-400.0,1,V8,0.51,-1.26
2026-02-13,2026-02-13T09:56:00-05:00,2min,long,displacement,B,range,3,E3,24745.75,2026-02-13T09:57:00-05:00,24692.25,24728.5,london_session_high,24823.25,24820.75,2026-02-13T09:57:00-05:00,24692.0,stop,-0.25,-0.0145,1.0,-10.0,1,V8,0.57,-0.31
2026-02-13,2026-02-13T10:06:00-05:00,3min,short,displacement,B,range,4,E3,24722.0,2026-02-13T10:07:00-05:00,24765.75,24778.75,walkout_ny_session_low,24578.75,24581.25,2026-02-13T10:08:00-05:00,24779.0,stop,-13.25,-0.2335,0.5,-137.5,1,V8,3.38,-2.56
2026-02-16,2026-02-16T09:51:00-05:00,3min,long,displacement,B,range,3,E3,24738.0,2026-02-16T09:52:00-05:00,24736.0,24707.0,walkout_daily_vwap_mid,24818.546555249577,24816.0,2026-02-16T10:11:00-05:00,24770.75,partial+stop,26.625,0.8589,1.0,527.5,1,V8,2.12,-0.06
2026-02-17,2026-02-17T08:24:00-05:00,3min,short,rejection_block,B2,with_trend,3,E3,24600.25,2026-02-17T08:25:00-05:00,24611.75,24614.5,walkout_asia_session_low,24558.25,24560.75,2026-02-17T08:25:00-05:00,24615.5,stop,-3.75,-0.2632,1.0,-80.0,4,V8,2.27,-3.91
2026-02-17,2026-02-17T08:25:00-05:00,5min,long,displacement,B,counter_trend,3,E3,24610.0,2026-02-17T08:26:00-05:00,24606.75,24551.25,walkout_daily_vwap_upper_1,24734.603737551526,24732.0,2026-02-17T09:16:00-05:00,24643.25,partial+stop,50.25,0.8553,0.5,497.5,1,V8,1.77,-0.54
2026-02-18,2026-02-18T08:17:00-05:00,1min,short,displacement,B,range,3,E3,24883.25,2026-02-18T08:18:00-05:00,24883.5,24891.5,asia_session_high,24847.0,24849.5,2026-02-18T08:26:00-05:00,24891.75,stop,-8.25,-1.0,1.0,-170.0,1,V8,2.06,-1.22
2026-02-18,2026-02-18T09:48:00-05:00,3min,long,rejection_block,A,counter_trend,3,E3,24831.75,2026-02-18T09:49:00-05:00,24822.5,24823.0,walkout_ny_vwap_upper_2,24867.75012101213,24865.25,2026-02-18T09:49:00-05:00,24822.25,stop,-0.25,-0.0286,1.0,-10.0,1,V8,3.0,-57.5
2026-02-19,2026-02-19T08:00:00-05:00,5min,short,displacement,B,range,3,E3,24868.75,2026-02-19T08:01:00-05:00,24869.5,24875.5,london_session_low,24815.0,24817.5,2026-02-19T08:02:00-05:00,24875.75,stop,-6.25,-0.9259,1.0,-130.0,1,V8,1.42,-1.42
2026-02-19,2026-02-19T08:37:00-05:00,1min,long,displacement,B,range,3,E3,24865.75,2026-02-19T08:39:00-05:00,24865.75,24849.5,asia_session_low,24916.25,24913.75,2026-02-19T08:44:00-05:00,24848.5,partial+stop,-6.6875,-0.4115,1.0,-138.75,4,V8,0.88,-1.0
