trade_date,trigger_ts,tf,direction,kind,pattern,htf_flag,confluence,entry_variant,limit_price,fill_ts,entry,stop_initial,target_name,target_level,working_target,exit_ts,exit_price,exit_reason,points,r_multiple,size,dollars,slippage_ticks,mgmt_variant,mfe_r,mae_r
2026-03-02,2026-03-02T08:34:00-05:00,2min,short,displacement,B,range,3,E3,24683.5,2026-03-02T08:35:00-05:00,24696.25,24706.25,asia_session_low,24528.0,24530.5,2026-03-02T09:06:00-05:00,24632.25,partial+stop,46.125,2.0275,1.0,917.5,1,V8,10.35,-0.33
2026-03-02,2026-03-02T09:07:00-05:00,1min,long,displacement,B,range,3,E3,24643.0,2026-03-02T09:08:00-05:00,24643.0,24625.75,london_session_high,24739.25,24736.75,2026-03-02T09:13:00-05:00,24625.5,stop,-17.5,-1.0145,1.0,-355.0,1,V8,0.52,-1.04
2026-03-03,2026-03-03T09:00:00-05:00,5min,long,displacement,B,counter_trend,3,E3,24488.5,2026-03-03T09:01:00-05:00,24488.5,24473.5,asia_session_low,24668.5,24666.0,2026-03-03T09:01:00-05:00,24473.25,stop,-15.25,-1.0167,1.0,-310.0,1,V8,0.78,-1.1
2026-03-03,2026-03-03T09:02:00-05:00,2min,short,displacement,B,with_trend,3,E3,24481.5,2026-03-03T09:03:00-05:00,24484.25,24500.25,walkout_profile_val,24393.125,24395.5,2026-03-03T09:06:00-05:00,24499.25,partial+stop,-3.875,-0.2067,1.0,-82.5,1,V8,1.14,-1.23
2026-03-04,2026-03-04T09:38:00-05:00,2min,long,rejection_block,A,with_trend,3,E3,24891.75,2026-03-04T09:39:00-05:00,24884.5,24869.25,walkout_ny_vwap_upper_2,24954.589218539564,24952.0,2026-03-04T09:40:00-05:00,24869.0,stop,-15.5,-0.6889,1.0,-315.0,1,V8,1.62,-2.08
2026-03-04,2026-03-04T09:48:00-05:00,3min,short,rejection_block,A,counter_trend,3,E3,24883.25,2026-03-04T09:49:00-05:00,24906.75,24919.5,daily_vwap_mid,24769.051781729457,24771.5,2026-03-04T09:49:00-05:00,24920.5,stop,-13.75,-0.3793,1.0,-280.0,4,V8,1.41,-2.25
2026-03-05,2026-03-05T09:38:00-05:00,2min,long,rejection_block,B2,with_trend,3,E3,25100.75,2026-03-05T09:39:00-05:00,25099.0,25081.0,walkout_daily_vwap_upper_1,25143.0644734936,25140.5,2026-03-05T09:39:00-05:00,25080.75,stop,-18.25,-0.9241,1.0,-370.0,1,V8,0.08,-1.79
2026-03-05,2026-03-05T09:50:00-05:00,5min,short,rejection_block,A,counter_trend,3,E3,25092.0,2026-03-05T09:51:00-05:00,25113.5,25133.75,walkout_data_low_Unemployment Cla_08:30,24992.0,24994.5,2026-03-05T09:51:00-05:00,25134.0,stop,-20.5,-0.491,1.0,-415.0,1,V8,0.11,-1.56
2026-03-06,2026-03-06T09:46:00-05:00,2min,long,rejection_block,A,counter_trend,3,E3,24682.0,2026-03-06T09:47:00-05:00,24664.75,24660.0,data_extreme_Non-Farm Employm,24908.75,24906.25,2026-03-06T09:47:00-05:00,24659.75,stop,-5.0,-0.2273,1.0,-105.0,1,V8,2.16,-6.11
2026-03-12,2026-03-12T08:52:00-04:00,2min,short,displacement,B,counter_trend,3,E3,24816.25,2026-03-12T08:55:00-04:00,24816.25,24826.5,walkout_profile_val,24775.875,24778.5,2026-03-12T08:55:00-04:00,24826.75,stop,-10.5,-1.0244,1.0,-215.0,1,V8,0.41,-1.1
