day,action,agent_pl,oracle_pl,size
2026-02-03,MOMENTUM,-105,0,0.25
2026-02-04,ROTATION,-105,0,0.5
2026-02-09,FLAT,0,0,0.0
2026-02-10,FLAT,0,1274,0.0
2026-02-11,MOMENTUM,0,0,0.5
2026-02-12,FLAT,0,730,0.0
2026-02-13,ROTATION,512,512,0.25
2026-02-16,ROTATION,940,940,0.25
2026-02-17,MOMENTUM,915,1318,0.25
2026-02-18,MOMENTUM,0,1052,0.25
2026-02-19,MOMENTUM,-305,0,0.25
2026-02-20,FLAT,0,0,0.0
2026-02-23,FLAT,0,1735,0.0
2026-02-24,ROTATION,244,244,0.25
2026-02-25,FLAT,0,975,0.0
2026-02-26,FLAT,0,449,0.0
2026-02-27,FLAT,0,32,0.0
2026-03-02,FLAT,0,918,0.0
2026-03-04,FLAT,0,0,0.0
2026-03-05,FLAT,0,0,0.0
2026-03-06,FLAT,0,0,0.0
2026-03-09,FLAT,0,1880,0.0
2026-03-10,MOMENTUM,742,742,0.5
2026-03-11,FLAT,0,575,0.0
2026-03-12,FLAT,0,0,0.0
2026-03-13,FLAT,0,0,0.0
2026-03-16,FLAT,0,450,0.0
2026-03-17,FLAT,0,3485,0.0
2026-03-18,FLAT,0,0,0.0
2026-03-19,FLAT,0,1800,0.0
2026-03-20,FLAT,0,1310,0.0
2026-03-23,FLAT,0,278,0.0
2026-03-24,FLAT,0,0,0.0
2026-03-25,FLAT,0,0,0.0
2026-03-26,FLAT,0,0,0.0
2026-03-27,FLAT,0,0,0.0
2026-03-30,FLAT,0,0,0.0
2026-03-31,FLAT,0,48,0.0
2026-04-01,FLAT,0,380,0.0
2026-04-02,FLAT,0,0,0.0
2026-04-06,FLAT,0,0,0.0
2026-04-07,MOMENTUM,-95,0,0.25
2026-04-08,FLAT,0,415,0.0
2026-04-09,FLAT,0,120,0.0
2026-04-10,FLAT,0,980,0.0
2026-04-13,FLAT,0,880,0.0
2026-04-14,FLAT,0,675,0.0
2026-04-15,FLAT,0,0,0.0
2026-04-16,FLAT,0,0,0.0
2026-04-17,FLAT,0,0,0.0
2026-04-20,FLAT,0,0,0.0
2026-04-21,FLAT,0,0,0.0
2026-04-22,FLAT,0,0,0.0
2026-04-23,FLAT,0,310,0.0
2026-04-24,FLAT,0,505,0.0
2026-04-27,ROTATION,-95,330,0.25
2026-04-28,FLAT,0,0,0.0
2026-04-29,MOMENTUM,-45,0,0.25
2026-04-30,FLAT,0,1495,0.0
2026-05-01,FLAT,0,635,0.0
2026-05-04,FLAT,0,0,0.0
2026-05-05,FLAT,0,0,0.0
2026-05-06,FLAT,0,0,0.0
2026-05-07,FLAT,0,740,0.0
2026-05-08,MOMENTUM,-310,0,0.5
2026-05-11,FLAT,0,1935,0.0
2026-05-12,FLAT,0,579,0.0
2026-05-13,FLAT,0,0,0.0
2026-05-14,FLAT,0,0,0.0
2026-05-15,FLAT,0,0,0.0
2026-05-18,FLAT,0,1545,0.0
2026-05-19,FLAT,0,30,0.0
2026-05-20,FLAT,0,0,0.0
2026-05-21,FLAT,0,0,0.0
2026-05-22,FLAT,0,485,0.0
2026-05-26,FLAT,0,450,0.0
2026-05-27,FLAT,0,0,0.0
2026-05-28,MOMENTUM,-235,0,0.5
2026-05-29,ROTATION,152,152,0.5
2026-06-01,FLAT,0,295,0.0
2026-06-02,MOMENTUM,-390,0,0.25
2026-06-04,FLAT,0,889,0.0
2026-06-05,FLAT,0,0,0.0
2026-06-08,FLAT,0,3131,0.0
2026-06-09,MOMENTUM,810,810,0.25
2026-06-10,FLAT,0,0,0.0
2026-06-11,FLAT,0,0,0.0
2026-06-12,MOMENTUM,1400,1400,0.25
2026-06-15,FLAT,0,909,0.0
2026-06-16,FLAT,0,885,0.0
2026-06-17,FLAT,0,211,0.0
2026-06-18,MOMENTUM,1030,1030,0.5
2026-06-19,ROTATION,-288,0,0.25
2026-06-22,FLAT,0,0,0.0
2026-06-23,FLAT,0,0,0.0
2026-06-24,ROTATION,71,71,0.5
2026-06-25,FLAT,0,120,0.0
2026-06-26,MOMENTUM,0,1060,0.5
2026-06-29,FLAT,0,450,0.0
2026-06-30,FLAT,0,0,0.0
2026-07-01,FLAT,0,42,0.0
2026-07-02,FLAT,0,0,0.0
2026-07-03,FLAT,0,0,0.0
2026-07-06,MOMENTUM,-90,468,0.25
2026-07-07,FLAT,0,0,0.0
2026-07-08,FLAT,0,0,0.0
2026-07-13,FLAT,0,0,0.0
2026-07-14,FLAT,0,0,0.0
2026-07-15,FLAT,0,0,0.0
