thickness,imbalance,support_depth,resist_depth,support_minus_resist,thickness_vs_day,dist_wall_below,wall_below_size,support_wall_dist,support_wall_size,thickness_delta_5m,cvd_3m,cvd_1m,cvd_5m,risk_pts,win,dollars,dist_wall_above,wall_above_size
46.0,-0.08695652173913043,21.0,25.0,-4.0,0.647887323943662,12.25,6.0,12.25,6.0,-24.0,-275.0,-124.0,-299.0,25.75,False,-540.0,,
65.0,-0.046153846153846156,31.0,34.0,-3.0,0.9154929577464789,48.0,5.0,48.0,5.0,5.0,220.0,238.0,407.0,35.25,False,-730.0,,
51.0,0.17647058823529413,30.0,21.0,9.0,0.8429752066115702,66.0,6.0,66.0,6.0,1.0,-392.0,-52.0,-756.0,162.75,False,-1642.5,,
54.0,-0.037037037037037035,26.0,28.0,-2.0,0.7248322147651006,,,,,-3.0,21.0,-38.0,-120.0,1.75,False,-45.0,38.0,4.0
82.0,-0.12195121951219512,36.0,46.0,-10.0,1.0789473684210527,,,,,9.0,-415.0,-468.0,134.0,60.5,True,661.88,17.25,9.0
55.0,-0.01818181818181818,27.0,28.0,-1.0,0.738255033557047,,,,,-1.0,16.0,117.0,100.0,2.25,False,-10.0,14.25,5.0
57.0,-0.22807017543859648,35.0,22.0,13.0,0.7651006711409396,,,15.0,7.0,-14.0,-92.0,-481.0,14.0,39.75,True,2067.5,15.0,7.0
,,,,,,,,,,,,,,137.5,False,-52.5,,
,,,,,,,,,,,,,,29.25,False,-595.0,,
81.0,0.1111111111111111,36.0,45.0,-9.0,1.3728813559322033,51.75,10.0,,,-13.0,126.0,147.0,-213.0,47.25,True,1445.0,,
53.0,-0.09433962264150944,29.0,24.0,5.0,0.7464788732394366,,,14.5,6.0,-15.0,141.0,-179.0,36.0,33.0,False,-670.0,14.5,6.0
72.0,-0.027777777777777776,35.0,37.0,-2.0,1.0140845070422535,,,,,9.0,-63.0,7.0,-134.0,69.0,True,1102.5,23.75,6.0
66.0,0.12121212121212122,37.0,29.0,8.0,0.9924812030075187,,,,,-32.0,111.0,152.0,-193.0,6.0,False,-130.0,39.75,6.0
