day,month,static,analog,n_analogs,pl_static,pl_analog,pl_e3,pl_e4,pl_oracle
2026-02-03,2026-02,E3,E3,0,-165.0,-165.0,-165.0,-105.0,-105.0
2026-02-04,2026-02,E3,E3,0,-105.0,-105.0,-105.0,0.0,0.0
2026-02-09,2026-02,E3,E3,0,-320.0,-320.0,-320.0,0.0,0.0
2026-02-10,2026-02,E3,E3,0,1273.75,1273.75,1273.75,1000.0,1273.75
2026-02-11,2026-02,E3,E3,0,-185.0,-185.0,-185.0,0.0,0.0
2026-02-12,2026-02,E3,E3,0,730.0,730.0,730.0,365.0,730.0
2026-02-13,2026-02,E3,E3,0,511.88,511.88,511.88,0.0,511.88
2026-02-16,2026-02,E4,E4,0,450.0,450.0,940.0,450.0,940.0
2026-02-17,2026-02,E4,E4,0,915.0,915.0,1317.5,915.0,1317.5
2026-02-18,2026-02,E4,E4,0,0.0,0.0,1052.5,0.0,1052.5
2026-02-19,2026-02,E4,E4,0,-305.0,-305.0,-183.75,-305.0,-183.75
2026-02-20,2026-02,E4,E4,0,0.0,0.0,-50.0,0.0,0.0
2026-02-23,2026-02,E4,E4,0,1735.0,1735.0,1360.0,1735.0,1735.0
2026-02-24,2026-02,E4,E3,10,-250.0,243.75,243.75,-250.0,243.75
2026-02-25,2026-02,E3,E3,11,975.0,975.0,975.0,310.0,975.0
2026-02-26,2026-02,E3,E3,12,448.75,448.75,448.75,-540.0,448.75
2026-02-27,2026-02,E3,E3,13,32.5,32.5,32.5,0.0,32.5
2026-03-02,2026-03,E3,E3,14,917.5,917.5,917.5,0.0,917.5
2026-03-04,2026-03,E3,E3,15,-595.0,-595.0,-595.0,0.0,0.0
2026-03-05,2026-03,E3,E3,15,-285.0,-285.0,-285.0,-700.0,-285.0
2026-03-06,2026-03,E4,E3,15,-75.0,-1455.0,-1455.0,-75.0,-75.0
2026-03-09,2026-03,E4,E3,15,-465.0,1880.0,1880.0,-465.0,1880.0
2026-03-10,2026-03,E4,E3,15,742.5,-330.0,-330.0,742.5,742.5
2026-03-11,2026-03,E4,E3,15,575.0,186.25,186.25,575.0,575.0
2026-03-12,2026-03,E4,E3,15,-805.0,-400.0,-400.0,-805.0,-400.0
2026-03-13,2026-03,E4,E3,15,-805.0,-375.0,-375.0,-805.0,-375.0
2026-03-16,2026-03,E4,E3,15,-540.0,450.0,450.0,-540.0,450.0
2026-03-17,2026-03,E4,E3,15,3485.0,1857.5,1857.5,3485.0,3485.0
