card_id,tv_replay_datetime,window,direction,shape,trigger_price,second_legs,call(take/skip),why
C001,2025-09-16 04:09 ET,LONDON,UP,sequential,24634.25,vwap_p2,,
C002,2025-12-30 10:10 ET,NY_AM,DOWN,same_candle,25720.75,"vwap,bb_ma_15m,bb_ma_60m,daily_poc",,
C003,2026-04-20 09:40 ET,NY_AM,DOWN,same_candle,26747.5,vwap_p1,,
C004,2025-09-15 10:36 ET,NY_AM,DOWN,same_candle,24244.25,"daily_poc,vwap_p1",,
C005,2026-05-29 09:32 ET,NY_AM,UP,sequential,30414.25,"vwap_p2,daily_vah",,
C006,2025-10-10 10:56 ET,NY_AM,UP,same_candle,25339.5,daily_poc,,
C007,2025-11-17 10:51 ET,NY_AM,DOWN,same_candle,25088.0,"bb_ma_15m,daily_poc",,
C008,2026-05-21 09:45 ET,NY_AM,DOWN,same_candle,29214.0,"daily_poc,vwap_m1",,
C009,2026-05-29 03:16 ET,LONDON,DOWN,sequential,30321.5,vwap_p1,,
C010,2025-10-16 10:12 ET,NY_AM,DOWN,same_candle,25031.5,"vwap,bb_ma_15m,daily_poc",,
C011,2026-01-14 09:30 ET,NY_AM,DOWN,same_candle,25740.5,"vwap_m1,daily_poc",,
C012,2026-02-23 03:12 ET,LONDON,UP,same_candle,24902.75,vwap,,
C013,2026-04-16 09:33 ET,NY_AM,DOWN,same_candle,26391.0,"vwap,vwap_m1,daily_poc,daily_val,bb_ma_15m,bb_ma_60m,vwap_p1,vwap_m2",,
C014,2025-12-01 09:34 ET,NY_AM,UP,same_candle,25283.75,"daily_poc,bb_ma_15m,daily_val",,
C015,2026-06-16 03:04 ET,LONDON,DOWN,same_candle,30823.5,"vwap_p1,daily_poc",,
C016,2025-10-06 03:18 ET,LONDON,DOWN,same_candle,25099.5,daily_vah,,
C017,2025-10-29 10:32 ET,NY_AM,UP,sequential,26299.0,"vwap_p1,daily_vah",,
C018,2025-09-08 03:48 ET,LONDON,DOWN,same_candle,23769.75,daily_poc,,
C019,2026-02-10 09:36 ET,NY_AM,DOWN,same_candle,25371.75,"vwap_p1,vwap,daily_poc,daily_vah,bb_ma_15m,bb_ma_60m",,
C020,2026-04-21 04:27 ET,LONDON,UP,same_candle,26824.75,"vwap,daily_poc",,
C021,2025-09-29 10:20 ET,NY_AM,DOWN,same_candle,24928.5,"vwap_p1,daily_vah",,
C022,2026-07-13 03:38 ET,LONDON,UP,same_candle,29658.25,"vwap_m1,bb_ma_15m",,
C023,2026-01-19 10:46 ET,NY_AM,UP,sequential,25325.25,daily_poc,,
C024,2026-06-29 09:40 ET,NY_AM,UP,same_candle,29710.0,"vwap_p1,bb_ma_15m,daily_poc",,
C025,2026-06-09 04:09 ET,LONDON,UP,same_candle,29621.25,"vwap_p1,daily_poc,bb_ma_15m",,
C026,2026-02-11 09:36 ET,NY_AM,DOWN,same_candle,25386.75,vwap_p1,,
C027,2025-11-17 09:34 ET,NY_AM,UP,same_candle,25059.5,"vwap_m1,daily_val",,
C028,2026-06-08 10:10 ET,NY_AM,UP,same_candle,29455.0,daily_vah,,
C029,2025-11-06 10:38 ET,NY_AM,DOWN,sequential,25350.75,vwap_m2,,
