card_id,sess_day,tv_replay_datetime,row_type,window,direction,trigger_price,second_legs,call(WINDOW_READ: long/short/leave | CANDIDATE: take/skip),why
M001,2026-03-08,2026-03-09 03:00 ET,WINDOW_READ,LONDON,,,,,
M002,2026-03-08,2026-03-09 09:30 ET,WINDOW_READ,NY_AM,,,,,
M003,2026-03-08,2026-03-09 03:16 ET,CANDIDATE,LONDON,UP,24283.25,vwap_p1,,
M004,2026-03-08,2026-03-09 03:18 ET,CANDIDATE,LONDON,DOWN,24255.75,vwap_p1,,
M005,2026-03-08,2026-03-09 09:30 ET,CANDIDATE,NY_AM,UP,24432.75,vwap_p1,,
M006,2026-03-08,2026-03-09 09:38 ET,CANDIDATE,NY_AM,DOWN,24413.25,"vwap_p1,daily_poc",,
M007,2026-03-15,2026-03-16 03:00 ET,WINDOW_READ,LONDON,,,,,
M008,2026-03-15,2026-03-16 09:30 ET,WINDOW_READ,NY_AM,,,,,
M009,2026-03-15,2026-03-16 03:20 ET,CANDIDATE,LONDON,DOWN,24753.0,vwap_p1,,
M010,2026-03-15,2026-03-16 03:21 ET,CANDIDATE,LONDON,DOWN,24754.5,vwap_p1,,
M011,2026-03-15,2026-03-16 09:33 ET,CANDIDATE,NY_AM,UP,24900.0,"daily_poc,vwap_p1,daily_vah",,
M012,2026-03-15,2026-03-16 09:34 ET,CANDIDATE,NY_AM,UP,24919.75,"daily_vah,daily_poc",,
M013,2026-03-22,2026-03-23 03:00 ET,WINDOW_READ,LONDON,,,,,
M014,2026-03-22,2026-03-23 09:30 ET,WINDOW_READ,NY_AM,,,,,
M015,2026-03-22,2026-03-23 03:08 ET,CANDIDATE,LONDON,UP,23897.75,vwap_m2,,
M016,2026-03-22,2026-03-23 03:21 ET,CANDIDATE,LONDON,DOWN,23857.5,vwap_m2,,
M017,2026-03-22,2026-03-23 09:40 ET,CANDIDATE,NY_AM,UP,24540.25,"vwap_p1,daily_vah",,
M018,2026-03-22,2026-03-23 09:50 ET,CANDIDATE,NY_AM,UP,24575.75,vwap_p1,,
M019,2026-03-29,2026-03-30 03:00 ET,WINDOW_READ,LONDON,,,,,
M020,2026-03-29,2026-03-30 09:30 ET,WINDOW_READ,NY_AM,,,,,
M021,2026-03-29,2026-03-30 03:12 ET,CANDIDATE,LONDON,UP,23398.5,vwap_p2,,
M022,2026-03-29,2026-03-30 09:30 ET,CANDIDATE,NY_AM,UP,23509.75,daily_poc,,
M023,2026-03-29,2026-03-30 09:33 ET,CANDIDATE,NY_AM,DOWN,23504.25,"daily_poc,daily_vah",,
M024,2026-04-05,2026-04-06 03:00 ET,WINDOW_READ,LONDON,,,,,
M025,2026-04-05,2026-04-06 09:30 ET,WINDOW_READ,NY_AM,,,,,
M026,2026-04-05,2026-04-06 03:03 ET,CANDIDATE,LONDON,DOWN,24242.75,vwap_p1,,
M027,2026-04-05,2026-04-06 03:06 ET,CANDIDATE,LONDON,DOWN,24233.0,bb_ma_15m,,
M028,2026-04-05,2026-04-06 09:32 ET,CANDIDATE,NY_AM,UP,24343.75,"vwap_p1,daily_poc,bb_ma_15m",,
M029,2026-04-05,2026-04-06 09:33 ET,CANDIDATE,NY_AM,UP,24316.5,"daily_poc,vwap_p1,bb_ma_15m",,
M030,2026-04-12,2026-04-13 03:00 ET,WINDOW_READ,LONDON,,,,,
M031,2026-04-12,2026-04-13 09:30 ET,WINDOW_READ,NY_AM,,,,,
M032,2026-04-12,2026-04-13 09:45 ET,CANDIDATE,NY_AM,DOWN,25182.0,vwap_p1,,
M033,2026-04-12,2026-04-13 09:46 ET,CANDIDATE,NY_AM,DOWN,25171.5,vwap_p1,,
M034,2026-04-19,2026-04-20 03:00 ET,WINDOW_READ,LONDON,,,,,
M035,2026-04-19,2026-04-20 09:30 ET,WINDOW_READ,NY_AM,,,,,
M036,2026-04-19,2026-04-20 03:36 ET,CANDIDATE,LONDON,DOWN,26668.75,bb_ma_15m,,
M037,2026-04-19,2026-04-20 04:26 ET,CANDIDATE,LONDON,UP,26657.25,"vwap,daily_poc",,
M038,2026-04-19,2026-04-20 09:39 ET,CANDIDATE,NY_AM,DOWN,26757.0,vwap_p1,,
M039,2026-04-19,2026-04-20 09:40 ET,CANDIDATE,NY_AM,DOWN,26747.5,vwap_p1,,
M040,2026-04-26,2026-04-27 03:00 ET,WINDOW_READ,LONDON,,,,,
M041,2026-04-26,2026-04-27 09:30 ET,WINDOW_READ,NY_AM,,,,,
M042,2026-04-26,2026-04-27 04:03 ET,CANDIDATE,LONDON,DOWN,27414.0,bb_ma_60m,,
M043,2026-04-26,2026-04-27 04:04 ET,CANDIDATE,LONDON,DOWN,27412.5,"daily_val,bb_ma_60m",,
M044,2026-04-26,2026-04-27 09:32 ET,CANDIDATE,NY_AM,DOWN,27386.25,"vwap_m1,daily_poc,daily_val",,
M045,2026-04-26,2026-04-27 09:33 ET,CANDIDATE,NY_AM,DOWN,27389.25,"vwap_m1,daily_poc,daily_val",,
M046,2026-05-03,2026-05-04 03:00 ET,WINDOW_READ,LONDON,,,,,
M047,2026-05-03,2026-05-04 09:30 ET,WINDOW_READ,NY_AM,,,,,
M048,2026-05-03,2026-05-04 03:15 ET,CANDIDATE,LONDON,UP,27925.0,"vwap_p1,bb_ma_15m",,
M049,2026-05-03,2026-05-04 03:54 ET,CANDIDATE,LONDON,DOWN,27924.0,"vwap_p1,bb_ma_15m",,
M050,2026-05-03,2026-05-04 09:30 ET,CANDIDATE,NY_AM,UP,27854.75,"daily_poc,vwap",,
M051,2026-05-03,2026-05-04 09:32 ET,CANDIDATE,NY_AM,DOWN,27831.5,"vwap,daily_poc,bb_ma_15m,bb_ma_60m",,
M052,2026-05-10,2026-05-11 03:00 ET,WINDOW_READ,LONDON,,,,,
M053,2026-05-10,2026-05-11 09:30 ET,WINDOW_READ,NY_AM,,,,,
M054,2026-05-10,2026-05-11 03:42 ET,CANDIDATE,LONDON,UP,29321.5,"vwap,bb_ma_15m",,
M055,2026-05-10,2026-05-11 03:45 ET,CANDIDATE,LONDON,DOWN,29311.75,vwap,,
M056,2026-05-10,2026-05-11 09:30 ET,CANDIDATE,NY_AM,UP,29305.25,"daily_poc,vwap_m1,daily_val",,
M057,2026-05-10,2026-05-11 09:56 ET,CANDIDATE,NY_AM,DOWN,29326.25,"vwap,bb_ma_15m",,
M058,2026-05-17,2026-05-18 03:00 ET,WINDOW_READ,LONDON,,,,,
M059,2026-05-17,2026-05-18 09:30 ET,WINDOW_READ,NY_AM,,,,,
M060,2026-05-17,2026-05-18 03:21 ET,CANDIDATE,LONDON,DOWN,29064.5,vwap,,
M061,2026-05-17,2026-05-18 03:22 ET,CANDIDATE,LONDON,DOWN,29070.75,vwap,,
M062,2026-05-17,2026-05-18 09:39 ET,CANDIDATE,NY_AM,DOWN,29275.75,"vwap_p1,daily_vah",,
M063,2026-05-17,2026-05-18 10:16 ET,CANDIDATE,NY_AM,UP,29288.0,"daily_poc,daily_vah",,
M064,2026-05-24,2026-05-25 03:00 ET,WINDOW_READ,LONDON,,,,,
M065,2026-05-24,2026-05-25 09:30 ET,WINDOW_READ,NY_AM,,,,,
M066,2026-05-24,2026-05-25 03:00 ET,CANDIDATE,LONDON,DOWN,29967.5,daily_poc,,
M067,2026-05-24,2026-05-25 03:06 ET,CANDIDATE,LONDON,DOWN,29963.0,"vwap_p1,bb_ma_15m,daily_poc",,
M068,2026-05-24,2026-05-25 09:38 ET,CANDIDATE,NY_AM,UP,29968.25,bb_ma_15m,,
M069,2026-05-24,2026-05-25 09:39 ET,CANDIDATE,NY_AM,UP,29964.0,"bb_ma_15m,daily_poc",,
M070,2026-06-07,2026-06-08 03:00 ET,WINDOW_READ,LONDON,,,,,
M071,2026-06-07,2026-06-08 09:30 ET,WINDOW_READ,NY_AM,,,,,
M072,2026-06-07,2026-06-08 04:02 ET,CANDIDATE,LONDON,DOWN,29225.0,daily_vah,,
M073,2026-06-07,2026-06-08 04:15 ET,CANDIDATE,LONDON,DOWN,29210.75,"vwap_p1,daily_poc",,
M074,2026-06-07,2026-06-08 09:54 ET,CANDIDATE,NY_AM,UP,29537.75,"vwap_p1,daily_vah",,
M075,2026-06-07,2026-06-08 09:56 ET,CANDIDATE,NY_AM,DOWN,29451.5,vwap_p1,,
M076,2026-06-14,2026-06-15 03:00 ET,WINDOW_READ,LONDON,,,,,
M077,2026-06-14,2026-06-15 09:30 ET,WINDOW_READ,NY_AM,,,,,
M078,2026-06-14,2026-06-15 04:03 ET,CANDIDATE,LONDON,UP,30577.25,"daily_vah,daily_poc",,
M079,2026-06-14,2026-06-15 10:02 ET,CANDIDATE,NY_AM,UP,30727.5,"vwap_p1,daily_vah",,
M080,2026-06-14,2026-06-15 10:21 ET,CANDIDATE,NY_AM,DOWN,30707.25,"daily_poc,vwap_p1",,
M081,2026-06-28,2026-06-29 03:00 ET,WINDOW_READ,LONDON,,,,,
M082,2026-06-28,2026-06-29 09:30 ET,WINDOW_READ,NY_AM,,,,,
M083,2026-06-28,2026-06-29 03:16 ET,CANDIDATE,LONDON,UP,29634.75,vwap_p1,,
M084,2026-06-28,2026-06-29 04:57 ET,CANDIDATE,LONDON,DOWN,29659.0,daily_vah,,
M085,2026-06-28,2026-06-29 09:33 ET,CANDIDATE,NY_AM,UP,29719.75,"vwap_p1,daily_poc,bb_ma_15m,vwap,daily_vah,bb_ma_60m",,
M086,2026-06-28,2026-06-29 09:34 ET,CANDIDATE,NY_AM,UP,29721.5,"vwap_p1,bb_ma_15m,daily_poc,daily_vah",,
M087,2026-07-12,2026-07-13 03:00 ET,WINDOW_READ,LONDON,,,,,
M088,2026-07-12,2026-07-13 09:30 ET,WINDOW_READ,NY_AM,,,,,
M089,2026-07-12,2026-07-13 03:10 ET,CANDIDATE,LONDON,UP,29662.75,vwap_m1,,
M090,2026-07-12,2026-07-13 03:32 ET,CANDIDATE,LONDON,DOWN,29651.0,"vwap_m1,bb_ma_15m",,
M091,2026-07-12,2026-07-13 09:34 ET,CANDIDATE,NY_AM,DOWN,29672.25,daily_poc,,
M092,2026-07-12,2026-07-13 09:36 ET,CANDIDATE,NY_AM,DOWN,29664.0,"daily_poc,vwap_m1",,
