dir_tv,entry_ts,entry_px,exit_ts,exit_px_tv,signal,qty,pnl,comm,mfe,mae,bars,cal,reason_tv,dow,dir_us,or_hi,or_lo,or_width,entry_min,entry,stop,risk_pts,capped,atr,exit_min,exit_px_us,reason_us,mfe_r,mae_r,bars_held,pnl_pts,pnl_usd,r,_merge
-1,2026-03-03 10:00:00,5048.7,2026-03-03 10:15:00,5018.7,XS,1,2997,3,2998.5,-3051.5,1,2026-03-03 00:00:00-05:00,target,1.0,-1.0,5154.8,5071.0,83.80000000000018,600.0,5048.7,5078.7,30.0,True,103.15714285714292,600.0,5078.7,stop,0.4666666666666667,-1.0166666666666666,1.0,-30.1,-3013.0,-1.0043333333333333,both
-1,2026-03-04 10:00:00,5155.1,2026-03-04 11:45:00,5158.5,scratch,1,-343,3,1488.5,-2221.5,7,2026-03-04 00:00:00-05:00,time_stop,2.0,-1.0,5195.2,5172.4,22.800000000000182,600.0,5155.099999999999,5185.099999999999,30.0,True,123.73571428571437,690.0,5158.5,time_stop,0.49666666666665454,-0.7400000000000243,7.0,-3.500000000000546,-353.00000000005457,-0.11766666666668486,both
-1,2026-03-05 10:15:00,5093.5,2026-03-05 11:30:00,5063.5,XS,1,2997,3,2998.5,-2001.5,5,2026-03-05 00:00:00-05:00,target,3.0,-1.0,5132.6,5099.2,33.400000000000546,615.0,5093.5,5123.5,30.0,True,123.90714285714297,690.0,5063.5,target,1.0366666666666788,-0.6666666666666666,6.0,29.9,2987.0,0.9956666666666667,both
1,2026-03-06 10:00:00,5139.4,2026-03-06 10:15:00,5169.4,XL,1,2997,3,3228.5,-201.5,1,2026-03-06 00:00:00-05:00,target,4.0,1.0,5123.9,5092.0,31.899999999999636,600.0,5139.400000000001,5109.400000000001,30.0,True,125.01428571428583,600.0,5169.400000000001,target,1.0766666666666425,-0.06666666666669699,1.0,29.9,2987.0,0.9956666666666667,both
1,2026-03-10 11:15:00,5233.4,2026-03-10 13:00:00,5236.8,scratch,1,337,3,1528.5,-191.5,7,2026-03-10 00:00:00-04:00,time_stop,,,,,,,,,,,,,,,,,,,,,left_only
1,2026-03-11 10:30:00,5202.0,2026-03-11 11:45:00,5171.9,XL,1,-3013,3,228.5,-3011.5,5,2026-03-11 00:00:00-04:00,stop,2.0,1.0,5189.0,5172.0,17.0,615.0,5197.5,5172.0,25.5,False,135.56428571428583,705.0,5172.0,stop,0.2666666666666738,-1.082352941176485,7.0,-25.6,-2563.0,-1.0050980392156863,both
-1,2026-03-12 10:00:00,5156.9,2026-03-12 11:00:00,5136.2,XS,1,2067,3,2068.5,-1331.5,4,2026-03-12 00:00:00-04:00,target,3.0,-1.0,5177.6,5161.7,15.900000000000546,600.0,5156.9,5177.6,20.700000000000728,False,132.8357142857144,660.0,5136.199999999999,target,2.0434782608694584,-0.6425120772946722,5.0,20.600000000000726,2057.0000000000728,0.9937198067632852,both
-1,2026-03-13 10:15:00,5095.4,2026-03-13 10:45:00,5072.3,XS,1,2307,3,2308.5,-491.5,2,2026-03-13 00:00:00-04:00,target,4.0,-1.0,5118.5,5102.1,16.399999999999636,615.0,5095.4,5118.5,23.100000000000364,False,135.48571428571444,645.0,5072.299999999999,target,2.4285714285713667,-0.21212121212123242,3.0,23.000000000000362,2297.0000000000364,0.9943722943722945,both
-1,2026-03-17 10:30:00,5012.8,2026-03-17 11:30:00,4988.9,XS,1,2387,3,2388.5,-1151.5,4,2026-03-17 00:00:00-04:00,target,1.0,-1.0,5036.7,5015.9,20.800000000000182,630.0,5012.799999999999,5036.7,23.900000000000546,False,134.3285714285715,690.0,4988.899999999999,target,1.4979079497907304,-0.4811715481171819,5.0,23.800000000000544,2377.0000000000546,0.994560669456067,both
-1,2026-03-20 10:00:00,4617.0,2026-03-20 10:15:00,4587.0,XS,1,2997,3,3128.5,-621.5,1,2026-03-20 00:00:00-04:00,target,4.0,-1.0,4666.6,4637.2,29.400000000000546,600.0,4617.0,4647.0,30.0,True,133.37142857142857,600.0,4587.0,target,1.0433333333333394,-0.20666666666666061,1.0,29.9,2987.0,0.9956666666666667,both
