cell,slip,n,win%,avgR,lo,hi,pts,usd,PF,medRisk,y23,y24,y25,axis
anchor 09:30  (cutoff 12:00),1.0,656,47.103658536585364,0.022886997476297976,-0.04993532123780399,0.09446489933218996,0.1896341463415087,10472.000000002981,1.0462113489636562,8.099999999999909,-0.004307453053042951,0.025317292256937244,0.05988271851175812,A anchor
anchor 09:30  (cutoff 12:00),2.0,656,46.1890243902439,-0.01306858646839733,-0.0853878349540555,0.05858360805606954,-0.04908536585361716,-5187.9999999972915,0.977955205044649,8.199999999999818,-0.05198626842546436,-0.013719777076384308,0.04618332064149904,A anchor
anchor 08:20  (cutoff 10:50),1.0,670,45.07462686567164,0.00789814914351661,-0.07172395772341068,0.08801809876791217,0.41365671641793894,25705.000000001914,1.0994298401695868,7.999999999999659,-0.025235917634997898,-0.03624165762764912,0.12253491798484126,A anchor
anchor 08:20  (cutoff 10:50),2.0,670,44.02985074626866,-0.019080632899644588,-0.09616621221149019,0.05960019579082756,0.22365671641792634,12975.000000001062,1.048704040840079,8.099999999999682,-0.05966434079859107,-0.05323076734762699,0.09163639164313196,A anchor
anchor 03:00  (cutoff 05:30),1.0,660,41.96969696969697,-0.05461899735884669,-0.1387584559740008,0.03172462984407467,-0.183257575757543,-14074.999999997844,0.913649776992508,4.300000000000068,-0.06228437971217262,-0.08906568483143526,0.010935397161208974,A anchor
anchor 03:00  (cutoff 05:30),2.0,660,40.60606060606061,-0.09392665511144793,-0.17198465920629677,-0.01218369013676542,-0.34833333333330413,-24969.99999999808,0.854143788406279,4.400000000000091,-0.11246686734899985,-0.1312651857973173,-0.007458762641241152,A anchor
no contraction gate,1.0,656,47.103658536585364,0.022886997476297976,-0.049400711729689455,0.09632446435974032,0.1896341463415087,10472.000000002981,1.0462113489636562,8.099999999999909,-0.004307453053042951,0.025317292256937244,0.05988271851175812,B crabel
no contraction gate,2.0,656,46.1890243902439,-0.01306858646839733,-0.0855960885676481,0.057588041306963225,-0.04908536585361716,-5187.9999999972915,0.977955205044649,8.199999999999818,-0.05198626842546436,-0.013719777076384308,0.04618332064149904,B crabel
prior day nr4,1.0,156,45.51282051282051,0.004048555838935346,-0.14764738748609954,0.15321841811745485,0.08557692307696713,867.0000000006867,1.0184526976694837,7.399999999999977,-0.11991643203570575,0.03720510169052895,0.14225253989176018,B crabel
prior day nr4,2.0,156,44.871794871794876,-0.02223720559789115,-0.163993014440325,0.12378950585328359,-0.08333333333330796,-1767.999999999609,0.9636871508379965,7.5,-0.15830348870664984,0.016456277734165244,0.12655538137913963,B crabel
prior day nr7,1.0,74,51.35135135135135,0.1158108696232877,-0.0920594641877528,0.3344014669509239,0.8101351351351678,5773.000000000241,1.3243622878975352,7.149999999999864,-0.058245259585378656,0.1750537887072458,0.307370254722424,B crabel
prior day nr7,2.0,74,50.0,0.0830323197491582,-0.12222597106490184,0.2934355294813079,0.6283783783783934,4428.000000000109,1.2390799632849288,7.249999999999886,-0.11106694441842228,0.1554027448758653,0.2871921632179772,B crabel
prior day inside,1.0,114,47.368421052631575,-0.05479848855550597,-0.21399374200749385,0.1031874708493926,0.007456140350911094,-256.9999999996137,0.9926508435802227,7.399999999999977,-0.28177697231225746,0.029111132583790292,0.2160829419268052,B crabel
prior day inside,2.0,114,46.49122807017544,-0.07739320486587736,-0.2425054129595577,0.0871613818349577,-0.15964912280701016,-2161.9999999999172,0.940231664501149,7.5,-0.30974122177660635,0.009186596951991217,0.1984014431711402,B crabel
prior day idnr4,1.0,76,42.10526315789473,-0.13744586945408263,-0.3255415155623605,0.058295042132212684,-0.7138157894736402,-5652.999999999667,0.7645760453106882,7.099999999999909,-0.39973724663148447,-0.01579787950214736,0.13573103900005487,B crabel
prior day idnr4,2.0,76,40.78947368421053,-0.16081187672872702,-0.35177056764486414,0.030847362909409606,-0.8842105263157806,-6947.999999999933,0.720907812813818,7.199999999999932,-0.4272991761060839,-0.03727684005839101,0.11685697957395907,B crabel
no participation filter,1.0,656,47.103658536585364,0.022886997476297976,-0.04903765874873796,0.0929647442733582,0.1896341463415087,10472.000000002981,1.0462113489636562,8.099999999999909,-0.004307453053042951,0.025317292256937244,0.05988271851175812,C participation
no participation filter,2.0,656,46.1890243902439,-0.01306858646839733,-0.08399463400041525,0.05915207602045497,-0.04908536585361716,-5187.9999999972915,0.977955205044649,8.199999999999818,-0.05198626842546436,-0.013719777076384308,0.04618332064149904,C participation
relvol >= 1.2 x slot-matched 14d,1.0,413,47.699757869249396,0.020814571328497806,-0.06154448613862711,0.10020569704720474,0.28644067796616773,10591.000000002743,1.0698808376991178,11.0,-0.012333439732840732,0.08854406964458947,-0.03354587287719129,C participation
relvol >= 1.2 x slot-matched 14d,2.0,413,46.973365617433416,-0.0011607796471955825,-0.080004221787391,0.0792672428748945,0.07493946731241177,1856.0000000026112,1.011843759372604,11.099999999999909,-0.031150303509487956,0.0566173474444077,-0.045127808184853666,C participation
relvol >= 1.5 x slot-matched 14d,1.0,306,49.01960784313725,0.04679570634406856,-0.03810050110436017,0.13640343890552897,0.706372549019668,20697.00000000184,1.1946523963584574,11.900000000000091,-0.05341862743851616,0.16230094810513837,0.026496563686408924,C participation
relvol >= 1.5 x slot-matched 14d,2.0,306,47.712418300653596,0.03138953643782445,-0.05743906460787245,0.1206521415117762,0.536601307189592,15502.00000000151,1.1415966386554772,12.0,-0.07110162752976988,0.14655687092021807,0.015072416559509562,C participation
relvol >= 2.0 x slot-matched 14d,1.0,195,47.179487179487175,0.00789751596954362,-0.09158647351819925,0.10759951580340028,-0.19128205128199055,-4314.999999998814,0.9429225254302463,14.700000000000273,-0.016859086966903906,0.016680413766322986,0.027160442761503922,C participation
relvol >= 2.0 x slot-matched 14d,2.0,195,45.64102564102564,-0.009063786528637376,-0.10218684192862225,0.08786654298019361,-0.40692307692301094,-8519.999999998716,0.8903164345117176,14.800000000000182,-0.032030834532777566,0.0030914935583838707,0.002756520325808835,C participation
breakout range >= 0.5 x ATR14(tf),1.0,655,47.17557251908397,0.02317682287407885,-0.04876078838244205,0.09443445470509795,0.19099236641226042,10545.000000003061,1.0467776851145518,8.099999999999909,-0.004307453053042951,0.021927081521833085,0.06649379153412151,C participation
breakout range >= 0.5 x ATR14(tf),2.0,655,46.25954198473283,-0.012803527604800937,-0.08672219303233202,0.060227669508343934,-0.04778625954194214,-5094.999999997221,0.9782391430621635,8.199999999999818,-0.05198626842546436,-0.01706439307357181,0.05276156043202514,C participation
breakout range >= 1.0 x ATR14(tf),1.0,631,47.22662440570523,0.02836296037870136,-0.04567507575074096,0.10249388244474424,0.25752773375598387,14357.000000002583,1.0674389000840947,8.099999999999909,-0.010163096713073281,0.02476404845541118,0.09698266608514673,C participation
breakout range >= 1.0 x ATR14(tf),2.0,631,46.275752773375594,-0.00658218895269146,-0.07760265206980087,0.06560378736660497,0.01790808240891109,-762.9999999977226,0.9965527679511437,8.199999999999818,-0.053507576982639075,-0.014776950072790621,0.08322964014380427,C participation
breakout range >= 1.5 x ATR14(tf),1.0,529,48.20415879017013,0.046352282391253836,-0.03067325819157185,0.12779518258181163,0.34206049149342593,16508.00000000224,1.0892507650220176,8.400000000000091,-0.0034039752743671163,0.09546789888922551,0.055119932245112496,C participation
breakout range >= 1.5 x ATR14(tf),2.0,529,47.25897920604915,0.01389081181058896,-0.06608473501023276,0.09465296221123924,0.10661625708887972,4053.000000001735,1.0211317173887067,8.5,-0.036502979828943724,0.05149617478954541,0.04207472329667844,C participation
OR 5m (entry TF 5m),1.0,686,42.4198250728863,-0.033550661745297305,-0.12362933326464193,0.054358824662443475,-0.026093294460611403,-3847.99999999795,0.9813831974648733,5.0,-0.13865327619229204,0.007869565611067207,0.0619169011490629,D or_window
OR 5m (entry TF 5m),2.0,686,40.67055393586006,-0.08307806962580308,-0.16642647337909428,0.0037064654702483077,-0.3242711370262172,-24302.9999999985,0.8892150740070521,5.099999999999909,-0.17769540180458854,-0.025320872572360383,-0.02801785015118521,D or_window
OR 15m (entry TF 15m),1.0,656,47.103658536585364,0.022886997476297976,-0.04933306691344453,0.0970664251310526,0.1896341463415087,10472.000000002981,1.0462113489636562,8.099999999999909,-0.004307453053042951,0.025317292256937244,0.05988271851175812,D or_window
OR 15m (entry TF 15m),2.0,656,46.1890243902439,-0.01306858646839733,-0.08543923223169311,0.06116450816618677,-0.04908536585361716,-5187.9999999972915,0.977955205044649,8.199999999999818,-0.05198626842546436,-0.013719777076384308,0.04618332064149904,D or_window
OR 30m (entry TF 30m),1.0,534,49.43820224719101,0.053166581673621933,-0.005703186066184533,0.11458063948239712,0.6954119850187896,35533.00000000337,1.235099907370676,10.999999999999886,0.07626578473070386,0.015491021562721037,0.07920139328771714,D or_window
OR 30m (entry TF 30m),2.0,534,48.50187265917603,0.031126112526448448,-0.028510443104136966,0.09009422906674483,0.48661048689145114,24383.000000003492,1.1557173420187368,11.099999999999909,0.049785968140973386,-0.007575111504306294,0.0659787901226305,D or_window
OR 60m (entry TF 60m),1.0,254,48.031496062992126,0.0016156171050750218,-0.06060661757345007,0.06751179287236175,-0.07421259842512115,-2646.999999998072,0.9634523513655581,14.349999999999909,0.045227931513715756,-0.07854593709033228,0.06193128490104846,D or_window
OR 60m (entry TF 60m),2.0,254,45.66929133858268,-0.012976904735709605,-0.07721806599749163,0.05139047457942427,-0.2653543307085812,-7501.999999997967,0.9001384377828908,14.449999999999818,0.026917515334443073,-0.09178258652363512,0.0507179484181396,D or_window
