date,session,criterion,n_real_minutes,n_nominal_minutes,note
2023-01-02,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-01-02,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-04-07,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-04-07,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-05-05,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-05-05,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-06-02,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-06-02,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-06-30,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-06-30,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-07-28,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-07-28,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-08-25,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-08-25,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-09-22,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-09-22,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-10-20,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-10-20,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-11-17,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-11-17,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-12-15,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-12-15,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-01-12,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-01-12,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-02-09,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-02-09,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-03-09,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-03-09,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-04-06,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-04-06,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-06-20,ny_am,flow_file_convention_mismatch,95,95,"condensed_glbx-mdp3-20250620.mbp-10.csv: book vs front-month bar deviation; flow_coverage forced false, rows kept"
2025-12-15,london,flow_file_convention_mismatch,120,120,"glbx-mdp3-20251215.mbp-10_condensed.csv: book vs front-month bar deviation; flow_coverage forced false, rows kept"
2023-01-22,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-01-22,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-02-19,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-02-19,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-03-19,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-03-19,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-04-16,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-04-16,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-05-14,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-05-14,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-06-11,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-06-11,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-07-09,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-07-09,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-08-06,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-08-06,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-09-03,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-09-03,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-10-01,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-10-01,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-10-29,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-10-29,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-11-26,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-11-26,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-12-25,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-12-25,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-01-14,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-01-14,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-02-11,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-02-11,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-03-10,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-03-10,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-12-25,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-12-25,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-04-27,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-04-27,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-05-25,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-05-25,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-06-22,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-06-22,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-07-20,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-07-20,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-08-17,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-08-17,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-09-14,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-09-14,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-10-12,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-10-12,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-11-09,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-11-09,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-12-07,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-12-07,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-12-16,london,flow_file_convention_mismatch,120,120,"glbx-mdp3-20251216.mbp-10_condensed.csv: book vs front-month bar deviation; flow_coverage forced false, rows kept"
2025-12-25,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-12-25,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2026-01-04,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2026-01-04,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-04-07,ny_am,session_window_incomplete,75,210,"calendar/coverage based, outcome-independent"
2024-03-31,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-03-31,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-04-28,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-04-28,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-05-26,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-05-26,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-06-23,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-06-23,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-07-21,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-07-21,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-08-18,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-08-18,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-09-15,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-09-15,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-10-13,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-10-13,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-11-10,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-11-10,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-12-08,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-12-08,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
