file,family,date,session,scale_detected,n_minutes,n_joined,med_dev_pts,frac_within_5pts,ok
condensed_glbx-mdp3-20250602.mbp-10.csv,A,2025-06-02,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250602.mbp-10_condensed.csv,B,2025-06-02,london,decimal,120,120,0.375,1.0,True
condensed_glbx-mdp3-20250611.mbp-10.csv,A,2025-06-11,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250611.mbp-10_condensed.csv,B,2025-06-11,london,decimal,120,120,0.375,1.0,True
condensed_glbx-mdp3-20250620.mbp-10.csv,A,2025-06-20,ny_am,fixed1e9,95,95,222.25,0.0,False
glbx-mdp3-20250620.mbp-10_condensed.csv,B,2025-06-20,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250630.mbp-10.csv,A,2025-06-30,ny_am,fixed1e9,151,150,0.25,1.0,True
glbx-mdp3-20250630.mbp-10_condensed.csv,B,2025-06-30,london,decimal,120,120,0.125,1.0,True
condensed_glbx-mdp3-20250709.mbp-10.csv,A,2025-07-09,ny_am,fixed1e9,150,150,0.125,1.0,True
glbx-mdp3-20250709.mbp-10_condensed.csv,B,2025-07-09,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250718.mbp-10.csv,A,2025-07-18,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250718.mbp-10_condensed.csv,B,2025-07-18,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250728.mbp-10.csv,A,2025-07-28,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250728.mbp-10_condensed.csv,B,2025-07-28,london,decimal,120,120,0.125,1.0,True
condensed_glbx-mdp3-20250806.mbp-10.csv,A,2025-08-06,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250806.mbp-10_condensed.csv,B,2025-08-06,london,decimal,120,120,0.125,1.0,True
condensed_glbx-mdp3-20250815.mbp-10.csv,A,2025-08-15,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250815.mbp-10_condensed.csv,B,2025-08-15,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250825.mbp-10.csv,A,2025-08-25,ny_am,fixed1e9,150,150,0.125,1.0,True
glbx-mdp3-20250825.mbp-10_condensed.csv,B,2025-08-25,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250903.mbp-10.csv,A,2025-09-03,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250903.mbp-10_condensed.csv,B,2025-09-03,london,decimal,120,120,0.125,1.0,True
condensed_glbx-mdp3-20250912.mbp-10.csv,A,2025-09-12,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250912.mbp-10_condensed.csv,B,2025-09-12,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250922.mbp-10.csv,A,2025-09-22,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250922.mbp-10_condensed.csv,B,2025-09-22,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20251001.mbp-10.csv,A,2025-10-01,ny_am,fixed1e9,150,150,0.25,0.9933333333333333,True
glbx-mdp3-20251001.mbp-10_condensed.csv,B,2025-10-01,london,decimal,120,120,0.375,1.0,True
condensed_glbx-mdp3-20251010.mbp-10.csv,A,2025-10-10,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20251010.mbp-10_condensed.csv,B,2025-10-10,london,decimal,120,120,0.125,1.0,True
glbx-mdp3-20251020.mbp-10_condensed.csv,B,2025-10-20,london,decimal,120,120,0.375,1.0,True
condensed_glbx-mdp3-20251029.mbp-10.csv,A,2025-10-29,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20251029.mbp-10_condensed.csv,B,2025-10-29,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20251107.mbp-10.csv,A,2025-11-07,ny_am,fixed1e9,150,150,0.25,0.9866666666666667,True
glbx-mdp3-20251107.mbp-10_condensed.csv,B,2025-11-07,london,decimal,120,120,0.375,1.0,True
condensed_glbx-mdp3-20251117.mbp-10.csv,A,2025-11-17,ny_am,fixed1e9,150,150,0.375,1.0,True
glbx-mdp3-20251117.mbp-10_condensed.csv,B,2025-11-17,london,decimal,120,120,0.375,1.0,True
