file,family,scale,scale_anomaly,n,joined,med_dev_pts,frac_within_5pts,order_violations,in_span,ok
condensed_glbx-mdp3-20250602.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250603.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250604.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250605.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250606.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250609.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250610.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250611.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250612.mbp-10.csv,A,fixed1e9,False,150,150,0.375,1.0,0,True,True
condensed_glbx-mdp3-20250613.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250616.mbp-10.csv,A,fixed1e9,False,150,150,221.5,0.0,0,True,False
condensed_glbx-mdp3-20250617.mbp-10.csv,A,fixed1e9,False,150,150,224.5,0.0,0,True,False
condensed_glbx-mdp3-20250618.mbp-10.csv,A,fixed1e9,False,150,150,223.625,0.0,0,True,False
condensed_glbx-mdp3-20250619.mbp-10.csv,A,fixed1e9,False,150,150,217.125,0.0,0,True,False
condensed_glbx-mdp3-20250620.mbp-10.csv,A,fixed1e9,True,95,95,222.25,0.0,0,True,False
condensed_glbx-mdp3-20250623.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250624.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250625.mbp-10.csv,A,fixed1e9,False,150,150,0.125,1.0,0,True,True
condensed_glbx-mdp3-20250626.mbp-10.csv,A,fixed1e9,False,150,150,0.125,1.0,0,True,True
condensed_glbx-mdp3-20250627.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250630.mbp-10.csv,A,fixed1e9,False,151,151,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250701.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250702.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250703.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250704.mbp-10.csv,A,fixed1e9,False,150,150,0.375,1.0,0,True,True
condensed_glbx-mdp3-20250707.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250708.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250709.mbp-10.csv,A,fixed1e9,False,150,150,0.125,1.0,0,True,True
condensed_glbx-mdp3-20250710.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250711.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250714.mbp-10.csv,A,fixed1e9,False,150,150,0.125,1.0,0,True,True
