month,regime,day,action,oracle,hit,agent_pl,oracle_pl,regret,e3,e4
2025-04,war,2025-04-01,MOMENTUM,ROTATION,False,-365,1388,1752,1388,-365
2025-04,war,2025-04-02,ROTATION,MOMENTUM,False,-10,798,808,-10,798
2025-04,war,2025-04-03,MOMENTUM,FLAT,False,0,0,0,-235,0
2025-04,event_risk,2025-04-04,FLAT,FLAT,True,0,0,0,-230,0
2025-04,war,2025-04-07,FLAT,FLAT,True,0,0,0,0,-520
2025-04,event_risk,2025-04-08,ROTATION,MOMENTUM,False,-268,785,1052,-268,785
2025-04,event_risk,2025-04-10,MOMENTUM,FLAT,False,0,0,0,-135,0
2025-04,event_risk,2025-04-11,FLAT,ROTATION,False,0,829,829,829,0
2025-04,event_risk,2025-04-14,FLAT,ROTATION,False,0,546,546,546,-270
2025-04,war,2025-04-15,MOMENTUM,FLAT,False,-875,0,875,-270,-875
2025-04,event_risk,2025-04-16,FLAT,FLAT,True,0,0,0,-20,0
2025-04,war,2025-04-17,MOMENTUM,MOMENTUM,True,590,590,0,-712,590
2025-04,trap,2025-04-21,ROTATION,ROTATION,True,1059,1059,0,1059,-30
2025-04,war,2025-04-22,MOMENTUM,ROTATION,False,0,60,60,60,0
2025-04,war,2025-04-23,MOMENTUM,FLAT,False,-395,0,395,-35,-395
2025-04,war,2025-04-24,MOMENTUM,FLAT,False,-485,0,485,-700,-485
2025-04,balance,2025-04-25,ROTATION,FLAT,False,-315,0,315,-315,-700
2025-04,war,2025-04-28,MOMENTUM,FLAT,False,-555,0,555,-590,-555
2025-04,war,2025-04-29,MOMENTUM,MOMENTUM,True,500,500,0,-185,500
2025-04,event_risk,2025-04-30,ROTATION,MOMENTUM,False,-430,615,1045,-430,615
2025-05,war,2025-05-01,MOMENTUM,MOMENTUM,True,530,530,0,78,530
2025-05,event_risk,2025-05-02,ROTATION,FLAT,False,-600,0,600,-600,0
2025-05,event_risk,2025-05-05,FLAT,FLAT,True,0,0,0,-460,-690
2025-05,balance,2025-05-06,ROTATION,ROTATION,True,92,92,0,92,0
2025-05,event_risk,2025-05-07,FLAT,FLAT,True,0,0,0,-145,-385
2025-05,war,2025-05-08,MOMENTUM,MOMENTUM,True,930,930,0,-475,930
2025-05,war,2025-05-09,MOMENTUM,FLAT,False,-315,0,315,-76,-315
2025-05,event_risk,2025-05-12,FLAT,FLAT,True,0,0,0,-935,-640
2025-05,event_risk,2025-05-13,FLAT,FLAT,True,0,0,0,0,-185
2025-05,war,2025-05-14,MOMENTUM,FLAT,False,-530,0,530,-655,-530
2025-05,war,2025-05-15,FLAT,FLAT,True,0,0,0,-55,-200
2025-05,war,2025-05-16,MOMENTUM,MOMENTUM,True,30,30,0,-330,30
2025-05,war,2025-05-20,ROTATION,FLAT,False,-210,0,210,-210,-310
2025-05,war,2025-05-21,MOMENTUM,FLAT,False,-285,0,285,-335,-285
2025-05,balance,2025-05-22,ROTATION,MOMENTUM,False,-20,695,715,-20,695
2025-05,event_risk,2025-05-23,ROTATION,MOMENTUM,False,-350,205,555,-350,205
2025-05,trap,2025-05-26,ROTATION,ROTATION,True,12,12,0,12,-505
2025-05,balance,2025-05-27,ROTATION,MOMENTUM,False,562,1035,472,562,1035
2025-05,event_risk,2025-05-28,FLAT,MOMENTUM,False,0,65,65,-460,65
2025-05,war,2025-05-29,MOMENTUM,FLAT,False,-755,0,755,-310,-755
2025-05,event_risk,2025-05-30,FLAT,FLAT,True,0,0,0,-192,-690
2025-06,trap,2025-06-02,FLAT,MOMENTUM,False,0,945,945,705,945
2025-06,balance,2025-06-03,ROTATION,ROTATION,True,358,358,0,358,300
2025-06,event_risk,2025-06-04,FLAT,MOMENTUM,False,0,455,455,-325,455
2025-06,balance,2025-06-05,FLAT,ROTATION,False,0,788,788,788,-230
2025-06,event_risk,2025-06-06,FLAT,MOMENTUM,False,0,470,470,99,470
2025-06,balance,2025-06-09,FLAT,FLAT,True,0,0,0,-400,-445
2025-06,war,2025-06-10,MOMENTUM,ROTATION,False,-215,41,256,41,-215
2025-06,event_risk,2025-06-11,ROTATION,MOMENTUM,False,25,1275,1250,25,1275
2025-06,balance,2025-06-12,ROTATION,MOMENTUM,False,-355,160,515,-355,160
2025-06,war,2025-06-13,MOMENTUM,FLAT,False,0,0,0,-195,0
2025-06,war,2025-06-16,MOMENTUM,MOMENTUM,True,1005,1005,0,-370,1005
2025-06,event_risk,2025-06-17,ROTATION,ROTATION,True,1195,1195,0,1195,-380
2025-06,event_risk,2025-06-18,FLAT,FLAT,True,0,0,0,-530,-435
2025-06,trap,2025-06-19,FLAT,FLAT,True,0,0,0,-330,-440
2025-06,trap,2025-06-20,ROTATION,FLAT,False,-530,0,530,-530,-415
2025-06,event_risk,2025-06-23,FLAT,FLAT,True,0,0,0,-280,-495
2025-06,event_risk,2025-06-24,FLAT,MOMENTUM,False,0,145,145,-330,145
2025-06,war,2025-06-25,MOMENTUM,FLAT,False,-305,0,305,-320,-305
2025-06,war,2025-06-26,MOMENTUM,FLAT,False,-210,0,210,-140,-210
2025-06,war,2025-06-27,FLAT,FLAT,True,0,0,0,-25,-600
2025-06,war,2025-06-30,MOMENTUM,MOMENTUM,True,505,505,0,121,505
