date,allow_reversion,allow_continuation,size_multiplier,directional_bias
2026-03-02,True,True,0.5,short
2026-03-03,True,True,0.5,neutral
2026-03-04,True,True,0.5,neutral
2026-03-05,True,True,0.5,neutral
2026-03-06,False,False,0.0,neutral
2026-03-09,True,True,0.5,neutral
2026-03-10,True,True,0.5,neutral
2026-03-11,True,True,0.5,neutral
2026-03-12,True,True,0.5,neutral
2026-03-13,True,True,0.5,neutral
2026-03-16,True,True,0.5,neutral
2026-03-17,True,True,0.5,neutral
2026-03-18,True,True,0.5,neutral
2026-03-19,True,True,0.5,short
2026-03-20,True,True,0.5,neutral
2026-03-23,True,True,0.5,neutral
2026-03-24,True,True,0.5,neutral
2026-03-25,True,True,0.5,neutral
2026-03-26,True,True,0.5,short
2026-03-27,True,True,0.5,short
2026-03-30,True,True,0.5,short
2026-03-31,True,True,0.5,short
