day,day_type,imbal_share_20,imbal_share_10,trap_rate_10,range_pctl_20,gap_open_pts,streak_imbal,red_folder_today,named_high_today
2023-01-04,balanced,,,,,,0,0,0
2023-01-05,balanced,,,,,24.0,0,0,0
2023-01-06,imbalanced,,,,,-78.75,0,0,0
2023-01-09,balanced,,,,,62.25,1,0,0
2023-01-10,imbalanced,0.4,0.4,,,-28.5,0,0,0
2023-01-11,imbalanced,0.5,0.5,0.2,0.0,21.5,1,0,0
2023-01-12,imbalanced,0.571,0.571,0.167,0.0,8.75,2,0,0
2023-01-13,balanced,0.5,0.5,0.286,0.857,-78.25,3,0,0
2023-01-16,imbalanced,0.556,0.556,0.375,0.125,-32.5,0,0,0
2023-01-17,balanced,0.5,0.5,0.333,0.0,15.5,1,0,0
2023-01-18,balanced,0.455,0.5,0.3,0.3,25.25,0,0,0
2023-01-19,imbalanced,0.5,0.6,0.2,0.182,-103.75,0,0,0
2023-01-20,balanced,0.462,0.5,0.2,0.167,37.5,1,0,0
2023-01-23,balanced,0.429,0.5,0.2,0.154,7.25,0,0,0
2023-01-24,balanced,0.4,0.4,0.2,0.5,-49.0,0,0,0
2023-01-25,imbalanced,0.438,0.4,0.2,0.267,-57.0,0,0,0
2023-01-26,imbalanced,0.471,0.4,0.2,0.5,77.0,1,0,0
2023-01-27,balanced,0.444,0.4,0.1,0.471,-1.5,2,0,0
2023-01-30,imbalanced,0.474,0.4,0.0,0.611,-137.0,0,0,0
2023-01-31,imbalanced,0.5,0.5,0.0,0.105,-7.0,1,0,0
2023-02-01,balanced,0.5,0.5,0.0,0.4,46.75,2,0,0
2023-02-02,imbalanced,0.55,0.5,0.0,0.05,71.5,0,0,0
2023-02-03,imbalanced,0.55,0.6,0.0,0.7,79.5,1,0,0
2023-02-06,imbalanced,0.6,0.7,0.1,0.9,-88.25,2,0,0
2023-02-07,balanced,0.55,0.7,0.1,0.3,29.75,3,0,0
2023-02-08,imbalanced,0.55,0.7,0.1,0.2,-47.25,0,0,0
2023-02-09,balanced,0.5,0.6,0.1,0.2,85.25,1,0,0
2023-02-10,imbalanced,0.55,0.7,0.1,0.2,-102.25,0,0,0
2023-02-13,imbalanced,0.55,0.7,0.1,0.45,72.0,1,0,0
2023-02-14,imbalanced,0.6,0.7,0.1,0.5,67.75,2,0,0
2023-02-15,balanced,0.6,0.7,0.1,0.95,31.25,3,0,0
2023-02-16,imbalanced,0.6,0.7,0.1,0.35,-92.5,0,0,0
