month,regime,day,action,oracle,hit,agent_pl,oracle_pl,regret,e3,e4
2026-02,war,2026-02-03,MOMENTUM,FLAT,False,-105,0,105,-165,-105
2026-02,event_risk,2026-02-04,FLAT,FLAT,True,0,0,0,-105,0
2026-02,balance,2026-02-09,FLAT,FLAT,True,0,0,0,-320,0
2026-02,event_risk,2026-02-10,FLAT,ROTATION,False,0,1274,1274,1274,1000
2026-02,event_risk,2026-02-11,FLAT,FLAT,True,0,0,0,-185,0
2026-02,balance,2026-02-12,FLAT,ROTATION,False,0,730,730,730,365
2026-02,event_risk,2026-02-13,ROTATION,ROTATION,True,512,512,0,512,0
2026-02,balance,2026-02-16,FLAT,ROTATION,False,0,940,940,940,450
2026-02,war,2026-02-17,MOMENTUM,ROTATION,False,915,1318,402,1318,915
2026-02,war,2026-02-18,MOMENTUM,ROTATION,False,0,1052,1052,1052,0
2026-02,balance,2026-02-19,FLAT,FLAT,True,0,0,0,-184,-305
2026-02,event_risk,2026-02-20,FLAT,FLAT,True,0,0,0,-50,0
2026-02,balance,2026-02-23,FLAT,MOMENTUM,False,0,1735,1735,1360,1735
2026-02,balance,2026-02-24,FLAT,ROTATION,False,0,244,244,244,-250
2026-02,balance,2026-02-25,FLAT,ROTATION,False,0,975,975,975,310
2026-02,balance,2026-02-26,FLAT,ROTATION,False,0,449,449,449,-540
2026-02,event_risk,2026-02-27,FLAT,ROTATION,False,0,32,32,32,0
2026-03,event_risk,2026-03-02,FLAT,ROTATION,False,0,918,918,918,0
2026-03,event_risk,2026-03-04,FLAT,FLAT,True,0,0,0,-595,0
2026-03,balance,2026-03-05,FLAT,FLAT,True,0,0,0,-285,-700
2026-03,event_risk,2026-03-06,FLAT,FLAT,True,0,0,0,-1455,-75
2026-03,trap,2026-03-09,FLAT,ROTATION,False,0,1880,1880,1880,-465
2026-03,event_risk,2026-03-10,MOMENTUM,MOMENTUM,True,742,742,0,-330,742
2026-03,event_risk,2026-03-11,ROTATION,MOMENTUM,False,186,575,389,186,575
2026-03,event_risk,2026-03-12,FLAT,FLAT,True,0,0,0,-400,-805
