day,shock50_5s,shock50_pctl20
2023-01-04,1,
2023-01-05,8,
2023-01-06,10,
2023-01-09,17,
2023-01-10,16,
2023-01-11,10,0.4
2023-01-12,8,0.17
2023-01-13,8,0.14
2023-01-16,9,0.5
2023-01-17,8,0.11
2023-01-18,9,0.5
2023-01-19,4,0.09
2023-01-20,4,0.08
2023-01-23,4,0.08
2023-01-24,3,0.07
2023-01-25,2,0.07
2023-01-26,1,0.0
2023-01-27,1,0.0
2023-01-30,1,0.0
2023-01-31,0,0.0
2023-02-01,0,0.0
2023-02-02,10,0.8
2023-02-03,17,0.95
2023-02-06,19,1.0
2023-02-07,19,0.95
2023-02-08,15,0.85
2023-02-09,8,0.5
2023-02-10,6,0.5
2023-02-13,6,0.5
2023-02-14,0,0.0
2023-02-15,7,0.65
2023-02-16,7,0.65
2023-02-17,8,0.7
2023-02-20,8,0.65
2023-02-21,1,0.15
2023-02-22,1,0.15
2023-02-23,0,0.0
2023-02-24,0,0.0
2023-02-27,1,0.25
2023-02-28,1,0.25
2023-03-01,1,0.2
2023-03-02,1,0.15
2023-03-03,0,0.0
2023-03-06,0,0.0
2023-03-07,0,0.0
2023-03-08,1,0.3
2023-03-09,2,0.65
2023-03-10,2,0.65
2023-03-13,8,0.9
2023-03-14,12,1.0
2023-03-15,13,1.0
2023-03-16,14,1.0
2023-03-17,12,0.85
2023-03-20,4,0.7
2023-03-21,2,0.6
2023-03-22,1,0.25
2023-03-23,9,0.8
2023-03-24,11,0.8
2023-03-27,10,0.75
2023-03-28,10,0.7
2023-03-29,2,0.35
2023-03-30,0,0.0
2023-03-31,0,0.0
2023-04-03,1,0.2
2023-04-04,1,0.15
2023-04-05,1,0.1
2023-04-06,1,0.1
2023-04-07,0,0.0
2023-04-10,1,0.15
2023-04-11,1,0.15
2023-04-12,1,0.15
2023-04-13,2,0.55
2023-04-14,2,0.55
2023-04-17,2,0.55
2023-04-18,2,0.55
2023-04-19,1,0.15
2023-04-20,0,0.0
2023-04-21,0,0.0
2023-04-24,0,0.0
2023-04-25,0,0.0
2023-04-26,3,1.0
2023-04-27,4,1.0
2023-04-28,6,1.0
2023-05-01,6,0.95
2023-05-02,3,0.8
2023-05-03,2,0.55
2023-05-04,5,0.9
2023-05-05,6,0.9
2023-05-08,7,1.0
2023-05-09,7,0.95
2023-05-10,2,0.3
2023-05-11,2,0.25
2023-05-12,1,0.2
2023-05-15,1,0.2
2023-05-16,1,0.2
2023-05-17,0,0.0
2023-05-18,0,0.0
2023-05-19,0,0.0
2023-05-22,0,0.0
2023-05-23,0,0.0
2023-05-24,0,0.0
2023-05-25,1,0.3
2023-05-26,1,0.3
2023-05-29,2,0.55
2023-05-30,2,0.55
2023-05-31,1,0.3
2023-06-01,1,0.3
2023-06-02,1,0.3
2023-06-05,0,0.0
2023-06-06,0,0.0
2023-06-07,0,0.0
2023-06-08,0,0.0
2023-06-09,0,0.0
2023-06-12,0,0.0
2023-06-13,0,0.0
2023-06-14,1,0.65
2023-06-15,2,0.9
2023-06-16,2,0.85
2023-06-19,2,0.8
2023-06-20,1,0.45
2023-06-21,0,0.0
2023-06-22,0,0.0
2023-06-23,0,0.0
2023-06-26,0,0.0
2023-06-27,0,0.0
2023-06-28,0,0.0
2023-06-29,0,0.0
2023-06-30,1,0.7
2023-07-03,1,0.7
2023-07-04,1,0.65
2023-07-05,1,0.6
2023-07-06,0,0.0
2023-07-07,0,0.0
2023-07-10,1,0.55
2023-07-11,1,0.5
2023-07-12,1,0.45
