ts,tf,direction,kind,pattern,htf_flag,entry_ref,stop_ref,wick_low,wick_high,cluster_center,confluence_count,cluster_types,vwap_touched,close,ob_mid,ob_stop
2026-02-02T07:54:00-05:00,2min,short,displacement,B,counter_trend,25493.55,25508.5,25505.25,25508.5,25498.0245,2,"['bb', 'vwap']",True,25493.25,,
2026-02-02T07:57:00-05:00,3min,short,rejection_block,A,counter_trend,25495.5625,25498.75,25495.5,25498.75,25499.1315,2,"['bb', 'vwap']",False,25495.5,25507.75,25527.25
2026-02-02T07:58:00-05:00,2min,short,rejection_block,A,counter_trend,25495.5625,25498.75,25494.5,25498.75,25499.1744,2,"['bb', 'vwap']",False,25483.75,25491.25,25498.75
2026-02-02T08:00:00-05:00,5min,short,rejection_block,A,counter_trend,25497.3375,25498.75,25496.75,25498.75,25503.2563,2,"['bb', 'vwap']",False,25487.75,25500.0,25524.25
2026-02-02T08:12:00-05:00,3min,short,rejection_block,A,counter_trend,25496.45,25497.5,25492.0,25497.5,25499.6817,2,"['bb', 'vwap']",False,25492.0,25477.5,25497.5
2026-02-02T08:15:00-05:00,5min,short,rejection_block,A,counter_trend,25495.0125,25497.5,25492.5,25497.5,25499.5228,2,"['bb', 'vwap']",False,25492.5,25477.5,25497.5
2026-02-02T08:16:00-05:00,2min,short,rejection_block,A,counter_trend,25493.9875,25501.75,25488.25,25501.75,25499.2047,2,"['bb', 'vwap']",False,25488.25,25488.0,25501.75
2026-02-02T08:24:00-05:00,3min,short,rejection_block,A,counter_trend,25497.45,25500.5,25494.25,25500.5,25500.9721,2,"['bb', 'vwap']",False,25494.25,25487.75,25500.5
2026-02-02T08:25:00-05:00,5min,short,rejection_block,A,counter_trend,25497.45,25500.5,25484.25,25500.5,25501.0035,2,"['bb', 'vwap']",False,25484.25,25487.375,25500.5
2026-02-02T08:30:00-05:00,5min,short,rejection_block,A,counter_trend,25495.175,25495.5,25483.5,25495.5,25500.0322,2,"['bb', 'vwap']",False,25478.5,25487.375,25500.5
2026-02-02T09:32:00-05:00,2min,long,rejection_block,A,with_trend,25542.1875,25539.75,25539.75,25542.5,25537.8839,2,"['bb', 'vwap']",True,25631.5,25577.75,25520.25
2026-02-02T09:33:00-05:00,3min,long,rejection_block,A,with_trend,25547.3625,25539.75,25539.75,25542.5,25542.2269,2,"['bb', 'vwap']",True,25635.75,25595.875,25523.0
2026-02-02T09:35:00-05:00,5min,long,displacement,B,with_trend,25549.8345,25539.75,25539.75,25542.5,25546.286,2,"['bb', 'vwap']",True,25637.5,25600.0,25531.25
2026-02-02T10:03:00-05:00,1min,long,rejection_block,B2,with_trend,25759.6448,25750.5,25750.5,25754.25,25756.0349,2,"['bb', 'vwap']",True,25775.25,25760.625,25733.0
2026-02-02T10:05:00-05:00,5min,long,displacement,B,with_trend,25763.5505,25733.0,25733.0,25746.75,25761.6503,2,"['bb', 'vwap']",True,25797.0,25763.25,25728.5
2026-02-02T10:44:00-05:00,2min,long,rejection_block,B2,with_trend,25870.625,25863.25,25863.25,25871.5,25865.7921,2,"['poc', 'vwap']",False,25871.5,25884.75,25863.25
