ts,tf,direction,kind,pattern,htf_flag,entry_ref,stop_ref,wick_low,wick_high,cluster_center,confluence_count,cluster_types,vwap_touched,ob_mid,ob_stop,close
2023-01-03T07:56:00-05:00,2min,long,rejection_block,A,counter_trend,11084.525,11081.0,11081.0,11084.75,11079.8015,2,"['bb', 'vwap']",False,11089.625,11081.0,11084.75
2023-01-03T07:57:00-05:00,3min,long,rejection_block,A,counter_trend,11084.625,11081.0,11081.0,11084.75,11079.8581,2,"['bb', 'vwap']",False,11089.75,11081.0,11084.75
2023-01-03T07:58:00-05:00,2min,long,rejection_block,A,counter_trend,11084.625,11081.5,11081.5,11084.5,11079.8676,2,"['bb', 'vwap']",False,11087.0,11081.0,11086.5
2023-01-03T07:59:00-05:00,1min,long,rejection_block,A,counter_trend,11084.625,11083.5,11083.5,11086.5,11079.8733,2,"['bb', 'vwap']",False,11084.5,11081.0,11086.75
2023-01-03T08:20:00-05:00,5min,long,rejection_block,A,counter_trend,11084.65,11081.25,11081.25,11084.25,11080.4558,2,"['bb', 'vwap']",False,11089.0,11061.75,11089.25
2023-01-03T08:31:00-05:00,1min,long,rejection_block,A,counter_trend,11086.875,11086.25,11086.25,11091.25,11082.133,2,"['poc', 'vwap']",False,11090.75,11086.25,11091.25
2023-01-03T08:32:00-05:00,2min,long,rejection_block,A,counter_trend,11086.875,11086.25,11086.25,11091.25,11082.1466,2,"['poc', 'vwap']",False,11091.0,11086.25,11091.25
2023-01-03T08:33:00-05:00,3min,long,rejection_block,A,counter_trend,11086.875,11086.25,11086.25,11092.75,11082.1675,2,"['poc', 'vwap']",False,11092.125,11086.25,11095.25
2023-01-03T08:35:00-05:00,5min,long,rejection_block,A,counter_trend,11086.875,11086.25,11086.25,11092.75,11082.2027,2,"['poc', 'vwap']",False,11096.25,11086.25,11095.0
2023-01-03T09:00:00-05:00,5min,short,rejection_block,unclassified,range,11127.125,11127.25,11119.75,11127.25,11128.4132,2,"['poc', 'vwap']",False,11121.125,11127.25,11116.5
2023-01-03T09:05:00-05:00,5min,short,rejection_block,unclassified,range,11117.425,11119.5,11117.0,11119.5,11122.275,2,"['bb', 'poc']",False,11116.375,11127.0,11107.25
2023-01-03T09:07:00-05:00,1min,short,rejection_block,unclassified,range,11117.25,11117.75,11114.25,11117.75,11122.1875,2,"['bb', 'poc']",False,11112.125,11117.75,11114.25
2023-01-03T09:11:00-05:00,1min,short,rejection_block,unclassified,range,11127.125,11127.25,11125.25,11127.25,11128.6489,2,"['poc', 'vwap']",False,11120.875,11127.25,11125.25
2023-01-03T09:12:00-05:00,3min,short,rejection_block,unclassified,range,11127.125,11127.25,11122.25,11127.25,11128.6785,2,"['poc', 'vwap']",False,11118.375,11127.25,11122.25
2023-01-03T09:15:00-05:00,5min,long,displacement,B,range,11130.5736,11119.25,11119.25,11119.25,11128.8493,2,"['poc', 'vwap']",True,11121.125,11105.75,11134.75
2023-01-03T09:16:00-05:00,2min,long,rejection_block,unclassified,range,11130.655,11127.5,11127.5,11128.0,11128.89,2,"['poc', 'vwap']",True,,,11132.25
2023-01-03T09:18:00-05:00,3min,long,rejection_block,unclassified,range,11127.125,11127.0,11127.0,11134.75,11121.9375,2,"['bb', 'poc']",True,,,11136.75
2023-01-03T09:20:00-05:00,5min,long,rejection_block,unclassified,range,11127.125,11127.0,11127.0,11134.5,11122.8708,2,"['bb', 'poc']",True,11123.25,11105.75,11134.5
2023-01-03T09:22:00-05:00,2min,long,rejection_block,unclassified,range,11127.125,11126.0,11126.0,11130.25,11123.7792,2,"['bb', 'poc']",True,11133.375,11126.0,11130.25
2023-01-03T09:24:00-05:00,3min,long,rejection_block,unclassified,range,11131.5079,11126.0,11126.0,11133.75,11128.1735,3,"['bb', 'poc', 'vwap']",True,11133.375,11126.0,11134.25
2023-01-03T09:25:00-05:00,5min,long,rejection_block,unclassified,range,11131.6367,11126.0,11126.0,11133.5,11126.9623,3,"['bb', 'poc', 'vwap']",True,11133.375,11126.0,11133.5
2023-01-03T09:26:00-05:00,2min,short,displacement,B,range,11127.125,11138.0,11134.25,11138.0,11127.2783,3,"['bb', 'poc', 'vwap']",True,11129.75,11138.0,11122.75
2023-01-03T09:27:00-05:00,1min,short,rejection_block,unclassified,range,11127.125,11128.0,11125.5,11128.0,11129.2073,3,"['bb', 'poc', 'vwap']",False,11129.0,11135.5,11125.5
2023-01-03T09:29:00-05:00,1min,short,rejection_block,unclassified,range,11127.125,11131.25,11128.25,11131.25,11129.5731,3,"['bb', 'poc', 'vwap']",False,11126.375,11131.25,11124.0
2023-01-03T09:30:00-05:00,5min,short,displacement,B,range,11123.075,11138.0,11133.75,11138.0,11122.6667,2,"['bb', 'poc']",True,11128.375,11138.0,11119.25
2023-01-03T09:31:00-05:00,1min,short,rejection_block,A,range,11117.8,11130.5,11119.0,11130.5,11122.6667,2,"['bb', 'poc']",True,11115.125,11130.5,11100.75
2023-01-03T09:32:00-05:00,2min,short,rejection_block,A,range,11121.35,11130.5,11119.0,11130.5,11124.9625,2,"['bb', 'poc']",True,11101.5,11130.5,11090.75
2023-01-03T09:33:00-05:00,3min,short,rejection_block,A,range,11121.35,11130.5,11119.0,11130.5,11124.5917,2,"['bb', 'poc']",True,11104.0,11135.5,11102.5
2023-01-03T09:34:00-05:00,2min,long,displacement,B,range,11132.721,11091.25,11091.25,11091.5,11129.923,2,"['poc', 'vwap']",True,11104.0,11072.5,11134.25
2023-01-03T09:35:00-05:00,5min,long,rejection_block,A,range,11108.7875,11072.5,11072.5,11113.75,11107.6394,2,"['bb', 'vwap']",True,11107.125,11072.5,11113.75
