ts,tf,direction,kind,pattern,htf_flag,entry_ref,stop_ref,wick_low,wick_high,cluster_center,confluence_count,cluster_types,vwap_touched,ob_mid,ob_stop,close
2026-06-01T07:55:00-04:00,5min,long,rejection_block,unclassified,range,30468.125,30464.0,30464.0,30469.0,30464.0519,2,"['poc', 'vwap']",False,30483.125,30464.0,30469.0
2026-06-01T08:01:00-04:00,1min,short,rejection_block,unclassified,range,30459.6638,30464.25,30462.25,30464.25,30463.8944,2,"['poc', 'vwap']",True,30463.0,30468.0,30458.5
2026-06-01T08:02:00-04:00,2min,short,rejection_block,unclassified,range,30459.5664,30464.25,30462.25,30464.25,30463.8457,2,"['poc', 'vwap']",True,,,30457.0
2026-06-01T08:03:00-04:00,3min,short,rejection_block,unclassified,range,30459.3802,30464.25,30462.25,30464.25,30463.7526,2,"['poc', 'vwap']",True,,,30451.75
2026-06-01T08:04:00-04:00,2min,short,rejection_block,unclassified,range,30459.2718,30461.75,30457.5,30461.75,30463.6984,2,"['poc', 'vwap']",True,,,30450.0
2026-06-01T08:05:00-04:00,5min,short,rejection_block,unclassified,range,30459.1771,30464.25,30462.25,30464.25,30465.4132,3,"['bb', 'poc', 'vwap']",True,30468.375,30491.25,30455.5
2026-06-01T08:07:00-04:00,1min,short,rejection_block,unclassified,range,30458.9421,30462.75,30459.75,30462.75,30464.3807,3,"['bb', 'poc', 'vwap']",True,30456.5,30462.75,30454.0
2026-06-01T08:08:00-04:00,2min,short,rejection_block,unclassified,range,30458.7373,30462.75,30459.75,30462.75,30463.6374,3,"['bb', 'poc', 'vwap']",True,30451.875,30462.75,30443.0
2026-06-01T08:09:00-04:00,3min,short,rejection_block,unclassified,range,30458.3889,30462.75,30459.75,30462.75,30463.966,3,"['bb', 'poc', 'vwap']",True,30448.25,30462.75,30435.5
2026-06-01T08:10:00-04:00,5min,short,rejection_block,unclassified,range,30458.1478,30462.75,30456.0,30462.75,30463.2744,3,"['bb', 'poc', 'vwap']",True,,,30434.25
2026-06-01T08:26:00-04:00,2min,long,displacement,B,range,30453.4669,30443.25,30443.25,30443.25,30455.664,2,"['bb', 'vwap']",True,30436.875,30415.0,30458.75
2026-06-01T08:27:00-04:00,3min,long,displacement,B,range,30453.3811,30443.25,30443.25,30443.25,30455.5645,2,"['bb', 'vwap']",True,,,30456.5
2026-06-01T08:30:00-04:00,5min,short,rejection_block,unclassified,range,30453.147,30459.0,30450.25,30459.0,30456.661,2,"['bb', 'vwap']",True,30444.75,30459.0,30450.25
2026-06-01T08:33:00-04:00,3min,short,rejection_block,unclassified,range,30452.7124,30456.0,30451.25,30456.0,30455.9937,2,"['bb', 'vwap']",True,30448.75,30459.0,30451.25
2026-06-01T08:34:00-04:00,2min,short,rejection_block,unclassified,range,30452.5542,30456.0,30444.0,30456.0,30455.9146,2,"['bb', 'vwap']",True,,,30437.5
2026-06-01T08:35:00-04:00,5min,short,rejection_block,unclassified,range,30452.3335,30456.0,30449.75,30456.0,30455.8042,2,"['bb', 'vwap']",True,30446.0,30459.0,30444.75
2026-06-01T08:37:00-04:00,1min,long,rejection_block,unclassified,range,30452.1058,30450.0,30450.0,30450.25,30447.6019,2,"['bb', 'vwap']",True,30448.5,30436.5,30458.5
2026-06-01T08:38:00-04:00,2min,long,rejection_block,unclassified,range,30452.0628,30450.0,30450.0,30450.25,30448.1126,2,"['bb', 'vwap']",True,30450.25,30436.5,30464.0
2026-06-01T08:39:00-04:00,3min,long,rejection_block,unclassified,range,30452.0018,30450.0,30450.0,30450.25,30448.9131,2,"['bb', 'vwap']",True,30453.75,30433.0,30474.0
2026-06-01T08:40:00-04:00,5min,long,displacement,B,range,30451.97,30443.75,30443.75,30444.5,30449.8275,2,"['bb', 'vwap']",True,30456.5,30433.0,30475.25
2026-06-01T08:45:00-04:00,5min,long,rejection_block,unclassified,range,30468.125,30466.25,30466.25,30476.0,30463.625,2,"['bb', 'poc']",False,30461.0,30433.0,30484.75
2026-06-01T08:46:00-04:00,2min,long,rejection_block,unclassified,range,30468.125,30466.25,30466.25,30468.5,30463.9875,2,"['bb', 'poc']",False,30481.25,30466.25,30480.5
2026-06-01T08:52:00-04:00,2min,short,displacement,B,range,30468.125,30476.25,30474.25,30476.25,30466.5,2,"['bb', 'poc']",False,30481.25,30496.25,30468.0
2026-06-01T08:53:00-04:00,1min,short,displacement,B,range,30462.9375,30471.0,30469.25,30471.0,30466.6917,2,"['bb', 'poc']",False,,,30462.75
2026-06-01T08:54:00-04:00,3min,short,displacement,B,range,30462.9375,30473.75,30472.25,30473.75,30467.0542,2,"['bb', 'poc']",False,30473.0,30489.0,30459.25
2026-06-01T08:55:00-04:00,5min,long,rejection_block,unclassified,range,30455.7375,30451.0,30451.0,30457.75,30454.2897,2,"['bb', 'vwap']",True,30473.625,30451.0,30457.75
2026-06-01T08:59:00-04:00,1min,short,rejection_block,unclassified,range,30451.3356,30457.5,30452.75,30457.5,30454.8535,2,"['bb', 'vwap']",True,,,30448.0
