ts,tf,direction,kind,pattern,htf_flag,entry_ref,stop_ref,wick_low,wick_high,cluster_center,confluence_count,cluster_types,vwap_touched,ob_mid,ob_stop,close
2025-06-02T03:02:00-04:00,2min,long,displacement,B,counter_trend,21236.6625,21221.5,21221.5,21227.75,21231.9789,3,"['bb', 'poc', 'vwap']",True,21232.875,21221.5,21241.5
2025-06-02T03:03:00-04:00,3min,long,displacement,B,counter_trend,21236.875,21221.5,21221.5,21227.75,21232.1586,3,"['bb', 'poc', 'vwap']",True,21234.25,21221.5,21244.75
2025-06-02T03:05:00-04:00,5min,long,displacement,A,counter_trend,21236.1363,21221.5,21221.5,21227.75,21231.9223,3,"['bb', 'poc', 'vwap']",True,21243.125,21221.5,21264.75
2025-06-02T03:24:00-04:00,3min,long,rejection_block,B2,counter_trend,21236.106,21235.25,21235.25,21238.25,21234.1437,3,"['bb', 'poc', 'vwap']",True,21250.375,21235.25,21238.25
2025-06-02T03:25:00-04:00,5min,short,displacement,B,with_trend,21235.3,21261.75,21261.75,21261.75,21234.146,3,"['bb', 'poc', 'vwap']",True,21250.625,21267.5,21234.5
2025-06-02T03:26:00-04:00,2min,short,displacement,B,with_trend,21231.125,21239.0,21238.0,21239.0,21234.0274,3,"['bb', 'poc', 'vwap']",True,,,21218.0
2025-06-02T03:27:00-04:00,3min,short,displacement,B,with_trend,21231.125,21239.0,21238.0,21239.0,21233.9281,3,"['bb', 'poc', 'vwap']",True,,,21217.75
2025-06-02T03:30:00-04:00,5min,short,displacement,B,with_trend,21229.1607,21234.0,21234.0,21234.0,21233.9421,3,"['bb', 'poc', 'vwap']",True,21215.25,21267.5,21172.0
2025-06-02T03:37:00-04:00,1min,long,displacement,A,counter_trend,21225.4398,21221.0,21221.0,21222.0,21227.8787,3,"['bb', 'poc', 'vwap']",True,21216.625,21206.5,21225.5
2025-06-02T03:39:00-04:00,3min,long,rejection_block,B2,counter_trend,21225.2752,21221.0,21221.0,21222.0,21222.8314,2,"['bb', 'vwap']",True,21199.625,21163.0,21232.0
2025-06-02T03:40:00-04:00,5min,long,rejection_block,B2,counter_trend,21225.1321,21211.5,21211.5,21220.25,21221.9285,2,"['bb', 'vwap']",True,21200.125,21163.0,21227.0
2025-06-02T03:42:00-04:00,3min,short,rejection_block,B2,with_trend,21231.125,21237.25,21231.25,21237.25,21233.425,2,"['bb', 'poc']",True,21226.375,21237.25,21219.0
2025-06-02T03:45:00-04:00,5min,short,rejection_block,B2,range,21224.6291,21227.75,21226.5,21227.75,21231.0158,3,"['bb', 'poc', 'vwap']",True,21224.375,21237.25,21220.25
2025-06-02T03:46:00-04:00,2min,short,rejection_block,B2,range,21224.4563,21230.0,21222.75,21230.0,21229.6641,3,"['bb', 'poc', 'vwap']",True,,,21222.75
2025-06-02T03:48:00-04:00,3min,short,rejection_block,B2,range,21229.775,21231.25,21219.75,21231.25,21231.4906,2,"['bb', 'poc']",True,21223.5,21231.25,21219.5
2025-06-02T03:49:00-04:00,1min,long,rejection_block,B2,range,21224.085,21216.0,21216.0,21220.5,21220.7112,2,"['bb', 'vwap']",True,21221.5,21216.0,21225.0
2025-06-02T03:50:00-04:00,5min,short,rejection_block,B2,range,21231.125,21231.25,21223.5,21231.25,21232.125,2,"['bb', 'poc']",True,21224.375,21237.25,21223.5
2025-06-02T03:51:00-04:00,3min,short,rejection_block,B2,range,21221.025,21230.0,21220.5,21230.0,21224.3488,2,"['bb', 'vwap']",True,21222.875,21230.0,21220.25
2025-06-02T03:54:00-04:00,1min,long,displacement,B,range,21231.5,21223.75,21223.75,21227.0,21228.056,3,"['bb', 'poc', 'vwap']",True,21227.875,21223.0,21232.75
2025-06-02T03:56:00-04:00,2min,short,displacement,B,range,21224.575,21233.0,21232.5,21233.0,21228.0567,3,"['bb', 'poc', 'vwap']",True,21227.0,21233.0,21224.0
2025-06-02T03:57:00-04:00,3min,short,displacement,B,range,21223.1594,21233.0,21232.5,21233.0,21227.7724,3,"['bb', 'poc', 'vwap']",True,21221.0,21233.0,21212.5
2025-06-02T03:58:00-04:00,2min,short,rejection_block,B2,range,21221.65,21229.0,21224.25,21229.0,21224.7776,3,"['bb', 'poc', 'vwap']",True,21222.5,21232.75,21218.0
2025-06-02T04:00:00-04:00,5min,short,displacement,B,range,21219.2125,21229.0,21227.0,21229.0,21221.2439,2,"['bb', 'vwap']",True,21221.0,21233.0,21211.5
2025-06-02T04:02:00-04:00,2min,long,displacement,B,range,21222.425,21206.5,21206.5,21211.25,21220.9373,2,"['bb', 'vwap']",True,21219.125,21206.5,21231.0
2025-06-02T04:03:00-04:00,3min,long,displacement,A,range,21222.7375,21206.5,21206.5,21211.25,21221.0046,2,"['bb', 'vwap']",True,21219.625,21206.5,21229.75
2025-06-02T04:04:00-04:00,2min,short,rejection_block,B2,range,21230.325,21232.75,21231.5,21232.75,21231.1833,2,"['bb', 'poc']",True,21219.625,21232.75,21222.25
2025-06-02T04:05:00-04:00,5min,short,rejection_block,B2,range,21230.325,21232.75,21226.75,21232.75,21231.3042,2,"['bb', 'poc']",True,21219.75,21233.0,21226.75
2025-06-02T04:06:00-04:00,3min,long,rejection_block,B2,range,21223.9125,21207.25,21207.25,21229.25,21221.2687,2,"['bb', 'vwap']",True,21221.875,21207.25,21234.75
2025-06-02T04:07:00-04:00,1min,long,rejection_block,B2,range,21232.4625,21232.0,21232.0,21234.0,21230.9208,2,"['bb', 'poc']",False,21225.625,21207.25,21234.0
2025-06-02T04:08:00-04:00,2min,long,rejection_block,B2,range,21232.4625,21232.0,21232.0,21234.25,21231.7938,2,"['bb', 'poc']",False,21225.625,21207.25,21243.5
2025-06-02T04:09:00-04:00,3min,long,rejection_block,B2,range,21232.4625,21232.0,21232.0,21234.25,21231.7938,2,"['bb', 'poc']",False,21229.625,21210.0,21246.25
