dir,entry_ts,entry_px,exit_ts,exit_px,signal,qty,pnl,comm,mfe,mae,bars
-1,2026-03-03 10:00:00,5048.7,2026-03-03 10:15:00,5018.7,XS,1,2997,3,2998.5,-3051.5,1
-1,2026-03-04 10:00:00,5155.1,2026-03-04 11:45:00,5158.5,scratch,1,-343,3,1488.5,-2221.5,7
-1,2026-03-05 10:15:00,5093.5,2026-03-05 11:30:00,5063.5,XS,1,2997,3,2998.5,-2001.5,5
1,2026-03-06 10:00:00,5139.4,2026-03-06 10:15:00,5169.4,XL,1,2997,3,3228.5,-201.5,1
1,2026-03-10 11:15:00,5233.4,2026-03-10 13:00:00,5236.8,scratch,1,337,3,1528.5,-191.5,7
1,2026-03-11 10:30:00,5202.0,2026-03-11 11:45:00,5171.9,XL,1,-3013,3,228.5,-3011.5,5
-1,2026-03-12 10:00:00,5156.9,2026-03-12 11:00:00,5136.2,XS,1,2067,3,2068.5,-1331.5,4
-1,2026-03-13 10:15:00,5095.4,2026-03-13 10:45:00,5072.3,XS,1,2307,3,2308.5,-491.5,2
-1,2026-03-17 10:30:00,5012.8,2026-03-17 11:30:00,4988.9,XS,1,2387,3,2388.5,-1151.5,4
-1,2026-03-20 10:00:00,4617.0,2026-03-20 10:15:00,4587.0,XS,1,2997,3,3128.5,-621.5,1
1,2026-03-24 10:15:00,4395.6,2026-03-24 10:45:00,4425.6,XL,1,2997,3,2998.5,-691.5,2
-1,2026-03-25 10:00:00,4543.2,2026-03-25 10:45:00,4573.3,XS,1,-3013,3,1198.5,-3011.5,3
1,2026-03-26 10:45:00,4457.0,2026-03-26 12:00:00,4426.9,XL,1,-3013,3,908.5,-3011.5,5
1,2026-03-27 10:15:00,4456.3,2026-03-27 10:45:00,4486.3,XL,1,2997,3,2998.5,-841.5,2
1,2026-03-31 10:00:00,4637.3,2026-03-31 11:45:00,4651.5,scratch,1,1417,3,2468.5,-1201.5,7
1,2026-04-01 10:45:00,4782.3,2026-04-01 11:30:00,4806.6,XL,1,2427,3,2428.5,-171.5,3
1,2026-04-02 10:30:00,4691.6,2026-04-02 10:45:00,4699.0,XL,1,737,3,3478.5,-541.5,1
