day,chained_regime,chained_action,fresh_regime,fresh_action,agree,oracle,chained_right,fresh_right
2026-06-01,war,MOMENTUM,war,MOMENTUM,True,ROTATION,False,False
2026-06-02,event_risk,FLAT,event_risk,FLAT,True,FLAT,True,True
2026-06-03,event_risk,FLAT,event_risk,FLAT,True,,,
2026-06-04,event_risk,FLAT,war,FLAT,True,ROTATION,False,False
2026-06-05,event_risk,FLAT,event_risk,FLAT,True,FLAT,True,True
2026-06-08,event_risk,FLAT,event_risk,FLAT,True,ROTATION,False,False
2026-06-09,war,MOMENTUM,war,MOMENTUM,True,MOMENTUM,True,True
2026-06-10,event_risk,FLAT,event_risk,FLAT,True,FLAT,True,True
2026-06-11,event_risk,FLAT,event_risk,FLAT,True,FLAT,True,True
2026-06-12,war,MOMENTUM,war,MOMENTUM,True,MOMENTUM,True,True
2026-06-15,war,MOMENTUM,war,MOMENTUM,True,ROTATION,False,False
2026-06-16,event_risk,FLAT,event_risk,FLAT,True,MOMENTUM,False,False
2026-06-18,war,MOMENTUM,balance,ROTATION,False,MOMENTUM,True,False
2026-06-19,balance,ROTATION,balance,ROTATION,True,FLAT,False,False
2026-06-22,war,MOMENTUM,balance,ROTATION,False,FLAT,False,False
2026-06-23,trap,ROTATION,balance,ROTATION,True,FLAT,False,False
2026-06-24,balance,FLAT,balance,ROTATION,False,ROTATION,False,True
2026-06-25,event_risk,FLAT,event_risk,FLAT,True,MOMENTUM,False,False
2026-06-26,war,FLAT,balance,ROTATION,False,ROTATION,False,True
2026-06-29,war,FLAT,trap,ROTATION,False,MOMENTUM,False,False
2026-06-30,event_risk,FLAT,event_risk,FLAT,True,FLAT,True,True
