date,allow_reversion,allow_continuation,size_multiplier,directional_bias
2026-06-01,True,True,0.5,long
2026-06-02,False,False,0.0,neutral
2026-06-03,False,False,0.0,neutral
2026-06-04,False,False,0.0,neutral
2026-06-05,True,True,0.5,neutral
2026-06-08,False,False,0.0,neutral
2026-06-09,False,True,0.5,long
2026-06-10,False,False,0.0,neutral
2026-06-11,False,False,0.0,neutral
2026-06-12,True,True,0.5,long
2026-06-15,True,False,0.5,neutral
2026-06-16,False,False,0.0,neutral
2026-06-17,False,False,0.0,neutral
2026-06-18,True,True,0.5,long
2026-06-19,True,True,0.5,neutral
2026-06-22,False,True,0.5,long
2026-06-23,True,False,0.5,neutral
2026-06-24,False,False,0.0,neutral
2026-06-25,False,False,0.0,neutral
2026-06-26,False,False,0.0,neutral
2026-06-29,False,False,0.0,neutral
2026-06-30,False,True,0.5,long
