arm,day,action,oracle,hit,agent_pl,oracle_pl,regret,e3,e4
chained,2026-06-01,MOMENTUM,ROTATION,False,190,295,105,295,190
fresh,2026-06-01,MOMENTUM,ROTATION,False,190,295,105,295,190
chained,2026-06-02,FLAT,FLAT,True,0,0,0,-335,-390
fresh,2026-06-02,FLAT,FLAT,True,0,0,0,-335,-390
chained,2026-06-04,FLAT,ROTATION,False,0,889,889,889,0
fresh,2026-06-04,FLAT,ROTATION,False,0,889,889,889,0
chained,2026-06-05,FLAT,FLAT,True,0,0,0,-772,0
fresh,2026-06-05,FLAT,FLAT,True,0,0,0,-772,0
chained,2026-06-08,FLAT,ROTATION,False,0,3131,3131,3131,475
fresh,2026-06-08,FLAT,ROTATION,False,0,3131,3131,3131,475
chained,2026-06-09,MOMENTUM,MOMENTUM,True,810,810,0,445,810
fresh,2026-06-09,MOMENTUM,MOMENTUM,True,810,810,0,445,810
chained,2026-06-10,FLAT,FLAT,True,0,0,0,-10,0
fresh,2026-06-10,FLAT,FLAT,True,0,0,0,-10,0
chained,2026-06-11,FLAT,FLAT,True,0,0,0,-10,0
fresh,2026-06-11,FLAT,FLAT,True,0,0,0,-10,0
chained,2026-06-12,MOMENTUM,MOMENTUM,True,1400,1400,0,-560,1400
fresh,2026-06-12,MOMENTUM,MOMENTUM,True,1400,1400,0,-560,1400
chained,2026-06-15,MOMENTUM,ROTATION,False,-5,909,914,909,-5
fresh,2026-06-15,MOMENTUM,ROTATION,False,-5,909,914,909,-5
chained,2026-06-16,FLAT,MOMENTUM,False,0,885,885,210,885
fresh,2026-06-16,FLAT,MOMENTUM,False,0,885,885,210,885
chained,2026-06-17,FLAT,ROTATION,False,0,211,211,211,-465
chained,2026-06-18,MOMENTUM,MOMENTUM,True,1030,1030,0,-10,1030
fresh,2026-06-18,ROTATION,MOMENTUM,False,-10,1030,1040,-10,1030
chained,2026-06-19,ROTATION,FLAT,False,-288,0,288,-288,-15
fresh,2026-06-19,ROTATION,FLAT,False,-288,0,288,-288,-15
chained,2026-06-22,MOMENTUM,FLAT,False,-30,0,30,-602,-30
fresh,2026-06-22,ROTATION,FLAT,False,-602,0,602,-602,-30
chained,2026-06-23,ROTATION,FLAT,False,-635,0,635,-635,-640
fresh,2026-06-23,ROTATION,FLAT,False,-635,0,635,-635,-640
chained,2026-06-24,FLAT,ROTATION,False,0,71,71,71,-280
fresh,2026-06-24,ROTATION,ROTATION,True,71,71,0,71,-280
chained,2026-06-25,FLAT,MOMENTUM,False,0,120,120,-515,120
fresh,2026-06-25,FLAT,MOMENTUM,False,0,120,120,-515,120
chained,2026-06-26,FLAT,ROTATION,False,0,1060,1060,1060,0
fresh,2026-06-26,ROTATION,ROTATION,True,1060,1060,0,1060,0
chained,2026-06-29,FLAT,MOMENTUM,False,0,450,450,368,450
fresh,2026-06-29,ROTATION,MOMENTUM,False,368,450,82,368,450
chained,2026-06-30,FLAT,FLAT,True,0,0,0,-315,0
fresh,2026-06-30,FLAT,FLAT,True,0,0,0,-315,0
