day,stance,stance_asked,health_override,book,act,size,pl,oracle,hit,orc,e3,e4
2026-01-02,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-432,0
2026-01-05,risk_on,risk_on,False,MOMENTUM,MOMENTUM,1.0,375,MOMENTUM,True,375,0,375
2026-01-06,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-296,-575
2026-01-07,risk_on,risk_on,False,MOMENTUM,MOMENTUM,1.0,-840,FLAT,False,0,-825,-840
2026-01-08,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,ROTATION,False,340,340,155
2026-01-09,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-136,-30
2026-01-12,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-520,-395
2026-01-13,risk_on,risk_on,False,ROTATION,ROTATION,1.0,378,MOMENTUM,False,790,378,790
2026-01-14,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-385,-420
2026-01-15,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-645,-690
2026-01-16,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-640,-420
2026-01-19,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-118,-540
2026-01-20,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-648,-535
2026-01-21,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,0,-350
2026-01-22,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-520,FLAT,False,0,0,-520
2026-01-23,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,ROTATION,False,671,671,560
2026-01-26,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-330,-405
2026-01-27,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-660,0
2026-01-28,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-270,-350
2026-01-29,risk_on,risk_on,False,ROTATION,ROTATION,1.0,72,MOMENTUM,False,515,72,515
2026-01-30,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-430,-860
2026-02-02,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-940,FLAT,False,0,0,-940
2026-02-03,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-165,-105
2026-02-09,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-320,0
2026-02-10,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,ROTATION,False,1274,1274,1000
2026-02-11,risk_on,risk_on,False,MOMENTUM,MOMENTUM,1.0,0,FLAT,False,0,-185,0
2026-02-12,risk_on,risk_on,False,MOMENTUM,MOMENTUM,1.0,365,ROTATION,False,730,730,365
2026-02-13,risk_on,risk_on,False,ROTATION,ROTATION,1.0,512,ROTATION,True,512,512,0
2026-02-16,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,450,ROTATION,False,940,940,450
2026-02-17,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,915,ROTATION,False,1318,1318,915
2026-02-18,risk_on,risk_on,False,ROTATION,ROTATION,1.0,1052,ROTATION,True,1052,1052,0
2026-02-19,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-184,-305
2026-02-20,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,0,FLAT,False,0,-50,0
2026-02-23,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,1735,MOMENTUM,True,1735,1360,1735
2026-02-24,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-250,ROTATION,False,244,244,-250
2026-02-25,risk_on,risk_on,False,CHAMPION,ROTATION,1.0,975,ROTATION,True,975,975,310
2026-02-26,risk_on,risk_on,False,CHAMPION,ROTATION,1.0,449,ROTATION,True,449,449,-540
2026-02-27,risk_on,risk_on,False,CHAMPION,ROTATION,1.0,32,ROTATION,True,32,32,0
2026-03-04,risk_on,risk_on,False,CHAMPION,ROTATION,1.0,-488,FLAT,False,0,-488,0
2026-03-05,risk_on,risk_on,False,ROTATION,ROTATION,1.0,-285,FLAT,False,0,-285,-320
2026-03-06,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-75,FLAT,False,0,-1455,-75
2026-03-09,risk_on,risk_on,False,ROTATION,ROTATION,1.0,1880,ROTATION,True,1880,1880,-465
2026-03-10,risk_on,risk_on,False,ROTATION,ROTATION,1.0,-330,MOMENTUM,False,742,-330,742
