day,stance,book,act,size,pl,oracle,hit,orc,e3,e4
2026-02-02,risk_on,CHAMPION,MOMENTUM,0.5,-470,FLAT,False,0,0,-940
2026-02-13,risk_on,ROTATION,ROTATION,0.5,256,ROTATION,True,512,512,0
2026-02-26,risk_on,CHAMPION,ROTATION,0.5,224,ROTATION,True,449,449,-540
2026-03-11,risk_on,CHAMPION,MOMENTUM,0.5,288,MOMENTUM,True,575,186,575
2026-03-24,risk_on,CHAMPION,MOMENTUM,0.5,-152,FLAT,False,0,-775,-305
2026-04-06,risk_on,CHAMPION,MOMENTUM,0.5,0,FLAT,False,0,-130,0
2026-04-17,risk_on,CHAMPION,MOMENTUM,0.5,0,FLAT,False,0,-885,0
2026-04-30,risk_on,CHAMPION,MOMENTUM,0.5,748,MOMENTUM,True,1495,978,1495
2026-05-13,risk_on,CHAMPION,MOMENTUM,0.5,0,FLAT,False,0,-390,0
2026-05-26,risk_on,ROTATION,ROTATION,0.5,-5,MOMENTUM,False,450,-10,450
2026-06-08,risk_on,ROTATION,ROTATION,0.5,1566,ROTATION,True,3131,3131,475
2026-06-19,risk_on,CHAMPION,MOMENTUM,0.5,-8,FLAT,False,0,-288,-15
