day,stance,stance_asked,health_override,book,act,size,pl,oracle,hit,orc,e3,e4
2023-01-04,risk_on,risk_on,False,MOMENTUM,MOMENTUM,1.0,1155,MOMENTUM,True,1155,0,1155
2023-01-05,risk_on,risk_on,False,MOMENTUM,MOMENTUM,1.0,-165,ROTATION,False,78,78,-165
2023-01-06,risk_on,risk_on,False,MOMENTUM,MOMENTUM,1.0,0,ROTATION,False,1174,1174,0
2023-01-09,risk_on,risk_on,False,CHAMPION,ROTATION,1.0,-132,MOMENTUM,False,110,-132,110
2023-01-10,risk_on,risk_on,False,MOMENTUM,MOMENTUM,1.0,-395,FLAT,False,0,-450,-395
2023-01-11,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,225,MOMENTUM,True,225,-235,225
2023-01-12,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,0,FLAT,False,0,-560,0
2023-01-13,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-480,ROTATION,False,820,820,-480
2023-01-16,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,245,MOMENTUM,True,245,-70,245
2023-01-17,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,110,ROTATION,False,410,410,110
2023-01-18,risk_on,risk_on,False,MOMENTUM,MOMENTUM,1.0,-35,FLAT,False,0,-150,-35
2023-01-19,risk_on,risk_on,False,ROTATION,ROTATION,1.0,-325,FLAT,False,0,-325,-465
2023-01-20,risk_on,risk_on,False,MOMENTUM,MOMENTUM,1.0,-305,FLAT,False,0,-65,-305
2023-01-23,risk_on,risk_on,False,MOMENTUM,MOMENTUM,1.0,160,ROTATION,False,190,190,160
2023-01-24,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-30,-345
2023-01-25,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,ROTATION,False,258,258,205
2023-01-26,risk_on,risk_on,False,CHAMPION,ROTATION,1.0,-94,FLAT,False,0,-94,0
2023-01-27,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,ROTATION,False,206,206,-410
2023-01-30,risk_on,risk_on,False,CHAMPION,ROTATION,1.0,-555,FLAT,False,0,-555,-400
2023-01-31,risk_on,risk_on,False,ROTATION,ROTATION,1.0,-165,FLAT,False,0,-165,-375
2023-02-01,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-325,FLAT,False,0,-391,-325
2023-02-02,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,MOMENTUM,False,225,-625,225
2023-02-06,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-410,-635
2023-02-07,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-280,-35
2023-02-08,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-350,-35
2023-02-09,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,MOMENTUM,False,55,-275,55
2023-02-10,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,ROTATION,False,432,432,-360
2023-02-13,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-440,FLAT,False,0,-340,-440
2023-02-14,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,0,FLAT,False,0,-495,0
2023-02-15,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-175,-580
2023-02-16,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,MOMENTUM,False,2990,-115,2990
