axis,side,setting,lift,ci_lo,ci_hi
K,above,5,0.19215043670553794,0.15717502570647401,0.23142861836954642
K,above,10,0.30018905197867324,0.25037467791693147,0.35016468207376517
K,above,15,0.34900190114068436,0.2922178764310957,0.40450405859613614
K,above,20,0.38132948734758093,0.32085526597735087,0.44422968028533555
K,above,30,0.41665457289640956,0.3492909763943688,0.48718173169064516
K,above,45,0.4720951214796674,0.4004800199464645,0.5422774280143683
K,above,60,0.5126923773311607,0.43682498244209644,0.5892699077325384
K,below,5,0.21236276806793597,0.17185013794393247,0.252812082303745
K,below,10,0.32454463117641136,0.2648785692937475,0.3842911551669082
K,below,15,0.37024026561133594,0.300718413809404,0.4353505558186982
K,below,20,0.4122639294220254,0.3379140884031151,0.48391161810021577
K,below,30,0.4921647684761825,0.4067920404554686,0.5783058458244417
K,below,45,0.5482288417027271,0.45223569420210535,0.6349156911701958
K,below,60,0.5754981018095159,0.47729594217746335,0.6717785328091507
bin_width,above,0.25,0.33653846153846156,0.2843322373645319,0.3924191737266217
bin_width,below,0.25,0.40534988679471606,0.34116204312142306,0.47473662686389995
bin_width,above,2.0,0.3439614124049224,0.2851404407776851,0.40317277049187406
bin_width,below,2.0,0.404055829228243,0.33427351395668836,0.4771018312479601
va_pct,above,0.68,0.3712689487435734,0.31193829744816587,0.4346891235478192
va_pct,below,0.68,0.38101724466722975,0.3191975483251093,0.44563186258178245
va_pct,above,0.75,0.3283405172413793,0.26740740645180366,0.38886344179497706
va_pct,below,0.75,0.34496388169551584,0.27284344961974744,0.42189724549015123
expansion,above,single,0.34474770752316486,0.2883501626885172,0.40460172761225754
expansion,below,single,0.40303578520054717,0.33552768878686995,0.4715686206209366
