tag,side,K,outcome,lift,ci_lo,ci_hi,n_cond_exc,n_cond_clusters,powered,null_spanning
FIT,above,5,cont_before_reentry_0.25,0.3797826813242758,0.3341128949385771,0.42538544388787947,239,219,True,False
FIT,above,5,cont_before_reentry_0.5,0.3253336939402135,0.28310704006171955,0.37003561481021674,239,219,True,False
FIT,above,5,cont_before_reentry_0.75,0.2503698872042891,0.2114180454828505,0.2915135035311317,239,219,True,False
FIT,above,5,cont_before_reentry_1.0,0.19215043670553794,0.15717502570647401,0.23142861836954642,239,219,True,False
FIT,above,5,cont_before_reentry_1.5,0.11871390616796858,0.09068756334762755,0.14871944817661875,239,219,True,False
FIT,above,5,cont_before_reentry_2.0,0.07077175175398126,0.047161225127491685,0.09487703232053811,239,219,True,False
FIT,above,5,cont_before_stop_10,0.13735940308955247,0.1064961365243675,0.16968728443834377,239,219,True,False
FIT,above,5,cont_before_stop_20,0.15638671906072513,0.12352511811110102,0.19314866992548252,239,219,True,False
FIT,above,5,cont_before_stop_30,0.1776969947658972,0.14194614566467198,0.21539855407010777,239,219,True,False
FIT,above,5,cont_before_stop_40,0.18036177354948532,0.14526473392307399,0.21869570453682602,239,219,True,False
FIT,above,5,cont_before_stop_60,0.17581176320855274,0.137029327600619,0.21699109191885113,239,219,True,False
FIT,above,5,cont_before_stop_80,0.16631401435003262,0.12356810809606661,0.20915611385988722,239,219,True,False
FIT,above,5,returned_to_poc,-0.09677521994368166,-0.14394472614431436,-0.049893306201599034,239,219,True,False
FIT,above,10,cont_before_reentry_0.25,0.4731185079762941,0.4267248822605965,0.5170611902648203,179,176,True,False
FIT,above,10,cont_before_reentry_0.5,0.4519085753127855,0.39824729071033677,0.5039471910712512,179,176,True,False
FIT,above,10,cont_before_reentry_0.75,0.375331903052446,0.3205085344640139,0.42753941431548587,179,176,True,False
FIT,above,10,cont_before_reentry_1.0,0.30018905197867324,0.25037467791693147,0.35016468207376517,179,176,True,False
FIT,above,10,cont_before_reentry_1.5,0.1916434777067358,0.14602805510629357,0.23827066381757506,179,176,True,False
FIT,above,10,cont_before_reentry_2.0,0.11424899632516941,0.07900983920812697,0.15260939190815334,179,176,True,False
FIT,above,10,cont_before_stop_10,0.21173821611402593,0.16472408561498816,0.26257772403464474,179,176,True,False
FIT,above,10,cont_before_stop_20,0.23920385751003673,0.19293626382362894,0.28984414902641303,179,176,True,False
FIT,above,10,cont_before_stop_30,0.2703549504004078,0.21886371199410096,0.324475032858557,179,176,True,False
FIT,above,10,cont_before_stop_40,0.27023812052594687,0.2171031435175938,0.32187029578374393,179,176,True,False
FIT,above,10,cont_before_stop_60,0.2657348599103596,0.21161957565461173,0.3218318360512837,179,176,True,False
FIT,above,10,cont_before_stop_80,0.2520763854961021,0.19482252674886716,0.31234354817999904,179,176,True,False
FIT,above,10,returned_to_poc,-0.181298723368099,-0.24022742055728677,-0.12248001453488376,179,176,True,False
FIT,above,15,cont_before_reentry_0.25,0.4950807984790874,0.4466707591480022,0.5421979698613685,160,160,True,False
FIT,above,15,cont_before_reentry_0.5,0.5164686311787072,0.4644780257688505,0.5672918840413509,160,160,True,False
FIT,above,15,cont_before_reentry_0.75,0.4400665399239544,0.383039388931168,0.4974915625703957,160,160,True,False
FIT,above,15,cont_before_reentry_1.0,0.34900190114068436,0.2922178764310957,0.40450405859613614,160,160,True,False
FIT,above,15,cont_before_reentry_1.5,0.2261406844106464,0.17608552471883937,0.27746188005733696,160,160,True,False
FIT,above,15,cont_before_reentry_2.0,0.13481463878326996,0.09575214364800899,0.1810880383126289,160,160,True,False
FIT,above,15,cont_before_stop_10,0.2446292775665399,0.19320557206831915,0.29848381435409277,160,160,True,False
FIT,above,15,cont_before_stop_20,0.27806558935361214,0.2243048651670283,0.33238647559337214,160,160,True,False
FIT,above,15,cont_before_stop_30,0.3158507604562738,0.25963661566019003,0.3750320421276389,160,160,True,False
FIT,above,15,cont_before_stop_40,0.31639733840304185,0.25994759306633014,0.3746045267991722,160,160,True,False
FIT,above,15,cont_before_stop_60,0.30962452471482893,0.25140689840449304,0.3702276706156858,160,160,True,False
FIT,above,15,cont_before_stop_80,0.29795627376425854,0.23758384450097764,0.35807895016587454,160,160,True,False
FIT,above,15,returned_to_poc,-0.22169676806083644,-0.28150612389885726,-0.16237123903227532,160,160,True,False
FIT,above,20,cont_before_reentry_0.25,0.503054936410122,0.4550462328805267,0.5516304725924922,145,145,True,False
