block,outcome,n,k,p,wilson_lo,wilson_hi
FIT|above|per_excursion|UNCOND,cont_before_reentry_0.25,526,236,0.44866920152091255,0.4066898471843739,0.49139290056514223
FIT|above|per_excursion|UNCOND,cont_before_reentry_0.5,526,159,0.30228136882129275,0.26458395959344305,0.3428458835898781
FIT|above|per_excursion|UNCOND,cont_before_reentry_0.75,526,117,0.2224334600760456,0.18897669181920385,0.2599152034189201
FIT|above|per_excursion|UNCOND,cont_before_reentry_1.0,526,86,0.1634980988593156,0.13435350626243997,0.19752228453994325
FIT|above|per_excursion|UNCOND,cont_before_reentry_1.5,526,52,0.09885931558935361,0.07618700954405952,0.12734853768364024
FIT|above|per_excursion|UNCOND,cont_before_reentry_2.0,526,31,0.058935361216730035,0.04182683160472938,0.08243974165037177
FIT|above|per_excursion|UNCOND,cont_before_stop_10,526,62,0.11787072243346007,0.09304496458673077,0.14823771310411116
FIT|above|per_excursion|UNCOND,cont_before_stop_20,526,74,0.14068441064638784,0.11356903494553487,0.17301019930107772
FIT|above|per_excursion|UNCOND,cont_before_stop_30,526,87,0.16539923954372623,0.13609581522152642,0.19955468862717096
FIT|above|per_excursion|UNCOND,cont_before_stop_40,526,90,0.17110266159695817,0.14133152085708497,0.20564312213055505
FIT|above|per_excursion|UNCOND,cont_before_stop_60,526,110,0.20912547528517111,0.17654126241779847,0.24592764149612598
FIT|above|per_excursion|UNCOND,cont_before_stop_80,526,126,0.23954372623574144,0.20504081246531583,0.27782350018963614
FIT|above|per_excursion|UNCOND,returned_to_poc,526,304,0.5779467680608364,0.5353235036492744,0.6194397312496084
FIT|above|per_excursion|accepted_5,cont_before_reentry_0.25,239,198,0.8284518828451883,0.7755565540526733,0.8709554109483809
FIT|above|per_excursion|accepted_5,cont_before_reentry_0.5,239,150,0.6276150627615062,0.5647580541241106,0.6864344927871269
FIT|above|per_excursion|accepted_5,cont_before_reentry_0.75,239,113,0.47280334728033474,0.41043767732008185,0.5360294848135888
FIT|above|per_excursion|accepted_5,cont_before_reentry_1.0,239,85,0.35564853556485354,0.29767909780342106,0.41818507044452324
FIT|above|per_excursion|accepted_5,cont_before_reentry_1.5,239,52,0.2175732217573222,0.16995482838738366,0.2741272399238118
FIT|above|per_excursion|accepted_5,cont_before_reentry_2.0,239,31,0.1297071129707113,0.09290282010041347,0.17822700279648723
FIT|above|per_excursion|accepted_5,cont_before_stop_10,239,61,0.25523012552301255,0.204128962408478,0.31407549679455804
FIT|above|per_excursion|accepted_5,cont_before_stop_20,239,71,0.29707112970711297,0.24271656082071194,0.3578461104843692
