axis,side,setting,lift,ci_lo,ci_hi
K,above,5,0.08058981730501724,0.03978300074072443,0.11839972560528811
K,above,10,0.09352297257316933,0.06374961712354052,0.12601405738033583
K,above,15,0.0969166199173056,0.06886612612687446,0.12661738411199452
K,above,20,0.09396924243785121,0.06751508333494688,0.12244292149092932
K,above,30,0.08787601674929013,0.06258677782678546,0.11615821220013962
K,above,45,0.09117087899798704,0.06748071587133636,0.11672560138473519
K,above,60,0.09663755497954363,0.07333260323252494,0.12049096179363226
bin_width,above,0.25,0.09713149978513103,0.06836874497784562,0.12822398344295516
bin_width,above,1.0,0.0969166199173056,0.06728336663805072,0.12740813533193296
bin_width,above,2.0,0.09965287194229,0.06997719508318377,0.12901770326314635
va_pct,above,0.68,0.10077342114356569,0.07169310397718652,0.13246315060174116
va_pct,above,0.7,0.0969166199173056,0.06828206399818056,0.12575360560749146
va_pct,above,0.75,0.0976243188010899,0.06776121763869497,0.1279325182396399
expansion,above,paired,0.0969166199173056,0.0681073792588015,0.12623361465057528
expansion,above,single,0.10013071211962765,0.07146109880169474,0.1311173070541274
K,below,5,0.03905507925738605,0.0021958677667267335,0.07744611339025953
K,below,10,0.060061948225301975,0.031074880675497046,0.09070200466135607
K,below,15,0.059719890130154996,0.03456651681359944,0.08582493787986722
K,below,20,0.06408859925107646,0.0419640266233665,0.08851993987116577
K,below,30,0.06267606571049589,0.04163180634365601,0.08394450718480978
K,below,45,0.06519349305546651,0.04543760298506627,0.08471392258925571
K,below,60,0.06444942343814497,0.04692862870890131,0.08393056017474491
bin_width,below,0.25,0.07051985084448342,0.04539116980716857,0.09824051662220495
bin_width,below,1.0,0.059719890130154996,0.03438093312000236,0.08449830909224657
bin_width,below,2.0,0.04661310979159383,0.02473623311046844,0.07081147198573289
va_pct,below,0.68,0.07640490006447453,0.0479177248379701,0.1056248227369487
va_pct,below,0.7,0.059719890130154996,0.033345298938890516,0.08628023821832317
va_pct,below,0.75,0.05417046721394547,0.030661544562701176,0.08084197226025802
expansion,below,paired,0.059719890130154996,0.035072209759395116,0.08523574459190468
expansion,below,single,0.070074290368075,0.04572247486435494,0.09731586322879038
