tag,side,K,outcome,lift,ci_lo,ci_hi,n_cond_exc,n_cond_clusters,powered,null_spanning
FIT,above,5,touched_poc,0.08058981730501724,0.03978300074072443,0.11839972560528811,287,218,True,False
FIT,above,5,reached_opposite_edge,0.042341781375445475,0.0068623403172178386,0.07896614589439054,287,218,True,False
FIT,above,5,poc_before_stop_10,0.06616234549091826,0.041339512601871554,0.09330762102370208,287,218,True,False
FIT,above,5,poc_before_stop_20,0.08229885666591591,0.051880745155016464,0.114717406208227,287,218,True,False
FIT,above,5,poc_before_stop_30,0.10001854771399427,0.06898552890561724,0.1323115584399295,287,218,True,False
FIT,above,5,poc_before_stop_40,0.1063380188391781,0.07135720402104438,0.14133017269003115,287,218,True,False
FIT,above,5,poc_before_stop_60,0.1344974231925915,0.09798819852622048,0.1733267999083811,287,218,True,False
FIT,above,5,poc_before_stop_80,0.12528980803116013,0.086476737514028,0.1688598631788812,287,218,True,False
FIT,above,10,touched_poc,0.09352297257316933,0.06374961712354052,0.12601405738033583,347,260,True,False
FIT,above,10,reached_opposite_edge,0.04476172735341494,0.01758735747235064,0.07189130422824438,347,260,True,False
FIT,above,10,poc_before_stop_10,0.05608091079431521,0.039738095990498525,0.07236032484636011,347,260,True,False
FIT,above,10,poc_before_stop_20,0.08262017729369608,0.06155275931396434,0.1043496751693328,347,260,True,False
FIT,above,10,poc_before_stop_30,0.09573092558705248,0.0726588314852728,0.12119947274382181,347,260,True,False
FIT,above,10,poc_before_stop_40,0.10105631102004142,0.07505057988622554,0.1287361569891447,347,260,True,False
FIT,above,10,poc_before_stop_60,0.11845147434281889,0.08805066651902288,0.149445082291107,347,260,True,False
FIT,above,10,poc_before_stop_80,0.11341098607291172,0.08406705281344792,0.14595671753988104,347,260,True,False
FIT,above,15,touched_poc,0.0969166199173056,0.06886612612687446,0.12661738411199452,366,271,True,False
FIT,above,15,reached_opposite_edge,0.05005298260923763,0.025389610000932795,0.07583115718309673,366,271,True,False
FIT,above,15,poc_before_stop_10,0.04665586236988095,0.03293200519085269,0.061359789374971774,366,271,True,False
FIT,above,15,poc_before_stop_20,0.06885661451515718,0.0509707570059845,0.08672768510260534,366,271,True,False
FIT,above,15,poc_before_stop_30,0.0782272642273889,0.057650430307328394,0.09918167597923996,366,271,True,False
FIT,above,15,poc_before_stop_40,0.09437137692451536,0.07199582132160218,0.11745709261371531,366,271,True,False
FIT,above,15,poc_before_stop_60,0.1110972594485653,0.08495276341420911,0.1389405182225048,366,271,True,False
FIT,above,15,poc_before_stop_80,0.1082299653015853,0.08146033470627463,0.1393256365667844,366,271,True,False
FIT,above,20,touched_poc,0.09396924243785121,0.06751508333494688,0.12244292149092932,381,278,True,False
FIT,above,20,reached_opposite_edge,0.048331886270870095,0.024453973303180727,0.07271073697316294,381,278,True,False
FIT,above,20,poc_before_stop_10,0.03987904553755878,0.027106808450925907,0.054498365122134414,381,278,True,False
FIT,above,20,poc_before_stop_20,0.05896031056954382,0.042487687458058754,0.07666332352895203,381,278,True,False
FIT,above,20,poc_before_stop_30,0.07089109108509722,0.05262546287717645,0.09192627510200449,381,278,True,False
FIT,above,20,poc_before_stop_40,0.08970290310669343,0.06902175798349233,0.11186615467552895,381,278,True,False
FIT,above,20,poc_before_stop_60,0.10180333922138057,0.07746125172412659,0.12732418781681487,381,278,True,False
FIT,above,20,poc_before_stop_80,0.09635440056684935,0.07160321425603641,0.12261875902572628,381,278,True,False
FIT,above,30,touched_poc,0.08787601674929013,0.06258677782678546,0.11615821220013962,395,285,True,False
FIT,above,30,reached_opposite_edge,0.04768734658516627,0.024889382484280517,0.07196031374660926,395,285,True,False
FIT,above,30,poc_before_stop_10,0.03401838571497329,0.022728537828759852,0.047236156461075415,395,285,True,False
FIT,above,30,poc_before_stop_20,0.050401886701641224,0.036904979751864984,0.0660634476061471,395,285,True,False
FIT,above,30,poc_before_stop_30,0.06235260143427829,0.04464554776993895,0.0812508753043859,395,285,True,False
FIT,above,30,poc_before_stop_40,0.0787457284497281,0.059663422430099214,0.0999957792728773,395,285,True,False
FIT,above,30,poc_before_stop_60,0.0919093228088752,0.06947279212995361,0.11581323482872548,395,285,True,False
FIT,above,30,poc_before_stop_80,0.0867593974105983,0.061619458085026266,0.1131008271514838,395,285,True,False
FIT,above,45,touched_poc,0.09117087899798704,0.06748071587133636,0.11672560138473519,408,296,True,False
FIT,above,45,reached_opposite_edge,0.0480038022813688,0.028051988956197156,0.06839047603381926,408,296,True,False
FIT,above,45,poc_before_stop_10,0.03138745992693656,0.020137444857910823,0.04296628044877446,408,296,True,False
FIT,above,45,poc_before_stop_20,0.04543167076716617,0.03232990791655689,0.05941440081864133,408,296,True,False
FIT,above,45,poc_before_stop_30,0.05512376053082829,0.03898156509339933,0.07247734844444176,408,296,True,False
FIT,above,45,poc_before_stop_40,0.06941959293222993,0.052033351157824106,0.08719302178954212,408,296,True,False
FIT,above,45,poc_before_stop_60,0.08875717587415194,0.06817061117895551,0.11139578987759714,408,296,True,False
FIT,above,45,poc_before_stop_80,0.08159062103929021,0.058921939810801315,0.10470931865725902,408,296,True,False
FIT,above,60,touched_poc,0.09663755497954363,0.07333260323252494,0.12049096179363226,421,307,True,False
FIT,above,60,reached_opposite_edge,0.05542660513172509,0.0374674189720535,0.07461032851625472,421,307,True,False
FIT,above,60,poc_before_stop_10,0.02891901411630826,0.01993049152526376,0.03881390118848957,421,307,True,False
FIT,above,60,poc_before_stop_20,0.0431437009474093,0.03127382513359388,0.0563323759324255,421,307,True,False
FIT,above,60,poc_before_stop_30,0.05309195018198565,0.0393894761624616,0.06905200179138138,421,307,True,False
FIT,above,60,poc_before_stop_40,0.06542001210227327,0.05059671647304107,0.082063891375645,421,307,True,False
FIT,above,60,poc_before_stop_60,0.08579969834632367,0.06625351240710925,0.1069473168457544,421,307,True,False
FIT,above,60,poc_before_stop_80,0.08386694724673288,0.06326875836305776,0.1068392979885649,421,307,True,False
FIT,below,5,touched_poc,0.03905507925738605,0.0021958677667267335,0.07744611339025953,310,230,True,False
FIT,below,5,reached_opposite_edge,0.013779066181459299,-0.021231025106532186,0.04782027259248803,310,230,True,True
FIT,below,5,poc_before_stop_10,0.07762906309751436,0.05725437331093428,0.10210623948399865,310,230,True,False
FIT,below,5,poc_before_stop_20,0.09494233022882873,0.07014408886330543,0.12118336306707965,310,230,True,False
FIT,below,5,poc_before_stop_30,0.09923518164435946,0.07282787276416336,0.1270298011049845,310,230,True,False
FIT,below,5,poc_before_stop_40,0.10316412755196447,0.07380771003575656,0.1336776388890352,310,230,True,False
FIT,below,5,poc_before_stop_60,0.09513970270770372,0.06079731581533271,0.12870225611421343,310,230,True,False
FIT,below,5,poc_before_stop_80,0.08425337691975576,0.0505844580203817,0.12133192150315436,310,230,True,False
FIT,below,10,touched_poc,0.060061948225301975,0.031074880675497046,0.09070200466135607,371,268,True,False
FIT,below,10,reached_opposite_edge,0.04005504218354605,0.014908660302641014,0.06641341201173498,371,268,True,False
FIT,below,10,poc_before_stop_10,0.05013580164198875,0.036960608008510906,0.06512304524811992,371,268,True,False
FIT,below,10,poc_before_stop_20,0.06276251977756361,0.04712035574231579,0.08086258039300419,371,268,True,False
FIT,below,10,poc_before_stop_30,0.06877696062010069,0.05051313680726241,0.08833930191961077,371,268,True,False
FIT,below,10,poc_before_stop_40,0.07880102869099587,0.057821189339374454,0.10122763665724181,371,268,True,False
FIT,below,10,poc_before_stop_60,0.08283642473187552,0.05677078638088105,0.10963518097135726,371,268,True,False
FIT,below,10,poc_before_stop_80,0.08016677575463965,0.054471476717199124,0.10808073660151941,371,268,True,False
FIT,below,15,touched_poc,0.059719890130154996,0.03456651681359944,0.08582493787986722,394,282,True,False
FIT,below,15,reached_opposite_edge,0.04356455823975308,0.022915740996927926,0.06501286128594609,394,282,True,False
FIT,below,15,poc_before_stop_10,0.040065611320864586,0.029054401749917115,0.052347762342787714,394,282,True,False
FIT,below,15,poc_before_stop_20,0.04938804825732063,0.035925406757235344,0.06350141250133151,394,282,True,False
FIT,below,15,poc_before_stop_30,0.05558035930933408,0.04006707316049009,0.07223844361403309,394,282,True,False
FIT,below,15,poc_before_stop_40,0.06674690141801981,0.04903510752713352,0.08641348585243468,394,282,True,False
FIT,below,15,poc_before_stop_60,0.07082334443031713,0.04917504755323763,0.09377633170398557,394,282,True,False
FIT,below,15,poc_before_stop_80,0.07500169851792177,0.05301502136979928,0.09858660649426053,394,282,True,False
FIT,below,20,touched_poc,0.06408859925107646,0.0419640266233665,0.08851993987116577,409,291,True,False
FIT,below,20,reached_opposite_edge,0.041920086766678966,0.022238257643145482,0.0638188984858329,409,291,True,False
FIT,below,20,poc_before_stop_10,0.034108280701426325,0.025142835880339276,0.045208921643696075,409,291,True,False
FIT,below,20,poc_before_stop_20,0.041475968528379176,0.028900048563936926,0.05376707526094986,409,291,True,False
FIT,below,20,poc_before_stop_30,0.05106892247565531,0.037820064593295635,0.06612305691361677,409,291,True,False
FIT,below,20,poc_before_stop_40,0.06216720350432664,0.04643957932773649,0.07941203580127128,409,291,True,False
FIT,below,20,poc_before_stop_60,0.0679687901751696,0.04896702431714833,0.08800253968735888,409,291,True,False
FIT,below,20,poc_before_stop_80,0.0698200619895562,0.050049398027133644,0.09226841824246314,409,291,True,False
FIT,below,30,touched_poc,0.06267606571049589,0.04163180634365601,0.08394450718480978,431,307,True,False
FIT,below,30,reached_opposite_edge,0.0366216677831358,0.01939326416119334,0.05418449747462151,431,307,True,False
FIT,below,30,poc_before_stop_10,0.026120942447862366,0.018608655781932434,0.03459406908835014,431,307,True,False
FIT,below,30,poc_before_stop_20,0.03550815614006292,0.026291983646431694,0.04668988941300046,431,307,True,False
FIT,below,30,poc_before_stop_30,0.04285467120352421,0.03249363193769659,0.055055350305742094,431,307,True,False
FIT,below,30,poc_before_stop_40,0.05509886297595967,0.04227390369869723,0.06954602662443157,431,307,True,False
FIT,below,30,poc_before_stop_60,0.0656883143385697,0.05034433869179063,0.08211393968174752,431,307,True,False
FIT,below,30,poc_before_stop_80,0.06441953214765783,0.04641441276199082,0.08226641367073743,431,307,True,False
FIT,below,45,touched_poc,0.06519349305546651,0.04543760298506627,0.08471392258925571,447,318,True,False
FIT,below,45,reached_opposite_edge,0.041230895581762406,0.02793906747652039,0.0574457647303821,447,318,True,False
FIT,below,45,poc_before_stop_10,0.020805796878274968,0.014497326595181406,0.028342676929206573,447,318,True,False
FIT,below,45,poc_before_stop_20,0.028282880131405036,0.02062373331978814,0.03677314983080972,447,318,True,False
FIT,below,45,poc_before_stop_30,0.03413451050341987,0.025254418664838532,0.04420018368586685,447,318,True,False
FIT,below,45,poc_before_stop_40,0.04388722779011128,0.03360187309350171,0.05520705536376226,447,318,True,False
FIT,below,45,poc_before_stop_60,0.055628986102377875,0.041988188647443025,0.07120884675878988,447,318,True,False
FIT,below,45,poc_before_stop_80,0.05675824810399477,0.041875174939176134,0.07388768995380976,447,318,True,False
FIT,below,60,touched_poc,0.06444942343814497,0.04692862870890131,0.08393056017474491,454,321,True,False
FIT,below,60,reached_opposite_edge,0.04204395178612036,0.028722117007632726,0.05635212905626588,454,321,True,False
FIT,below,60,poc_before_stop_10,0.01859822609310907,0.013096045540049348,0.025098636145718063,454,321,True,False
FIT,below,60,poc_before_stop_20,0.025281963595320117,0.018510914305423412,0.03299101284942394,454,321,True,False
FIT,below,60,poc_before_stop_30,0.030512714684007042,0.02248828261094786,0.03961553822347964,454,321,True,False
FIT,below,60,poc_before_stop_40,0.03923063316515191,0.02914206512722397,0.05071729177548116,454,321,True,False
FIT,below,60,poc_before_stop_60,0.051726316321459576,0.039271124292000574,0.06487296698189206,454,321,True,False
FIT,below,60,poc_before_stop_80,0.05412690256989072,0.04028467542314202,0.06988395798516231,454,321,True,False
