block,outcome,n,k,p,wilson_lo,wilson_hi
FIT|above|per_excursion|UNCOND,touched_poc,526,304.0,0.5779467680608364,0.5353235036492744,0.6194397312496084
FIT|above|per_excursion|UNCOND,reached_opposite_edge,526,172.0,0.3269961977186312,0.2882857994125304,0.3682153133728757
FIT|above|per_excursion|UNCOND,poc_before_stop_10,526,66.0,0.12547528517110265,0.09985392055012549,0.15652760932597326
FIT|above|per_excursion|UNCOND,poc_before_stop_20,526,96.0,0.18250950570342206,0.15184075556035032,0.21778216570517506
FIT|above|per_excursion|UNCOND,poc_before_stop_30,526,127.0,0.2414448669201521,0.20683071766400563,0.27980830803726053
FIT|above|per_excursion|UNCOND,poc_before_stop_40,526,153.0,0.2908745247148289,0.2536889979683181,0.33109256693711775
FIT|above|per_excursion|UNCOND,poc_before_stop_60,526,206.0,0.3916349809885932,0.3508503470071051,0.43399100935298446
FIT|above|per_excursion|UNCOND,poc_before_stop_80,526,242.0,0.4600760456273764,0.41792562242143055,0.5028054036059708
FIT|above|per_excursion|UNCOND,median_t_touched_poc,304,,23.0,,
FIT|above|per_excursion|failed_5,touched_poc,287,189.0,0.6585365853658537,0.6019031640203354,0.7109819253203917
FIT|above|per_excursion|failed_5,reached_opposite_edge,287,106.0,0.3693379790940767,0.31556955219799615,0.42655812142228383
FIT|above|per_excursion|failed_5,poc_before_stop_10,287,55.0,0.1916376306620209,0.15029300161672188,0.2411283081271387
FIT|above|per_excursion|failed_5,poc_before_stop_20,287,76.0,0.26480836236933797,0.21710980250810694,0.3187200100083969
FIT|above|per_excursion|failed_5,poc_before_stop_30,287,98.0,0.34146341463414637,0.2890180746796084,0.3980968359796647
FIT|above|per_excursion|failed_5,poc_before_stop_40,287,114.0,0.397212543554007,0.3423169299906241,0.4548235065906629
FIT|above|per_excursion|failed_5,poc_before_stop_60,287,151.0,0.5261324041811847,0.4684004739052329,0.5831739913707111
FIT|above|per_excursion|failed_5,poc_before_stop_80,287,168.0,0.5853658536585366,0.5276065236206074,0.6408700629474763
FIT|above|per_excursion|failed_5,median_t_touched_poc,189,,15.0,,
FIT|above|per_excursion|failed_10,touched_poc,347,233.0,0.6714697406340058,0.6204088524622509,0.7187755544039818
FIT|above|per_excursion|failed_10,reached_opposite_edge,347,129.0,0.37175792507204614,0.3225725014853024,0.42375176564835576
FIT|above|per_excursion|failed_10,poc_before_stop_10,347,63.0,0.18155619596541786,0.14455591042716265,0.22553019110697703
FIT|above|per_excursion|failed_10,poc_before_stop_20,347,92.0,0.26512968299711814,0.22144126660797164,0.31396160465928974
FIT|above|per_excursion|failed_10,poc_before_stop_30,347,117.0,0.3371757925072046,0.2894581419311454,0.3884591860026002
FIT|above|per_excursion|failed_10,poc_before_stop_40,347,136.0,0.3919308357348703,0.34201682547760465,0.44421148952266903
FIT|above|per_excursion|failed_10,poc_before_stop_60,347,177.0,0.5100864553314121,0.457666205053214,0.5622858188800938
FIT|above|per_excursion|failed_10,poc_before_stop_80,347,199.0,0.5734870317002881,0.5209239612872683,0.6244407845125457
FIT|above|per_excursion|failed_10,median_t_touched_poc,233,,16.0,,
FIT|above|per_excursion|failed_15,touched_poc,366,247.0,0.674863387978142,0.6252717855528365,0.7208223260884714
FIT|above|per_excursion|failed_15,reached_opposite_edge,366,138.0,0.3770491803278688,0.3289157956096209,0.42773678214258426
FIT|above|per_excursion|failed_15,poc_before_stop_10,366,63.0,0.1721311475409836,0.13691309870562132,0.21416044196692605
FIT|above|per_excursion|failed_15,poc_before_stop_20,366,92.0,0.25136612021857924,0.2096617441729439,0.29823569083707113
FIT|above|per_excursion|failed_15,poc_before_stop_30,366,117.0,0.319672131147541,0.27397921616247833,0.36911123120742273
FIT|above|per_excursion|failed_15,poc_before_stop_40,366,141.0,0.38524590163934425,0.3368251196592465,0.43605061957614494
FIT|above|per_excursion|failed_15,poc_before_stop_60,366,184.0,0.5027322404371585,0.4517459300955398,0.5536617903988557
