run_id,K,bin_width,va_pct,va_expansion_rule,construction,placebo_type,timestamp,git_sha
bar_b0.25_v68_paired_K5,5,0.25,0.68,paired,bar_uniform,none,2026-08-07T04:58:28.373463+00:00,583018da
bar_b0.25_v68_paired_K10,10,0.25,0.68,paired,bar_uniform,none,2026-08-07T04:58:28.373511+00:00,583018da
bar_b0.25_v68_paired_K15,15,0.25,0.68,paired,bar_uniform,none,2026-08-07T04:58:28.373520+00:00,583018da
bar_b0.25_v68_paired_K20,20,0.25,0.68,paired,bar_uniform,none,2026-08-07T04:58:28.373533+00:00,583018da
bar_b0.25_v68_paired_K30,30,0.25,0.68,paired,bar_uniform,none,2026-08-07T04:58:28.373541+00:00,583018da
bar_b0.25_v68_paired_K45,45,0.25,0.68,paired,bar_uniform,none,2026-08-07T04:58:28.373547+00:00,583018da
bar_b0.25_v68_paired_K60,60,0.25,0.68,paired,bar_uniform,none,2026-08-07T04:58:28.373552+00:00,583018da
bar_b0.25_v68_single_K5,5,0.25,0.68,single,bar_uniform,none,2026-08-07T04:58:34.153568+00:00,583018da
bar_b0.25_v68_single_K10,10,0.25,0.68,single,bar_uniform,none,2026-08-07T04:58:34.153609+00:00,583018da
bar_b0.25_v68_single_K15,15,0.25,0.68,single,bar_uniform,none,2026-08-07T04:58:34.153617+00:00,583018da
bar_b0.25_v68_single_K20,20,0.25,0.68,single,bar_uniform,none,2026-08-07T04:58:34.153624+00:00,583018da
bar_b0.25_v68_single_K30,30,0.25,0.68,single,bar_uniform,none,2026-08-07T04:58:34.153630+00:00,583018da
bar_b0.25_v68_single_K45,45,0.25,0.68,single,bar_uniform,none,2026-08-07T04:58:34.153636+00:00,583018da
bar_b0.25_v68_single_K60,60,0.25,0.68,single,bar_uniform,none,2026-08-07T04:58:34.153641+00:00,583018da
bar_b0.25_v70_paired_K5,5,0.25,0.7,paired,bar_uniform,none,2026-08-07T04:58:39.964666+00:00,583018da
bar_b0.25_v70_paired_K10,10,0.25,0.7,paired,bar_uniform,none,2026-08-07T04:58:39.964717+00:00,583018da
bar_b0.25_v70_paired_K15,15,0.25,0.7,paired,bar_uniform,none,2026-08-07T04:58:39.964726+00:00,583018da
bar_b0.25_v70_paired_K20,20,0.25,0.7,paired,bar_uniform,none,2026-08-07T04:58:39.964734+00:00,583018da
bar_b0.25_v70_paired_K30,30,0.25,0.7,paired,bar_uniform,none,2026-08-07T04:58:39.964741+00:00,583018da
bar_b0.25_v70_paired_K45,45,0.25,0.7,paired,bar_uniform,none,2026-08-07T04:58:39.964748+00:00,583018da
bar_b0.25_v70_paired_K60,60,0.25,0.7,paired,bar_uniform,none,2026-08-07T04:58:39.964754+00:00,583018da
bar_b0.25_v70_single_K5,5,0.25,0.7,single,bar_uniform,none,2026-08-07T04:58:45.697502+00:00,583018da
bar_b0.25_v70_single_K10,10,0.25,0.7,single,bar_uniform,none,2026-08-07T04:58:45.697549+00:00,583018da
bar_b0.25_v70_single_K15,15,0.25,0.7,single,bar_uniform,none,2026-08-07T04:58:45.697557+00:00,583018da
bar_b0.25_v70_single_K20,20,0.25,0.7,single,bar_uniform,none,2026-08-07T04:58:45.697562+00:00,583018da
bar_b0.25_v70_single_K30,30,0.25,0.7,single,bar_uniform,none,2026-08-07T04:58:45.697568+00:00,583018da
