stream,stack,n,sess,base_exp,subset_exp,improvement,null_pct
zxck-10am-keyopen,entry_min_into_window<=p50 AND news_day>p50,25,25,-0.09703196347031955,0.7166666666666667,0.8136986301369862,0.98
zxck-10am-keyopen,entry_min_into_window<=p50 AND news_day>p25,25,25,-0.09703196347031955,0.7166666666666667,0.8136986301369862,0.98
sw-open-drive-pcr,cvd_price_divergence_pre>p50 AND dist_to_level_R<=p75,28,28,-0.03096644308945471,0.7201036219046681,0.7510700649941229,0.97
sw-precash-price-migration-CTL,cvd_slope_pre_15>p75 AND news_day<=p50,27,27,-0.07357276749371046,0.7145757975469321,0.7881485650406426,0.9675
sw-precash-price-migration-CTL,cvd_slope_pre_15>p75 AND news_day<=p25,27,27,-0.07357276749371046,0.7145757975469321,0.7881485650406426,0.9675
sw-open-drive-pcr,volume_pace_at_entry>p50 AND vpoc_distance_at_entry<=p50,26,26,-0.03096644308945471,0.7032533652513426,0.7342198083407974,0.955
zxck-10am-keyopen,dist_to_level_R<=p75 AND news_day>p25,29,29,-0.09703196347031955,0.6408045977011495,0.737836561171469,0.935
zxck-10am-keyopen,dist_to_level_R<=p75 AND news_day>p50,29,29,-0.09703196347031955,0.6408045977011495,0.737836561171469,0.935
sw-open-drive-pcr,volume_pace_at_entry>p75 AND entry_min_into_window<=p25,25,25,-0.03096644308945471,0.6847370472951677,0.7157034903846224,0.9325
sw-open-drive-pcr,volume_pace_at_entry>p75 AND entry_min_into_window<=p50,25,25,-0.03096644308945471,0.6847370472951677,0.7157034903846224,0.9325
sw-open-drive-pcr,volume_pace_at_entry>p75 AND entry_min_into_window<=p75,25,25,-0.03096644308945471,0.6847370472951677,0.7157034903846224,0.9325
sw-open-drive-pcr,volume_pace_at_entry>p75 AND htf_aligned<=p75,25,25,-0.03096644308945471,0.6847370472951677,0.7157034903846224,0.9325
sw-open-drive-pcr,volume_pace_at_entry>p75,25,25,-0.03096644308945471,0.6847370472951677,0.7157034903846224,0.9325
sw-open-drive-pcr,volume_pace_at_entry>p75 AND news_day<=p75,25,25,-0.03096644308945471,0.6847370472951677,0.7157034903846224,0.9325
sw-open-drive-pcr,cvd_price_divergence_pre>p50 AND atr_pct<=p75,26,26,-0.03096644308945471,0.6550097341041183,0.6859761771935731,0.9025
sw-open-drive-pcr,cvd_price_divergence_pre>p25 AND volume_pace_at_entry>p50,31,31,-0.03096644308945471,0.6110300288456163,0.641996471935071,0.85
zxck-wick-ce,atr_pct>p25 AND htf_aligned<=p50,27,27,-0.7449419518697888,-0.5616523284443311,0.18328962342545774,0.8325
zxck-wick-ce,atr_pct>p25 AND htf_aligned<=p75,27,27,-0.7449419518697888,-0.5616523284443311,0.18328962342545774,0.8325
zxck-wick-ce,atr_pct>p25 AND news_day<=p75,27,27,-0.7449419518697888,-0.5616523284443311,0.18328962342545774,0.8325
zxck-wick-ce,atr_pct>p25 AND direction_long<=p50,27,27,-0.7449419518697888,-0.5616523284443311,0.18328962342545774,0.8325
zxck-wick-ce,atr_pct>p25,27,27,-0.7449419518697888,-0.5616523284443311,0.18328962342545774,0.8325
zxck-wick-ce,atr_pct>p25 AND direction_long<=p75,27,27,-0.7449419518697888,-0.5616523284443311,0.18328962342545774,0.8325
sw-precash-price-migration-CTL,cvd_slope_pre_15>p75 AND risk_pts<=p75,25,25,-0.07357276749371046,0.6259739217038282,0.6995466891975386,0.8175
orb-fvg-nyopen,entry_min_into_window>p75 AND dist_to_level_R<=p25,67,54,-0.014681369498767156,0.4254712324004054,0.44015260189917255,0.745
sw-open-drive-pcr,cvd_slope_pre_15>p25 AND volume_pace_at_entry>p50,31,31,-0.03096644308945471,0.5776960469283374,0.6086624900177922,0.74
sw-open-drive-pcr,cvd_price_divergence_pre>p25 AND vpoc_distance_at_entry<=p50,30,30,-0.03096644308945471,0.5733411680078357,0.6043076110972905,0.73
sw-thinbook-surprise,volume_pace_at_entry<=p50 AND vpoc_distance_at_entry<=p25,29,29,-0.1653239978926368,0.47385026176258377,0.6391742596552206,0.7175
sw-0930-cashopen-carry,cvd_slope_pre_15>p25 AND dist_to_level_R>p50,25,25,-0.11757208680363969,0.40367289979313764,0.5212449865967773,0.71
zxck-cisd,volume_pace_at_entry>p25 AND htf_aligned<=p50,29,29,0.04405408016302246,0.32540015163483765,0.2813460714718152,0.6475
zxck-cisd,volume_pace_at_entry>p25 AND htf_aligned<=p75,29,29,0.04405408016302246,0.32540015163483765,0.2813460714718152,0.6475
sw-precash-price-migration-CTL,cvd_slope_pre_15>p75 AND volume_pace_at_entry>p25,29,29,-0.07357276749371046,0.5632074413026698,0.6367802087963802,0.6125
zxck-10am-keyopen,entry_min_into_window<=p75 AND news_day>p50,33,33,-0.09703196347031955,0.4924242424242424,0.5894562058945619,0.595
zxck-10am-keyopen,entry_min_into_window<=p75 AND news_day>p25,33,33,-0.09703196347031955,0.4924242424242424,0.5894562058945619,0.595
zxck-10am-keyopen,atr_pct>p50 AND news_day>p50,32,32,-0.09703196347031955,0.4791666666666667,0.5761986301369862,0.57
zxck-10am-keyopen,atr_pct>p50 AND news_day>p25,32,32,-0.09703196347031955,0.4791666666666667,0.5761986301369862,0.57
sw-cvd-div-reclaim,atr_pct>p50 AND dist_to_level_R<=p25,30,29,-0.08693564639590223,0.49243959408269855,0.5793752404786008,0.5625
orb-fvg-nyopen,absorption_pre_5>p75 AND dist_to_level_R<=p25,89,64,-0.014681369498767156,0.3807795152851721,0.39546088478393926,0.5525
sw-precash-price-migration-CTL,cvd_slope_pre_15>p75 AND value_area_location>p25,28,28,-0.07357276749371046,0.5414798042693979,0.6150525717631083,0.545
sw-open-drive-pcr,cvd_price_divergence_pre>p25 AND atr_pct<=p75,41,41,-0.03096644308945471,0.525604310965728,0.5565707540551827,0.5375
zxck-10am-keyopen,absorption_pre_5<=p50 AND news_day>p50,25,25,-0.09703196347031955,0.47666666666666674,0.5736986301369863,0.535
zxck-10am-keyopen,absorption_pre_5<=p50 AND news_day>p25,25,25,-0.09703196347031955,0.47666666666666674,0.5736986301369863,0.535
zxck-ifvg-50,cvd_price_divergence_pre>p50 AND absorption_pre_5>p75,26,26,-0.6155913978494624,-0.019230769230769273,0.5963606286186931,0.505
sw-precash-value-migration,cvd_slope_pre_15>p75 AND cvd_price_divergence_pre>p25,25,25,0.03717435793368325,0.6136680870978032,0.5764937291641199,0.505
sw-0930-cashopen-carry,cvd_slope_pre_15>p25 AND volume_pace_at_entry<=p50,27,27,-0.11757208680363969,0.3550590755639514,0.47263116236759106,0.4975
sw-open-drive-pcr,cvd_price_divergence_pre>p25 AND dist_to_level_R<=p75,47,47,-0.03096644308945471,0.5022680156645211,0.5332344587539758,0.4375
sw-gap-nopart,cvd_price_divergence_pre>p25 AND dist_to_level_R>p25,33,33,-0.18226643368491655,0.24295108721485678,0.4252175208997733,0.42
zxck-10am-keyopen,absorption_pre_5>p25 AND news_day>p50,25,25,-0.09703196347031955,0.4366666666666667,0.5336986301369863,0.415
zxck-10am-keyopen,absorption_pre_5>p25 AND news_day>p25,25,25,-0.09703196347031955,0.4366666666666667,0.5336986301369863,0.415
zxck-10am-keyopen,cvd_price_divergence_pre>p25 AND news_day>p50,25,25,-0.09703196347031955,0.4366666666666667,0.5336986301369863,0.415
zxck-10am-keyopen,cvd_price_divergence_pre>p25 AND news_day>p25,25,25,-0.09703196347031955,0.4366666666666667,0.5336986301369863,0.415
zxck-ifvg-50,absorption_pre_5>p75 AND dist_to_level_R>p25,30,30,-0.6155913978494624,-0.050000000000000044,0.5655913978494623,0.4
zxck-cisd,volume_pace_at_entry>p25,30,30,0.04405408016302246,0.28044854164207145,0.236394461479049,0.38
zxck-cisd,volume_pace_at_entry>p25 AND direction_long<=p75,30,30,0.04405408016302246,0.28044854164207145,0.236394461479049,0.38
zxck-cisd,volume_pace_at_entry>p25 AND news_day<=p75,30,30,0.04405408016302246,0.28044854164207145,0.236394461479049,0.38
zxck-cisd,volume_pace_at_entry>p25 AND direction_long<=p50,30,30,0.04405408016302246,0.28044854164207145,0.236394461479049,0.38
zxck-10am-keyopen,vpoc_distance_at_entry<=p50 AND dist_to_level_R<=p50,30,30,-0.09703196347031955,0.4166666666666668,0.5136986301369864,0.3675
sw-cvd-div-reclaim,volume_pace_at_entry<=p25 AND atr_pct<=p50,29,28,-0.08693564639590223,0.4499332467829068,0.536868893178809,0.35
zxck-cisd,htf_aligned<=p50 AND news_day<=p50,26,26,0.04405408016302246,0.2744529813983796,0.23039890123535714,0.325
sw-0930-cashopen-carry,vpoc_distance_at_entry>p25 AND dist_to_level_R>p50,25,25,-0.11757208680363969,0.32162699585507504,0.4391990826587147,0.325
zxck-cisd,htf_aligned<=p75 AND news_day<=p50,26,26,0.04405408016302246,0.2744529813983796,0.23039890123535714,0.325
zxck-cisd,htf_aligned<=p75 AND news_day<=p25,26,26,0.04405408016302246,0.2744529813983796,0.23039890123535714,0.325
zxck-cisd,htf_aligned<=p50 AND news_day<=p25,26,26,0.04405408016302246,0.2744529813983796,0.23039890123535714,0.325
sw-precash-price-migration-CTL,cvd_slope_pre_15>p75 AND news_day<=p75,31,31,-0.07357276749371046,0.48645490467302166,0.5600276721667321,0.3225
sw-precash-price-migration-CTL,cvd_slope_pre_15>p75 AND htf_aligned<=p75,31,31,-0.07357276749371046,0.48645490467302166,0.5600276721667321,0.3225
sw-open-drive-pcr,cvd_slope_pre_15>p25 AND cvd_price_divergence_pre>p50,31,31,-0.03096644308945471,0.48321842863779774,0.5141848717272525,0.3225
sw-precash-price-migration-CTL,cvd_slope_pre_15>p75,31,31,-0.07357276749371046,0.48645490467302166,0.5600276721667321,0.3225
orb-fvg-nyopen,entry_min_into_window>p75 AND dist_to_level_R<=p50,157,106,-0.014681369498767156,0.3353005600151111,0.34998192951387824,0.32
sw-precash-value-migration,cvd_slope_pre_15>p75 AND volume_pace_at_entry>p25,32,32,0.03717435793368325,0.568840300181863,0.5316659422481798,0.3175
sw-open-drive-pcr,volume_pace_at_entry>p50 AND vpoc_distance_at_entry<=p75,37,37,-0.03096644308945471,0.4810784933440816,0.5120449364335363,0.3125
sw-0930-carry-CANON,news_day<=p75,25,25,-0.21374116163092988,-0.21374116163092993,-5.551115123125783e-17,0.305
sw-0930-carry-CANON,news_day<=p50,25,25,-0.21374116163092988,-0.21374116163092993,-5.551115123125783e-17,0.305
sw-0930-carry-CANON,news_day<=p25,25,25,-0.21374116163092988,-0.21374116163092993,-5.551115123125783e-17,0.305
sw-0930-carry-CANON,htf_aligned<=p75 AND news_day<=p75,25,25,-0.21374116163092988,-0.21374116163092993,-5.551115123125783e-17,0.305
sw-0930-carry-CANON,htf_aligned<=p75,25,25,-0.21374116163092988,-0.21374116163092993,-5.551115123125783e-17,0.305
zxck-10am-keyopen,cvd_slope_pre_15>p25 AND news_day>p25,30,30,-0.09703196347031955,0.4166666666666667,0.5136986301369862,0.3025
zxck-10am-keyopen,cvd_slope_pre_15>p25 AND news_day>p50,30,30,-0.09703196347031955,0.4166666666666667,0.5136986301369862,0.3025
sw-thinbook-surprise,cvd_slope_pre_15<=p75 AND value_area_location>p50,52,52,-0.1653239978926368,0.3611703186988459,0.5264943165914827,0.3025
