date,src,R,risk_pts,outcome,F1_disp_delta,F2_retrace_ratio
2025-06-02,zxck-10am-keyopen,-1.0,15.0,loss,0.39115836597649695,0.14062585630514604
2025-06-03,zxck-10am-keyopen,-1.0,15.0,loss,-0.01096067053513862,0.44773055576674525
2025-06-05,zxck-10am-keyopen,0.0,15.0,BE,0.28721017202692595,0.1370325484764543
2025-06-10,zxck-10am-keyopen,-1.0,15.0,loss,0.13986013986013987,0.13822525597269625
2025-06-12,zxck-10am-keyopen,-1.0,15.0,loss,0.08763388510223953,0.266851106639839
2025-06-13,zxck-10am-keyopen,-1.0,15.0,loss,0.0389662027833002,0.28098987626546684
2025-06-16,zxck-10am-keyopen,-1.0,15.0,loss,0.9313280363223609,0.0762311782537395
2025-06-17,zxck-10am-keyopen,-1.0,15.0,loss,0.00175054704595186,1.3515693112467306
2025-06-19,zxck-10am-keyopen,-1.0,15.0,loss,-0.0,0.2684458398744113
2025-06-20,zxck-10am-keyopen,-1.0,15.0,loss,-0.11186903137789904,0.22589238145977625
2025-06-26,zxck-10am-keyopen,-1.0,15.0,loss,0.09177679882525698,0.13277124061891968
2025-06-30,zxck-10am-keyopen,-1.0,15.0,loss,-0.5823591923485654,0.13514211886304908
2025-07-08,zxck-10am-keyopen,0.0,15.0,BE,0.2289655172413793,0.1452614706471649
2025-07-11,zxck-10am-keyopen,-1.0,15.0,loss,0.08379888268156424,0.11225019465351674
2025-07-16,zxck-10am-keyopen,-1.0,15.0,loss,0.09679715302491103,0.27739015651518006
2025-07-17,zxck-10am-keyopen,2.0,15.0,win,0.6278870829769033,0.08633975481611209
2025-07-22,zxck-10am-keyopen,2.0,15.0,win,0.18082191780821918,0.08152627189324436
2025-07-23,zxck-10am-keyopen,0.0,15.0,BE,-0.006472491909385114,0.5926241739501172
2025-07-25,zxck-10am-keyopen,-1.0,15.0,loss,0.11235955056179775,0.17416420845624386
2025-07-28,zxck-10am-keyopen,-1.0,15.0,loss,0.14899487583760346,0.13166386988511683
2025-07-31,zxck-10am-keyopen,2.0,15.0,win,0.14880367092756475,0.27035330261136714
2025-08-04,zxck-10am-keyopen,2.0,15.0,win,0.15931941221964424,0.16862079605060168
2025-08-07,zxck-10am-keyopen,2.0,15.0,win,0.05069402534701267,1.5524537695590328
2025-08-08,zxck-10am-keyopen,0.0,15.0,BE,0.35497166409067493,0.36713375796178344
2025-08-11,zxck-10am-keyopen,0.0,15.0,BE,-0.058091286307053944,0.4775074183976261
2025-08-26,zxck-10am-keyopen,-1.0,15.0,loss,-0.22140822140822142,0.1167433110367893
2025-08-28,zxck-10am-keyopen,2.0,15.0,win,0.1048780487804878,1.2081691893012647
2025-09-02,zxck-10am-keyopen,-1.0,15.0,loss,-0.059383499546690845,0.2327835830290822
2025-09-08,zxck-10am-keyopen,0.0,15.0,BE,-0.04267161410018553,0.3618259118371
2025-09-11,zxck-10am-keyopen,0.0,15.0,BE,-0.1410909090909091,0.18723060344827586
2025-09-12,zxck-10am-keyopen,-1.0,15.0,loss,0.2849564228874574,0.12650306748466258
2025-09-16,zxck-10am-keyopen,0.0,15.0,BE,-0.16421895861148197,0.3583732057416268
2025-09-19,zxck-10am-keyopen,-1.0,15.0,loss,0.036251446201311224,0.2078593588417787
2025-09-23,zxck-10am-keyopen,0.0,15.0,BE,0.02319842053307009,0.3133838901414224
2025-09-24,zxck-10am-keyopen,-1.0,15.0,loss,0.30488694383661563,1.319032177600399
2025-09-29,zxck-10am-keyopen,0.0,15.0,BE,0.003938946331856229,0.37579239302694134
2025-10-02,zxck-10am-keyopen,0.0,15.0,BE,0.041961338991041965,0.27119799954535123
2025-10-06,zxck-10am-keyopen,-1.0,15.0,loss,-0.07757757757757758,0.3305694959633428
2025-10-07,zxck-10am-keyopen,0.0,15.0,BE,-0.3757267441860465,0.06596642780013744
2025-10-09,zxck-10am-keyopen,-1.0,15.0,loss,-0.11367942402425162,0.2058736717827627
2025-10-10,zxck-10am-keyopen,2.0,15.0,win,0.506265664160401,1.6287663445139284
2025-10-13,zxck-10am-keyopen,-1.0,15.0,loss,0.118931475029036,0.26971301198105324
2025-10-14,zxck-10am-keyopen,2.0,15.0,win,-0.0056002800140007,0.24708171206225682
2025-10-16,zxck-10am-keyopen,-1.0,15.0,loss,0.1849112426035503,0.3943745082612116
2025-10-17,zxck-10am-keyopen,0.0,15.0,BE,0.28321487151448876,1.0614562458249832
2025-10-20,zxck-10am-keyopen,-1.0,15.0,loss,0.08157894736842106,0.40571982549684926
2025-10-21,zxck-10am-keyopen,-1.0,15.0,loss,0.012668250197941409,0.4851815263027908
2025-10-22,zxck-10am-keyopen,0.0,15.0,BE,0.06587942821628341,0.28920978740473324
2025-10-28,zxck-10am-keyopen,0.0,15.0,BE,-0.07909604519774012,0.2622759158222915
2025-10-30,zxck-10am-keyopen,-1.0,15.0,loss,-0.05897177419354839,0.18925879996184297
2025-10-31,zxck-10am-keyopen,-1.0,15.0,loss,0.13110846245530394,0.30684367988032907
2025-11-03,zxck-10am-keyopen,-1.0,15.0,loss,0.1417079207920792,0.09559667569677212
2025-11-10,zxck-10am-keyopen,0.0,15.0,BE,0.375918795939797,0.16653127538586515
2025-11-13,zxck-10am-keyopen,-1.0,15.0,loss,0.1887117621714778,1.7835899230230932
2025-11-14,zxck-10am-keyopen,-1.0,15.0,loss,0.15098684210526317,0.14204833141542003
2025-11-20,zxck-10am-keyopen,2.0,15.0,win,-0.007744874715261959,0.3186281485698022
2025-11-26,zxck-10am-keyopen,-1.0,15.0,loss,0.35743519781718963,0.4711663066954644
2025-11-28,zxck-10am-keyopen,-1.0,15.0,loss,0.10933940774487472,0.7892287234042553
2025-12-08,zxck-10am-keyopen,0.0,15.0,BE,-0.1906744379683597,0.06334701463641292
2025-12-15,zxck-10am-keyopen,-1.0,15.0,loss,-0.018751749230338653,0.10966563962113432
2025-12-17,zxck-10am-keyopen,-1.0,15.0,loss,0.07955100048804295,0.1306628855015952
2025-12-18,zxck-10am-keyopen,2.0,15.0,win,0.011283497884344146,0.5587596121698428
2025-12-19,zxck-10am-keyopen,0.0,15.0,BE,-0.06427503736920777,0.16277005031074282
2025-12-31,zxck-10am-keyopen,-1.0,15.0,loss,-0.021917808219178082,0.24283973187081048
2026-01-02,zxck-10am-keyopen,2.0,15.0,win,0.4534461910519952,0.14264021056894108
2026-01-06,zxck-10am-keyopen,0.0,15.0,BE,0.28907859876361497,0.13964275140629626
2026-01-08,zxck-10am-keyopen,2.0,15.0,win,-0.06870229007633588,0.2841927873272666
2026-01-12,zxck-10am-keyopen,-1.0,15.0,loss,-0.026831785345717233,1.0665152498377677
2026-01-13,zxck-10am-keyopen,0.0,15.0,BE,0.33985330073349634,0.9606971153846153
2026-01-14,zxck-10am-keyopen,-1.0,15.0,loss,0.1633003867640739,0.07499079189686925
2026-01-15,zxck-10am-keyopen,-1.0,15.0,loss,-0.009675190048375951,0.09414841451454724
2026-01-16,zxck-10am-keyopen,2.0,15.0,win,0.22630111524163568,0.2095219550189855
2026-01-19,zxck-10am-keyopen,0.0,15.0,BE,-0.7134071340713407,0.056444241316270564
2026-01-21,zxck-10am-keyopen,0.0,15.0,BE,0.23730780388743836,0.21359867330016583
2026-01-26,zxck-10am-keyopen,-1.0,15.0,loss,-0.04803001876172608,3.4549512987012987
2026-01-27,zxck-10am-keyopen,-1.0,15.0,loss,-0.2097948378557247,0.2344438568658558
2026-01-30,zxck-10am-keyopen,0.0,15.0,BE,-0.03130267276667469,0.24212505876821816
2026-02-04,zxck-10am-keyopen,2.0,15.0,win,0.19686800894854586,0.7329367802943644
2026-02-09,zxck-10am-keyopen,-1.0,15.0,loss,0.013793103448275862,0.3279841723455705
2026-02-10,zxck-10am-keyopen,2.0,15.0,win,0.15835520559930008,0.704728208427147
2026-02-12,zxck-10am-keyopen,2.0,15.0,win,0.16099664590321036,0.9235132347885872
2026-02-19,zxck-10am-keyopen,2.0,15.0,win,0.16104039845047038,4.2619657277920036
2026-02-23,zxck-10am-keyopen,-1.0,15.0,loss,0.10388219544846052,0.5780556676079064
2026-02-24,zxck-10am-keyopen,-1.0,15.0,loss,0.7025948103792415,0.3357826215603117
2026-02-25,zxck-10am-keyopen,2.0,15.0,win,0.041831097079715863,0.15185357530634402
