candidate,date,seq,time,direction,entry,stop,target,exit,exit_time,risk_pts,R,outcome,be_moved,tag,ambiguous,intrabar,period,dow,entry_min,entry_min_into_window,after_rth_open,atr_pct,htf_aligned,dist_to_level_R,news_day,mins_since_release,f_sess_minutes,f_cvd_pre,f_cvd_5m,f_cvd_15m,f_part_5m,f_part_15m,f_absorb_5m,f_cvd_align
sw-0930-carry-CANON,2025-06-06,0,09:38,long,21823.25,21746.75,21976.25,21746.75,11:20,76.5,-1.0,loss,False,0930_carry_canon,False,False,discovery,Fri,578,98,1,,0,1.683,1,68,98,3.365735115431349,-0.07776427703523693,0.675577156743621,4.845686512758202,3.8243823410287567,0.0032096288866599798,1
sw-0930-carry-CANON,2025-06-27,0,09:32,short,22701.5,22735.0,22634.5,22735.0,09:38,33.5,-1.0,loss,False,0930_carry_canon,False,False,discovery,Fri,572,92,1,0.3668639053254438,0,0.44,1,62,92,0.7839643652561247,0.27616926503340755,1.398663697104677,7.346102449888642,3.3164068299925757,0.007518796992481203,0
sw-0930-carry-CANON,2025-07-03,0,09:30,long,22968.75,22891.0,23124.25,23059.0,13:14,77.75,1.161,timeout,True,0930_carry_canon,False,False,discovery,Thu,570,90,1,0.22781065088757396,1,0.871,1,60,90,2.5701149425287357,0.9287356321839081,1.6827586206896552,2.4294252873563216,1.4436781609195402,0.07645722937168811,1
sw-0930-carry-CANON,2025-07-30,0,09:35,long,23498.0,23470.5,23553.0,23498.0,09:47,27.5,0.0,BE,True,0930_carry_canon,False,False,discovery,Wed,575,95,1,0.023668639053254437,1,0.873,1,65,95,-7.704081632653061,-4.811224489795919,-4.36734693877551,14.729591836734693,5.940136054421768,0.06532732940768965,0
sw-0930-carry-CANON,2025-07-31,0,09:30,short,23699.0,23804.0,23489.0,23489.0,11:16,105.0,2.0,win,True,0930_carry_canon,False,False,discovery,Thu,570,90,1,0.04142011834319527,1,0.512,1,60,90,-3.7551020408163267,-1.7755102040816326,-3.3102040816326532,4.39265306122449,2.3937414965986394,0.08083999256643747,1
sw-0930-carry-CANON,2025-08-01,0,09:30,short,23040.75,23102.25,22917.75,22917.75,09:45,61.5,2.0,win,True,0930_carry_canon,False,False,discovery,Fri,570,90,1,0.10650887573964497,0,0.15,1,60,90,-0.7043795620437956,0.5985401459854015,0.5200729927007299,2.5554744525547446,1.522992700729927,0.046843758926021134,1
sw-0930-carry-CANON,2025-08-12,0,09:35,long,23784.75,23722.75,23908.75,23722.75,09:48,62.0,-1.0,loss,False,0930_carry_canon,False,False,discovery,Tue,575,95,1,0.34911242603550297,1,1.742,1,65,95,3.2346491228070176,1.1929824561403508,0.5307017543859649,7.5622807017543865,3.2295321637426904,0.03155086416888992,1
sw-0930-carry-CANON,2025-09-11,0,09:30,long,23980.0,23939.75,24060.5,23939.75,09:39,40.25,-1.0,loss,False,0930_carry_canon,False,False,discovery,Thu,570,90,1,0.17751479289940827,1,0.596,1,60,90,2.8747913188647747,1.2821368948247078,1.2086811352253757,2.71118530884808,1.4196994991652754,0.09458128078817735,1
sw-0930-carry-CANON,2025-09-26,0,09:48,long,24699.0,24652.25,24792.5,24652.25,10:06,46.75,-1.0,loss,False,0930_carry_canon,False,False,discovery,Fri,588,108,1,0.16124260355029585,1,0.572,1,78,108,3.4392298435619737,0.24067388688327315,-0.052948255114320095,6.090012033694344,5.641395908543923,0.007903888713246918,1
sw-0930-carry-CANON,2025-10-24,0,09:35,long,25503.25,25453.5,25602.75,25453.5,10:56,49.75,-1.0,loss,False,0930_carry_canon,False,False,discovery,Fri,575,95,1,0.6834319526627219,0,2.206,1,65,95,-1.46875,0.759375,-0.50625,9.694374999999999,4.300833333333333,0.01566630133453678,0
sw-0930-carry-CANON,2025-11-20,0,09:47,long,25261.0,25199.5,25384.0,25199.5,09:49,61.5,-1.0,loss,False,0930_carry_canon,False,False,discovery,Thu,587,107,1,0.8402366863905325,1,0.846,1,77,107,-1.6376470588235295,0.6517647058823529,-0.9835294117647059,5.744470588235294,5.8051764705882345,0.022691898091259113,0
sw-0930-carry-CANON,2025-11-25,0,09:30,short,24829.25,24892.75,24702.25,24702.25,09:45,63.5,2.0,win,True,0930_carry_canon,False,False,discovery,Tue,570,90,1,0.878698224852071,0,0.114,1,60,90,-1.6911976911976911,-0.23953823953823955,-0.2453102453102453,1.976911976911977,1.2446368446368445,0.024233576642335768,1
sw-0930-carry-CANON,2025-12-16,0,09:45,short,25219.0,25290.5,25076.0,25290.5,09:47,71.5,-1.0,loss,False,0930_carry_canon,False,False,discovery,Tue,585,105,1,0.40828402366863903,0,1.472,1,75,105,-4.888655462184874,-2.142857142857143,-5.262605042016807,4.227731092436975,7.409103641456582,0.10137149672033392,1
sw-0930-carry-CANON,2025-12-18,0,09:30,long,25306.75,25220.0,25480.25,25220.0,09:38,86.75,-1.0,loss,False,0930_carry_canon,False,False,discovery,Thu,570,90,1,0.47337278106508873,1,2.216,1,60,90,0.10649627263045794,0.2854100106496273,0.14909478168264112,1.4219382321618743,1.0649627263045793,0.040143798681845415,1
sw-0930-carry-CANON,2026-01-09,0,09:30,short,25682.25,25824.75,25397.25,25824.75,10:26,142.5,-1.0,loss,False,0930_carry_canon,False,False,discovery,Fri,570,90,1,0.05029585798816568,0,0.211,1,60,90,-4.136752136752137,-0.6222222222222222,-1.8871794871794871,2.4095726495726493,2.394985754985755,0.051645856980703744,1
sw-0930-carry-CANON,2026-01-13,0,09:39,long,26008.5,25948.0,26129.5,25948.0,09:51,60.5,-1.0,loss,False,0930_carry_canon,False,False,discovery,Tue,579,99,1,0.21893491124260356,1,1.186,1,69,99,0.3380681818181818,0.9034090909090909,-0.06534090909090909,6.425,5.943371212121212,0.02812168376370711,1
sw-0930-carry-CANON,2026-01-14,0,09:30,short,25732.25,25772.75,25651.25,25732.25,09:33,40.5,0.0,BE,True,0930_carry_canon,False,False,discovery,Wed,570,90,1,0.26331360946745563,0,0.765,1,60,90,-1.2820512820512822,0.2717948717948718,0.7589743589743589,4.243076923076923,2.0854700854700856,0.012811215856901136,1
sw-0930-carry-CANON,2026-02-11,0,09:30,long,25459.25,25407.75,25562.25,25407.75,09:33,51.5,-1.0,loss,False,0930_carry_canon,False,False,discovery,Wed,570,90,1,0.8816568047337278,1,2.592,1,60,90,5.4703448275862065,-0.2096551724137931,-0.2537931034482759,2.057931034482759,1.123310344827586,0.02037533512064343,1
sw-0930-carry-CANON,2026-03-11,0,09:30,long,25084.5,24943.5,25366.5,24943.5,11:29,141.0,-1.0,loss,False,0930_carry_canon,False,False,holdout,Wed,570,90,1,0.8017751479289941,1,0.261,1,60,90,1.0485436893203883,0.15048543689320387,0.9611650485436893,2.303883495145631,1.6433656957928804,0.013063632532659082,1
sw-0930-carry-CANON,2026-05-12,0,09:40,long,29238.25,29185.0,29344.75,29238.25,09:47,53.25,0.0,BE,True,0930_carry_canon,False,False,holdout,Tue,580,100,1,0.5384615384615384,0,1.864,1,70,100,-0.5757575757575758,1.1570247933884297,0.650137741046832,6.738292011019284,6.081910009182736,0.03434178250204415,0
sw-0930-carry-CANON,2026-05-27,0,09:30,short,30140.75,30271.0,29880.25,29880.25,10:33,130.25,2.0,win,True,0930_carry_canon,False,False,holdout,Wed,570,90,1,0.6420118343195266,0,0.653,1,60,90,-5.18010752688172,-0.6048387096774194,-0.543010752688172,2.253225806451613,1.3612903225806452,0.05368647100930565,1
sw-0930-carry-CANON,2026-06-05,0,09:37,short,30005.5,30071.5,29873.5,29873.5,09:49,66.0,2.0,win,True,0930_carry_canon,False,False,holdout,Fri,577,97,1,0.6153846153846154,1,0.856,1,67,97,0.7910112359550562,-1.8179775280898876,-0.3101123595505618,8.516404494382023,5.818426966292135,0.04269354583355322,0
sw-0930-carry-CANON,2026-06-10,0,09:30,long,28922.25,28821.75,29123.25,28821.75,09:33,100.5,-1.0,loss,False,0930_carry_canon,False,False,holdout,Wed,570,90,1,0.9260355029585798,0,0.913,1,60,90,1.4552058111380146,0.01937046004842615,0.3099273607748184,1.5893462469733655,1.0563357546408394,0.002437538086532602,1
sw-0930-carry-CANON,2026-06-17,0,10:24,long,30540.5,30465.0,30691.5,30465.0,10:31,75.5,-1.0,loss,False,0930_carry_canon,False,False,holdout,Wed,624,144,1,0.9911242603550295,0,0.583,1,114,144,0.8148148148148148,2.306878306878307,4.141093474426808,4.6306878306878305,5.028101116990006,0.09963436928702012,1
sw-0930-carry-CANON,2026-07-02,0,09:38,short,30052.5,30215.0,29727.5,30215.0,09:51,162.5,-1.0,loss,False,0930_carry_canon,False,False,holdout,Thu,578,98,1,0.9497041420118343,0,0.835,1,68,98,3.135869565217391,1.3423913043478262,1.127717391304348,5.92608695652174,4.967934782608696,0.045304475421863534,0
