date,arm,contracts,risk,R,pnl,equity,threshold,capped
2025-03-07,B,2,238.0,2.0,471.0,50471.0,48471.0,False
2025-03-13,B,3,190.5,-1.0,-198.0,50273.0,48471.0,False
2025-05-15,B,3,208.5,-1.0,-216.0,50057.0,48471.0,False
2025-05-29,B,3,219.0,-1.0,-226.5,49830.5,48471.0,False
2025-07-08,A,8,348.0,-1.0,-368.0,49462.5,48471.0,False
2025-07-23,A,8,356.0,0.0,-20.0,49442.5,48471.0,False
2025-08-06,A,5,342.5,-1.0,-355.0,49087.5,48471.0,False
2025-08-11,B,7,234.5,2.0,451.5,49539.0,48471.0,False
2025-08-14,B,10,230.0,-1.0,-255.0,49284.0,48471.0,False
2025-08-26,A,6,345.0,0.0,-15.0,49269.0,48471.0,False
2025-09-30,A,11,346.5,2.0,665.5,49934.5,48471.0,False
2025-10-27,A,10,365.0,2.0,705.0,50639.5,48639.5,False
2025-11-21,A,2,340.0,2.0,675.0,51314.5,49314.5,False
2025-12-12,B,4,218.0,-1.0,-228.0,51086.5,49314.5,False
2025-12-24,A,23,368.0,2.0,678.5,51765.0,49765.0,False
2026-02-09,A,4,362.0,0.0,-10.0,51755.0,49765.0,False
2026-02-13,A,2,285.0,0.0,-5.0,51750.0,49765.0,False
2026-04-21,A,5,322.5,2.0,632.5,52382.5,50000.0,False
2026-04-22,B,4,204.0,2.0,398.0,52780.5,50000.0,False
2026-05-07,A,8,356.0,2.0,692.0,53472.5,50000.0,False
2026-05-13,A,2,359.0,2.0,713.0,54185.5,50000.0,False
2026-05-15,B,2,198.0,0.0,-5.0,54180.5,50000.0,False
2026-07-13,B,3,247.5,0.0,-7.5,54173.0,50000.0,False
