date,time,session,window,direction,entry,stop,target,exit,exit_time,risk_pts,R,outcome,be_moved
2025-07-22,11:02,NY,AM2,long,23214.0,23201.0,23240.0,23214.0,11:10,13.0,0.0,BE,True
2025-07-23,09:51,NY,AM1,long,23187.0,23164.75,23231.5,23187.0,09:56,22.25,0.0,BE,True
2025-07-23,14:03,NY,PM,long,23266.25,23261.5,23275.75,23266.25,14:05,4.75,0.0,BE,True
2025-08-01,13:53,NY,PM,long,22855.0,22832.0,22901.0,22832.0,13:56,23.0,-1.0,loss,False
2025-08-04,11:03,NY,AM2,short,23221.75,23254.5,23156.25,23254.5,11:57,32.75,-1.0,loss,False
2025-08-07,10:10,NY,AM1,long,23600.75,23579.25,23643.75,23600.75,10:18,21.5,0.0,BE,True
2025-08-07,11:58,NY,LUNCH,long,23504.0,23477.0,23558.0,23477.0,12:01,27.0,-1.0,loss,False
2025-08-11,10:04,NY,AM1,long,23724.0,23707.25,23757.5,23757.5,10:12,16.75,2.0,win,True
2025-08-14,09:54,NY,AM1,long,23924.5,23913.0,23947.5,23913.0,09:55,11.5,-1.0,loss,False
2025-08-15,14:15,NY,PM,long,23808.5,23802.75,23820.0,23808.5,14:18,5.75,0.0,BE,True
2025-08-25,09:51,NY,AM1,long,23477.75,23458.5,23516.25,23516.25,09:58,19.25,2.0,win,True
2025-08-26,10:06,NY,AM1,long,23487.75,23459.0,23545.25,23487.75,10:12,28.75,0.0,BE,True
2025-08-27,09:55,NY,AM1,long,23520.5,23501.0,23559.5,23559.5,10:09,19.5,2.0,win,True
2025-08-27,10:57,NY,AM2,long,23599.75,23591.0,23617.25,23599.75,11:03,8.75,0.0,BE,True
2025-09-16,11:56,NY,LUNCH,long,24519.0,24509.75,24537.5,24509.75,11:58,9.25,-1.0,loss,False
2025-09-16,14:00,NY,PM,long,24530.25,24523.25,24544.25,24523.25,14:01,7.0,-1.0,loss,False
2025-09-17,10:55,NY,AM2,long,24427.75,24415.75,24451.75,24415.75,11:01,12.0,-1.0,loss,False
2025-09-17,14:10,NY,PM,long,24431.0,24423.5,24446.0,24423.5,14:11,7.5,-1.0,loss,False
2025-09-18,13:55,NY,PM,long,24741.25,24726.5,24770.75,24726.5,13:57,14.75,-1.0,loss,False
2025-09-30,10:11,NY,AM1,long,24747.75,24732.0,24779.25,24779.25,10:16,15.75,2.0,win,True
2025-10-03,11:03,NY,AM2,long,25104.0,25091.25,25129.5,25104.0,11:10,12.75,0.0,BE,True
2025-10-09,09:52,NY,AM1,long,25272.75,25254.75,25308.75,25254.75,09:55,18.0,-1.0,loss,False
2025-10-14,12:11,NY,LUNCH,short,24792.5,24805.0,24767.5,24792.5,12:14,12.5,0.0,BE,True
2025-10-14,14:13,NY,PM,short,24915.0,24934.0,24877.0,24915.0,14:28,19.0,0.0,BE,True
2025-10-22,10:05,NY,AM1,long,25248.0,25236.25,25271.5,25248.0,10:10,11.75,0.0,BE,True
2025-10-27,09:56,NY,AM1,long,25834.0,25815.75,25870.5,25870.5,10:03,18.25,2.0,win,True
2025-11-03,10:59,NY,AM2,long,26099.25,26072.25,26153.25,26072.25,11:00,27.0,-1.0,loss,False
2025-11-05,10:51,NY,AM2,short,25707.75,25726.5,25670.25,25707.75,10:57,18.75,0.0,BE,True
2025-11-11,10:05,NY,AM1,long,25584.0,25565.0,25622.0,25565.0,10:06,19.0,-1.0,loss,False
2025-11-12,13:53,NY,PM,long,25607.0,25589.25,25642.5,25589.25,14:15,17.75,-1.0,loss,False
2025-11-19,13:50,NY,PM,short,24616.75,24633.0,24584.25,24633.0,13:51,16.25,-1.0,loss,False
