date,time,session,window,direction,entry,stop,target,exit,exit_time,risk_pts,R,outcome,be_moved,slice
2025-03-03,10:29,NY,AM1x30,short,20959.25,21008.0,20861.75,20959.25,10:43,48.75,0.0,BE,True,extension
2025-03-07,10:07,NY,AM1x30,short,20182.5,20242.0,20063.5,20063.5,10:17,59.5,2.0,win,True,core
2025-03-13,10:14,NY,AM1x30,short,19475.25,19507.0,19411.75,19507.0,10:19,31.75,-1.0,loss,False,core
2025-04-02,10:20,NY,AM1x30,short,19576.25,19619.0,19490.75,19619.0,10:32,42.75,-1.0,loss,False,extension
2025-05-15,10:08,NY,AM1x30,long,21314.75,21280.0,21384.25,21280.0,10:10,34.75,-1.0,loss,False,core
2025-05-29,09:56,NY,AM1x30,long,21523.75,21487.25,21596.75,21487.25,10:04,36.5,-1.0,loss,False,core
2025-07-08,09:55,NY,AM1x30,long,22913.5,22891.75,22957.0,22891.75,09:59,21.75,-1.0,loss,False,core
2025-07-23,09:51,NY,AM1x30,long,23187.0,23164.75,23231.5,23187.0,09:56,22.25,0.0,BE,True,core
2025-08-06,09:52,NY,AM1x30,short,23201.75,23236.0,23133.25,23236.0,09:54,34.25,-1.0,loss,False,core
2025-08-11,10:04,NY,AM1x30,long,23724.0,23707.25,23757.5,23757.5,10:12,16.75,2.0,win,True,core
2025-08-14,09:54,NY,AM1x30,long,23924.5,23913.0,23947.5,23913.0,09:55,11.5,-1.0,loss,False,core
2025-08-18,10:28,NY,AM1x30,long,23787.25,23769.75,23822.25,23769.75,10:30,17.5,-1.0,loss,False,extension
2025-08-26,10:06,NY,AM1x30,long,23487.75,23459.0,23545.25,23487.75,10:12,28.75,0.0,BE,True,core
2025-09-30,10:11,NY,AM1x30,long,24747.75,24732.0,24779.25,24779.25,10:16,15.75,2.0,win,True,core
2025-10-27,09:56,NY,AM1x30,long,25834.0,25815.75,25870.5,25870.5,10:03,18.25,2.0,win,True,core
2025-11-21,10:06,NY,AM1x30,short,24213.0,24298.0,24043.0,24043.0,10:21,85.0,2.0,win,True,core
2025-12-12,10:00,NY,AM1x30,long,25533.25,25506.0,25587.75,25506.0,10:03,27.25,-1.0,loss,False,core
2025-12-24,09:58,NY,AM1x30,long,25805.25,25797.25,25821.25,25821.25,10:05,8.0,2.0,win,True,core
2025-12-31,10:23,NY,AM1x30,short,25595.0,25610.75,25563.5,25563.5,10:55,15.75,2.0,win,True,extension
2026-02-09,09:52,NY,AM1x30,short,25140.0,25185.25,25049.5,25140.0,09:55,45.25,0.0,BE,True,core
2026-02-13,10:03,NY,AM1x30,short,24778.25,24849.5,24635.75,24778.25,10:08,71.25,0.0,BE,True,core
2026-04-21,09:49,NY,AM1x30,long,26775.0,26742.75,26839.5,26839.5,10:00,32.25,2.0,win,True,core
2026-04-22,10:06,NY,AM1x30,long,26854.0,26828.5,26905.0,26905.0,10:07,25.5,2.0,win,False,core
2026-04-24,10:26,NY,AM1x30,long,27209.25,27175.0,27277.75,27175.0,10:31,34.25,-1.0,loss,False,extension
2026-05-07,09:51,NY,AM1x30,long,28730.75,28708.5,28775.25,28775.25,09:54,22.25,2.0,win,True,core
2026-05-13,09:56,NY,AM1x30,long,29185.75,29096.0,29365.25,29365.25,11:43,89.75,2.0,win,True,core
2026-05-15,09:59,NY,AM1x30,long,29145.0,29095.5,29244.0,29145.0,10:04,49.5,0.0,BE,True,core
2026-05-21,10:30,NY,AM1x30,short,29235.5,29310.0,29086.5,29235.5,11:13,74.5,0.0,BE,True,extension
2026-07-13,10:04,NY,AM1x30,long,29584.25,29543.0,29666.75,29584.25,10:16,41.25,0.0,BE,True,core
