day,ft,seg,oos,pl,pl_t45
2025-07-02,2025-07-02 12:03:00+00:00,early 08:00-08:29,False,-96.0,-98.96
2025-07-07,2025-07-07 12:16:00+00:00,early 08:00-08:29,False,-106.0,-108.96
2025-07-08,2025-07-08 13:19:00+00:00,late 09:00-09:29,False,335.0,446.3
2025-07-10,2025-07-10 12:04:00+00:00,early 08:00-08:29,False,186.875,193.79999999999998
2025-07-14,2025-07-14 12:16:00+00:00,early 08:00-08:29,False,-108.0,73.56
2025-07-16,2025-07-16 12:11:00+00:00,early 08:00-08:29,False,456.0,1500.16
2025-07-18,2025-07-18 12:06:00+00:00,early 08:00-08:29,False,-93.0,-95.22
2025-07-21,2025-07-21 12:09:00+00:00,early 08:00-08:29,False,-114.0,-118.44
2025-07-23,2025-07-23 12:33:00+00:00,mid 08:30-08:59,False,-110.0,-51.2
2025-07-24,2025-07-24 12:07:00+00:00,early 08:00-08:29,False,-100.0,-103.69999999999999
2025-07-25,2025-07-25 12:47:00+00:00,mid 08:30-08:59,False,200.25,154.56
2025-07-29,2025-07-29 12:01:00+00:00,early 08:00-08:29,False,-210.0,-217.39999999999998
2025-07-30,2025-07-30 12:32:00+00:00,mid 08:30-08:59,False,380.875,-211.64
2025-07-31,2025-07-31 12:35:00+00:00,mid 08:30-08:59,False,-114.0,-40.96
2025-08-04,2025-08-04 12:18:00+00:00,early 08:00-08:29,False,433.75,392.59999999999997
2025-08-07,2025-08-07 12:08:00+00:00,early 08:00-08:29,False,619.5,225.82
2025-08-07,2025-08-07 12:11:00+00:00,early 08:00-08:29,False,138.125,624.92
2025-08-08,2025-08-08 12:06:00+00:00,early 08:00-08:29,False,1064.0,808.64
2025-08-11,2025-08-11 12:28:00+00:00,early 08:00-08:29,False,74.5,89.03999999999999
2025-08-14,2025-08-14 12:01:00+00:00,early 08:00-08:29,False,-322.0,-332.35999999999996
2025-08-18,2025-08-18 12:03:00+00:00,early 08:00-08:29,False,-206.5,-211.67999999999998
2025-08-20,2025-08-20 12:01:00+00:00,early 08:00-08:29,False,-206.5,-211.67999999999998
2025-08-21,2025-08-21 12:03:00+00:00,early 08:00-08:29,False,110.0,357.04
2025-08-22,2025-08-22 12:04:00+00:00,early 08:00-08:29,False,-107.5,-111.19999999999999
2025-08-25,2025-08-25 13:11:00+00:00,late 09:00-09:29,False,-196.0,-201.17999999999998
2025-08-26,2025-08-26 12:01:00+00:00,early 08:00-08:29,False,-107.5,-111.19999999999999
2025-08-27,2025-08-27 12:10:00+00:00,early 08:00-08:29,False,-112.0,-117.17999999999999
2025-08-29,2025-08-29 12:32:00+00:00,mid 08:30-08:59,False,-232.0,-2.96
2025-09-01,2025-09-01 12:16:00+00:00,early 08:00-08:29,False,-60.0,63.040000000000006
2025-09-04,2025-09-04 12:32:00+00:00,mid 08:30-08:59,False,325.0,477.59999999999997
2025-09-09,2025-09-09 12:02:00+00:00,early 08:00-08:29,False,-60.0,-62.22
2025-09-15,2025-09-15 12:35:00+00:00,mid 08:30-08:59,False,-108.5,-113.68
2025-09-16,2025-09-16 12:38:00+00:00,mid 08:30-08:59,False,-236.5,-228.14
2025-09-17,2025-09-17 12:02:00+00:00,early 08:00-08:29,False,-55.5,-57.72
2025-09-18,2025-09-18 12:52:00+00:00,mid 08:30-08:59,False,381.0,135.78
2025-09-19,2025-09-19 12:06:00+00:00,early 08:00-08:29,False,1260.0,-69.66
2025-09-19,2025-09-19 12:32:00+00:00,mid 08:30-08:59,False,-100.0,-103.69999999999999
2025-09-23,2025-09-23 12:12:00+00:00,early 08:00-08:29,False,-168.0,-173.92
2025-09-24,2025-09-24 12:19:00+00:00,early 08:00-08:29,False,-94.0,-42.96
2025-09-29,2025-09-29 12:11:00+00:00,early 08:00-08:29,False,-106.5,104.28
2025-09-30,2025-09-30 12:19:00+00:00,early 08:00-08:29,False,-99.0,-103.44
2025-10-03,2025-10-03 12:42:00+00:00,mid 08:30-08:59,False,-59.0,-60.48
2025-10-06,2025-10-06 13:07:00+00:00,late 09:00-09:29,False,48.75,-321.62
2025-10-06,2025-10-06 13:07:00+00:00,late 09:00-09:29,False,-206.5,-211.67999999999998
2025-10-07,2025-10-07 12:23:00+00:00,early 08:00-08:29,False,528.5,733.32
2025-10-08,2025-10-08 12:04:00+00:00,early 08:00-08:29,False,246.0,151.56
2025-10-08,2025-10-08 12:30:00+00:00,mid 08:30-08:59,False,-105.0,-110.18
2025-10-09,2025-10-09 12:11:00+00:00,early 08:00-08:29,False,-52.5,-54.72
2025-10-10,2025-10-10 12:39:00+00:00,mid 08:30-08:59,False,104.0,50.519999999999996
2025-10-13,2025-10-13 12:06:00+00:00,early 08:00-08:29,False,-306.0,-314.88
2025-10-16,2025-10-16 12:27:00+00:00,early 08:00-08:29,False,-57.0,-58.48
2025-10-16,2025-10-16 12:31:00+00:00,mid 08:30-08:59,False,478.625,561.82
