rule,scope,total,is_,oos,d_is,d_oos
target4.0,all,21544.780000000006,7302.980000000001,14241.800000000001,4272.730000000001,-3825.824999999999
"trail(2.0, 0.5)",all,18889.53,7005.23,11884.299999999997,3974.9799999999996,-6183.325000000003
target4.0,early 08:00-08:29,22017.745000000003,6853.0199999999995,15164.725,3822.7699999999995,-2902.8999999999996
"trail(1.5, 0.5)",all,17504.280000000002,6821.9800000000005,10682.3,3791.7300000000005,-7385.325000000001
"trail(2.0, 1.0)",all,18682.28,6711.98,11970.3,3681.7299999999996,-6097.325000000001
"trail(1.5, 1.0)",all,17889.78,6161.98,11727.799999999997,3131.7299999999996,-6339.825000000003
be1.0,early 08:00-08:29,16075.745000000003,5873.02,10202.724999999999,2842.7700000000004,-7864.9000000000015
"trail(2.0, 1.0)",mid 08:30-08:59,22210.71,5055.94,17154.769999999997,2025.6899999999996,-912.8550000000032
be1.5,early 08:00-08:29,14589.244999999999,5048.0199999999995,9541.224999999999,2017.7699999999995,-8526.400000000001
"trail(2.0, 0.5)",mid 08:30-08:59,22434.96,5047.44,17387.519999999997,2017.1899999999996,-680.1050000000032
time60,early 08:00-08:29,23669.745,4942.5199999999995,18727.225,1912.2699999999995,659.5999999999985
"trail(1.5, 1.0)",early 08:00-08:29,18708.745000000003,4656.0199999999995,14052.724999999999,1625.7699999999995,-4014.9000000000015
"trail(1.5, 0.5)",early 08:00-08:29,18201.245000000003,4628.0199999999995,13573.224999999999,1597.7699999999995,-4494.4000000000015
"trail(2.0, 0.5)",early 08:00-08:29,18737.495000000003,4608.52,14128.974999999999,1578.2700000000004,-3938.6500000000015
"trail(2.0, 1.0)",early 08:00-08:29,18749.245000000003,4519.52,14229.724999999999,1489.2700000000004,-3837.9000000000015
be1.0,all,17579.280000000002,4500.979999999999,13078.300000000001,1470.7299999999987,-4989.324999999999
be2.0,early 08:00-08:29,13546.744999999999,4491.02,9055.724999999999,1460.7700000000004,-9011.900000000001
target2.0,all,13709.279999999999,4466.98,9242.3,1436.7299999999996,-8825.325
target3.0,early 08:00-08:29,19786.245000000003,4443.02,15343.225,1412.7700000000004,-2724.3999999999996
"trail(1.5, 0.5)",mid 08:30-08:59,21317.71,4405.44,16912.269999999997,1375.1899999999996,-1155.3550000000032
time45,early 08:00-08:29,21728.245,4271.0199999999995,17457.225,1240.7699999999995,-610.4000000000015
target4.0,mid 08:30-08:59,20646.21,4144.94,16501.269999999997,1114.6899999999996,-1566.3550000000032
"trail(1.5, 1.0)",mid 08:30-08:59,21493.21,4029.9399999999996,17463.269999999997,999.6899999999996,-604.3550000000032
target2.5,all,17193.03,3953.7299999999996,13239.3,923.4799999999996,-4828.325000000001
"trail(1.5, 0.5)",late 09:00-09:29,20181.075,3849.0200000000004,16332.054999999998,818.7700000000004,-1735.5700000000015
time30,early 08:00-08:29,17491.245000000003,3840.0199999999995,13651.225,809.7699999999995,-4416.4
target2.5,late 09:00-09:29,19483.325000000004,3830.7700000000004,15652.554999999998,800.5200000000004,-2415.0700000000015
target1.5,late 09:00-09:29,18222.075,3781.5200000000004,14440.554999999998,751.2700000000004,-3627.0700000000015
target3.0,all,16954.280000000002,3640.48,13313.800000000001,610.23,-4753.824999999999
be1.5,all,20919.279999999995,3563.479999999999,17355.8,533.2299999999991,-711.8250000000007
target2.0,late 09:00-09:29,18188.075,3555.0200000000004,14633.054999999998,524.7700000000004,-3434.5700000000015
"trail(1.5, 1.0)",late 09:00-09:29,19883.575,3536.5200000000004,16347.054999999998,506.27000000000044,-1720.5700000000015
target2.0,early 08:00-08:29,16798.245000000003,3536.5199999999995,13261.724999999999,506.2699999999995,-4805.9000000000015
target2.0,mid 08:30-08:59,20918.71,3435.94,17482.769999999997,405.69000000000005,-584.8550000000032
target1.5,all,11756.279999999999,3424.9800000000005,8331.3,394.7300000000005,-9736.325
"trail(2.0, 0.5)",late 09:00-09:29,19912.825000000004,3409.7700000000004,16503.055,379.52000000000044,-1564.5699999999997
target1.0,late 09:00-09:29,17094.575,3406.0200000000004,13688.555,375.77000000000044,-4379.07
time15,mid 08:30-08:59,21944.71,3339.44,18605.269999999997,309.19000000000005,537.6449999999968
"trail(2.0, 1.0)",late 09:00-09:29,19918.075,3197.02,16721.055,166.76999999999998,-1346.5699999999997
time15,late 09:00-09:29,19415.075,3128.02,16287.055,97.76999999999998,-1780.5699999999997
target2.5,early 08:00-08:29,18252.995000000003,3095.5200000000004,15157.475,65.27000000000044,-2910.1499999999996
target2.5,mid 08:30-08:59,21652.46,3087.94,18564.519999999997,57.690000000000055,496.8949999999968
target3.0,mid 08:30-08:59,20421.21,2987.44,17433.77,-42.809999999999945,-633.8549999999996
time30,all,21485.279999999995,2892.48,18592.8,-137.76999999999998,525.1749999999993
time15,all,12967.78,2890.4800000000005,10077.3,-139.76999999999953,-7990.325000000001
target1.5,mid 08:30-08:59,20306.209999999995,2868.4399999999996,17437.769999999997,-161.8100000000004,-629.8550000000032
target1.5,early 08:00-08:29,15423.745,2835.5200000000004,12588.224999999999,-194.72999999999956,-5479.4000000000015
time30,mid 08:30-08:59,22898.71,2789.94,20108.77,-240.30999999999995,2041.1450000000004
be2.0,all,18694.780000000002,2696.9799999999996,15997.8,-333.27000000000044,-2069.8250000000007
