ft,oos,bar,event_before_exit,is_stop_exit,resume_life,resume_tradeable
2025-07-08 13:19:00+00:00,False,11,True,False,True,True
2025-07-10 12:04:00+00:00,False,23,False,False,True,False
2025-07-14 12:16:00+00:00,False,7,True,True,True,True
2025-07-16 12:11:00+00:00,False,3,True,False,True,True
2025-07-25 12:47:00+00:00,False,18,True,False,True,False
2025-07-29 12:01:00+00:00,False,6,True,True,False,False
2025-07-30 12:32:00+00:00,False,9,False,False,True,False
2025-07-31 12:35:00+00:00,False,5,True,True,True,True
2025-08-04 12:18:00+00:00,False,5,True,False,True,True
2025-08-07 12:08:00+00:00,False,24,True,False,True,True
2025-08-07 12:11:00+00:00,False,6,False,False,True,False
2025-08-08 12:06:00+00:00,False,10,True,False,True,True
2025-08-11 12:28:00+00:00,False,4,False,False,True,False
2025-08-21 12:03:00+00:00,False,11,False,False,True,False
2025-08-27 12:10:00+00:00,False,9,True,True,False,False
2025-09-01 12:16:00+00:00,False,21,True,True,True,True
2025-09-04 12:32:00+00:00,False,4,False,False,True,False
2025-09-18 12:52:00+00:00,False,9,True,False,True,True
2025-09-19 12:06:00+00:00,False,72,True,False,True,True
2025-09-24 12:19:00+00:00,False,36,True,True,True,True
2025-09-29 12:11:00+00:00,False,45,True,True,False,False
2025-10-03 12:42:00+00:00,False,5,True,True,False,False
2025-10-06 13:07:00+00:00,False,22,False,False,True,False
2025-10-06 13:07:00+00:00,False,23,True,True,False,False
2025-10-07 12:23:00+00:00,False,16,True,False,True,True
2025-10-08 12:04:00+00:00,False,6,True,False,True,True
2025-10-10 12:39:00+00:00,False,5,True,False,True,True
2025-10-13 12:06:00+00:00,False,1,True,True,False,False
2025-10-16 12:31:00+00:00,False,4,True,False,True,True
2025-10-17 12:34:00+00:00,False,1,True,True,True,True
2025-10-20 12:11:00+00:00,False,30,True,False,True,True
2025-10-22 12:04:00+00:00,False,4,True,True,True,True
2025-10-23 12:01:00+00:00,False,20,False,False,True,False
2025-10-27 12:03:00+00:00,False,10,True,True,True,True
2025-10-28 12:12:00+00:00,False,8,False,False,True,False
2025-10-30 12:11:00+00:00,False,5,True,False,True,True
2025-10-30 13:02:00+00:00,False,1,True,False,True,True
2025-10-31 12:01:00+00:00,False,16,True,True,True,True
2025-11-03 13:01:00+00:00,False,2,True,True,True,True
2025-11-03 13:55:00+00:00,False,2,True,False,True,True
2025-11-05 13:03:00+00:00,False,3,True,False,True,False
2025-11-06 13:22:00+00:00,False,11,True,True,True,True
2025-11-11 13:21:00+00:00,False,3,True,False,True,True
