day,ft,direction,entry,stop,risk_pts,exit_price,k0,life_min,life_end_ts,stopped,micros,pl_mech,pl,R,mfe_R,mae_R,fillhm,rk,oos,px_0800,prev_close,gap_pts,gap_abs,expiry_week,big_R2,reach4
2025-07-02,2025-07-02 12:03:00+00:00,short,22651.75,22663.25,11.5,22663.5,884477,2,2025-07-02 12:05:00+00:00,True,4,-120.0,-96.0,-1.0434782608695652,0.3695652173913043,-1.2826086956521738,483,11.5,False,22652.75,22693.0,-40.25,40.25,False,False,False
2025-07-07,2025-07-07 12:16:00+00:00,long,22994.5,22981.75,12.75,22981.5,888164,11,2025-07-07 12:27:00+00:00,True,4,-132.5,-106.0,-1.0392156862745099,0.5686274509803921,-1.2745098039215685,496,12.75,False,22977.5,,,,False,False,False
2025-07-08,2025-07-08 13:19:00+00:00,short,22941.75,22951.25,9.5,22908.0,889607,186,2025-07-08 16:25:00+00:00,True,5,335.0,335.0,3.526315789473684,10.605263157894736,-1.0263157894736843,559,9.5,False,22937.0,22883.25,53.75,53.75,False,True,True
2025-07-10,2025-07-10 12:04:00+00:00,short,23061.5,23072.25,10.75,23047.25,892290,83,2025-07-10 13:27:00+00:00,True,5,186.875,186.875,1.7383720930232558,2.4651162790697674,-1.1395348837209303,484,10.75,False,23067.5,23051.0,16.5,16.5,False,False,False
2025-07-14,2025-07-14 12:16:00+00:00,long,22892.75,22884.25,8.5,22884.0,895062,86,2025-07-14 13:42:00+00:00,True,6,-90.0,-108.0,-1.0588235294117647,10.176470588235293,-1.9705882352941178,496,8.5,False,22887.25,22955.25,-68.0,68.0,False,False,True
2025-07-16,2025-07-16 12:11:00+00:00,long,23021.75,23012.25,9.5,23036.25,897817,90,2025-07-16 13:41:00+00:00,True,16,427.5,456.0,1.5,7.131578947368421,-1.0526315789473684,491,9.5,False,23020.75,23052.25,-31.5,31.5,False,False,True
2025-07-18,2025-07-18 12:06:00+00:00,short,23255.25,23270.25,15.0,23270.5,900572,42,2025-07-18 12:48:00+00:00,True,3,-155.0,-93.0,-1.0333333333333334,0.05,-1.0833333333333333,486,15.0,False,23269.5,23257.75,11.75,11.75,False,False,False
2025-07-21,2025-07-21 12:09:00+00:00,short,23272.25,23281.25,9.0,23281.5,901955,26,2025-07-21 12:35:00+00:00,True,6,-95.0,-114.0,-1.0555555555555556,0.16666666666666666,-1.0833333333333333,489,9.0,False,23276.75,23226.5,50.25,50.25,False,False,False
2025-07-23,2025-07-23 12:33:00+00:00,short,23240.5,23251.0,10.5,23251.25,904739,48,2025-07-23 13:21:00+00:00,True,5,-47.5,-110.0,-1.0476190476190477,0.9761904761904762,-1.2619047619047619,513,10.5,False,23260.0,23221.25,38.75,38.75,False,False,False
2025-07-24,2025-07-24 12:07:00+00:00,long,23390.25,23380.75,9.5,23380.5,906093,13,2025-07-24 12:20:00+00:00,True,5,-27.5,-100.0,-1.0526315789473684,0.21052631578947367,-1.368421052631579,487,9.5,False,23382.75,23324.5,58.25,58.25,False,False,False
2025-07-25,2025-07-25 12:47:00+00:00,short,23370.75,23379.25,8.5,23351.25,907513,61,2025-07-25 13:48:00+00:00,True,6,166.875,200.25,1.963235294117647,4.705882352941177,-1.0588235294117647,527,8.5,False,23367.5,23376.75,-9.25,9.25,False,False,True
2025-07-29,2025-07-29 12:01:00+00:00,long,23602.75,23592.75,10.0,23592.5,910227,26,2025-07-29 12:27:00+00:00,True,10,-210.0,-210.0,-1.05,1.075,-1.15,481,10.0,False,23602.5,23491.75,110.75,110.75,False,False,False
2025-07-30,2025-07-30 12:32:00+00:00,long,23482.25,23473.5,8.75,23495.0,911637,33,2025-07-30 13:05:00+00:00,True,11,-45.0,380.875,1.9785714285714286,2.6285714285714286,-1.3428571428571427,512,8.75,False,23505.25,23457.0,48.25,48.25,False,False,False
2025-07-31,2025-07-31 12:35:00+00:00,long,23786.0,23772.25,13.75,23772.0,913020,50,2025-07-31 13:25:00+00:00,True,4,-142.5,-114.0,-1.0363636363636364,1.6727272727272726,-1.509090909090909,515,13.75,False,23761.5,23484.0,277.5,277.5,False,False,False
2025-08-04,2025-08-04 12:18:00+00:00,long,23053.75,23044.0,9.75,23075.5,915763,458,2025-08-04 19:56:00+00:00,False,10,433.75,433.75,2.2243589743589745,25.564102564102566,-0.1282051282051282,498,9.75,False,23050.25,22880.5,169.75,169.75,False,True,True
2025-08-07,2025-08-07 12:08:00+00:00,long,23592.0,23578.0,14.0,23636.5,919893,97,2025-08-07 13:45:00+00:00,True,7,885.0,619.5,3.1607142857142856,4.0,-1.0535714285714286,488,14.0,False,23585.5,23424.75,160.75,160.75,False,True,True
2025-08-07,2025-08-07 12:11:00+00:00,long,23586.75,23578.0,8.75,23591.5,919896,94,2025-08-07 13:45:00+00:00,True,17,121.875,138.125,0.4642857142857143,7.0,-1.0857142857142856,491,8.75,False,23585.5,23424.75,160.75,160.75,False,False,True
2025-08-08,2025-08-08 12:06:00+00:00,short,23565.75,23576.25,10.5,23527.5,921271,91,2025-08-08 13:37:00+00:00,True,14,1140.0,1064.0,3.619047619047619,4.523809523809524,-1.1428571428571428,486,10.5,False,23575.5,23501.0,74.5,74.5,False,True,True
2025-08-11,2025-08-11 12:28:00+00:00,short,23730.75,23742.5,11.75,23725.0,922673,89,2025-08-11 13:57:00+00:00,True,4,93.125,74.5,0.7925531914893617,4.25531914893617,-1.0,508,11.75,False,23746.0,23714.5,31.5,31.5,False,False,True
2025-08-14,2025-08-14 12:01:00+00:00,long,23958.25,23947.25,11.0,23947.0,926785,6,2025-08-14 12:07:00+00:00,True,14,-345.0,-322.0,-1.0454545454545454,0.4090909090909091,-1.1590909090909092,481,11.0,False,23958.0,23943.0,15.0,15.0,False,False,False
2025-08-18,2025-08-18 12:03:00+00:00,short,23756.5,23770.75,14.25,23771.0,929547,26,2025-08-18 12:29:00+00:00,True,7,-295.0,-206.5,-1.0350877192982457,0.7192982456140351,-1.0701754385964912,483,14.25,False,23766.75,23806.0,-39.25,39.25,False,False,False
2025-08-20,2025-08-20 12:01:00+00:00,long,23420.0,23405.75,14.25,23405.5,932305,31,2025-08-20 12:32:00+00:00,True,7,-295.0,-206.5,-1.0350877192982457,0.6140350877192983,-1.5614035087719298,481,14.25,False,23420.25,23470.25,-50.0,50.0,False,False,False
2025-08-21,2025-08-21 12:03:00+00:00,short,23270.25,23281.5,11.25,23245.25,933687,94,2025-08-21 13:37:00+00:00,True,4,137.5,110.0,1.2222222222222223,6.311111111111111,-1.6222222222222222,483,11.25,False,23271.5,23324.75,-53.25,53.25,False,False,True
2025-08-22,2025-08-22 12:04:00+00:00,long,23257.75,23247.5,10.25,23247.25,935067,9,2025-08-22 12:13:00+00:00,True,5,-107.5,-107.5,-1.048780487804878,0.36585365853658536,-1.1951219512195121,484,10.25,False,23254.0,23217.5,36.5,36.5,False,False,False
2025-08-25,2025-08-25 13:11:00+00:00,short,23477.5,23491.0,13.5,23491.25,936514,14,2025-08-25 13:25:00+00:00,True,7,-150.0,-196.0,-1.037037037037037,0.05555555555555555,-1.2592592592592593,551,13.5,False,23490.0,23565.0,-75.0,75.0,False,False,False
2025-08-26,2025-08-26 12:01:00+00:00,long,23467.0,23456.75,10.25,23456.5,937824,5,2025-08-26 12:06:00+00:00,True,5,-80.0,-107.5,-1.048780487804878,-0.024390243902439025,-1.4634146341463414,481,10.25,False,23467.25,23495.5,-28.25,28.25,False,False,False
2025-08-27,2025-08-27 12:10:00+00:00,long,23613.5,23606.0,7.5,23605.75,939213,16,2025-08-27 12:26:00+00:00,True,7,-80.0,-112.0,-1.0666666666666667,1.0,-1.5666666666666667,490,7.5,False,23606.25,23587.0,19.25,19.25,False,False,False
2025-08-29,2025-08-29 12:32:00+00:00,long,23654.5,23626.0,28.5,23625.75,941995,65,2025-08-29 13:37:00+00:00,True,4,-580.0,-232.0,-1.0175438596491229,0.5526315789473685,-1.631578947368421,512,28.5,False,23642.5,23766.75,-124.25,124.25,False,False,False
2025-09-01,2025-09-01 12:16:00+00:00,long,23470.0,23463.0,7.0,23462.75,943359,74,2025-09-01 13:30:00+00:00,True,4,-37.5,-60.0,-1.0714285714285714,2.25,-1.4285714285714286,496,7.0,False,23466.5,23473.5,-7.0,7.0,False,False,False
2025-09-04,2025-09-04 12:32:00+00:00,short,23492.5,23507.0,14.5,23476.0,947275,60,2025-09-04 13:32:00+00:00,True,10,243.75,325.0,1.1206896551724137,2.4310344827586206,-1.0344827586206897,512,14.5,False,23500.25,23452.25,48.0,48.0,False,False,False
2025-09-09,2025-09-09 12:02:00+00:00,short,23840.25,23849.75,9.5,23850.0,951385,8,2025-09-09 12:10:00+00:00,True,3,-20.625,-60.0,-1.0526315789473684,-0.0,-1.236842105263158,482,9.5,False,23843.75,23803.75,40.0,40.0,False,False,False
2025-09-15,2025-09-15 12:35:00+00:00,long,24152.75,24145.5,7.25,24145.25,956935,2,2025-09-15 12:37:00+00:00,True,7,-38.75,-108.5,-1.0689655172413792,-0.034482758620689655,-1.5517241379310345,515,7.25,False,24144.5,24110.25,34.25,34.25,True,False,False
2025-09-16,2025-09-16 12:38:00+00:00,long,24605.0,24595.5,9.5,24594.5,958318,2,2025-09-16 12:40:00+00:00,True,11,-107.5,-236.5,-1.131578947368421,0.3684210526315789,-1.0526315789473684,518,9.5,False,24603.25,24311.75,291.5,291.5,True,False,False
2025-09-17,2025-09-17 12:02:00+00:00,long,24508.0,24499.25,8.75,24499.0,959662,8,2025-09-17 12:10:00+00:00,True,3,-23.125,-55.5,-1.0571428571428572,0.14285714285714285,-1.0857142857142856,482,8.75,False,24506.0,24524.25,-18.25,18.25,True,False,False
2025-09-18,2025-09-18 12:52:00+00:00,short,24719.75,24736.25,16.5,24656.0,961092,74,2025-09-18 14:06:00+00:00,True,3,317.5,381.0,3.8484848484848486,7.333333333333333,-1.2121212121212122,532,16.5,False,24742.5,24475.25,267.25,267.25,True,True,True
2025-09-19,2025-09-19 12:06:00+00:00,long,24743.25,24731.5,11.75,24813.5,962426,184,2025-09-19 15:10:00+00:00,True,9,700.0,1260.0,5.957446808510638,6.319148936170213,-1.0212765957446808,486,11.75,False,24734.75,24698.25,36.5,36.5,True,True,True
