ft,day,oos,bar,peak_R,R,pl,resume,cvd_roll_dir,cvd_since_dir,imb_roll_dir,absorp_roll,delta_div_roll
2025-07-08 13:19:00+00:00,2025-07-08,False,11,1.131578947368421,3.526315789473684,335.0,True,10.0,-60.0,0.002305209774089442,214.22222222222223,0.0
2025-07-10 12:04:00+00:00,2025-07-10,False,23,1.441860465116279,1.7383720930232558,186.875,True,58.0,-38.0,0.0333716915995397,85.82716049382717,0.0
2025-07-14 12:16:00+00:00,2025-07-14,False,7,1.4411764705882353,-1.0588235294117647,-108.0,True,259.0,173.0,0.14724275156338829,71.79591836734694,0.0
2025-07-16 12:11:00+00:00,2025-07-16,False,3,1.131578947368421,1.5,456.0,True,92.0,105.0,0.04867724867724868,84.0,0.0
2025-07-25 12:47:00+00:00,2025-07-25,False,18,1.1176470588235294,1.963235294117647,200.25,True,45.0,52.0,0.018695471541337765,185.15384615384616,1.0
2025-07-29 12:01:00+00:00,2025-07-29,False,6,1.025,-1.05,-210.0,False,528.0,319.0,0.23218997361477572,102.20224719101124,0.0
2025-07-30 12:32:00+00:00,2025-07-30,False,9,2.3714285714285714,1.9785714285714289,380.875,True,44.0,60.0,0.009151414309484194,147.93846153846152,0.0
2025-07-31 12:35:00+00:00,2025-07-31,False,5,1.3636363636363635,-1.0363636363636364,-114.0,True,-53.0,121.0,-0.009669768290457946,137.88679245283018,1.0
2025-08-04 12:18:00+00:00,2025-08-04,False,5,1.435897435897436,2.2243589743589745,433.75,True,134.0,-16.0,0.0779976717112922,56.79338842975206,0.0
2025-08-07 12:08:00+00:00,2025-08-07,False,24,1.5714285714285714,3.1607142857142856,619.5,True,-12.0,264.0,-0.0036036036036036037,105.71428571428571,1.0
2025-08-07 12:11:00+00:00,2025-08-07,False,6,1.8857142857142857,0.4642857142857143,138.125,True,266.0,255.0,0.11535125758889853,83.85454545454546,0.0
2025-08-08 12:06:00+00:00,2025-08-08,False,10,2.2142857142857144,3.619047619047619,1064.0,True,367.0,272.0,0.14142581888246628,76.88888888888889,0.0
2025-08-11 12:28:00+00:00,2025-08-11,False,4,1.148936170212766,0.7925531914893617,74.5,True,176.0,71.0,0.0667172100075815,67.64102564102564,0.0
2025-08-21 12:03:00+00:00,2025-08-21,False,11,2.911111111111111,1.2222222222222223,110.0,True,539.0,466.0,0.14032803957302786,85.83240223463687,0.0
2025-08-27 12:10:00+00:00,2025-08-27,False,9,1.0,-1.0666666666666669,-112.0,False,196.0,134.0,0.166383701188455,74.7936507936508,0.0
2025-09-01 12:16:00+00:00,2025-09-01,False,21,1.7857142857142858,-1.0714285714285714,-60.0,True,129.0,124.0,0.17793103448275863,39.189189189189186,0.0
2025-09-04 12:32:00+00:00,2025-09-04,False,4,1.2758620689655173,1.1206896551724137,325.0,True,183.0,192.0,0.05081921688419883,109.12121212121212,0.0
2025-09-18 12:52:00+00:00,2025-09-18,False,9,2.3636363636363638,3.8484848484848486,381.0,True,346.0,292.0,0.0679230467216333,90.15929203539822,0.0
2025-09-19 12:06:00+00:00,2025-09-19,False,72,1.9148936170212767,5.957446808510638,1260.0,True,368.0,93.0,0.08177777777777778,163.63636363636363,0.0
2025-09-24 12:19:00+00:00,2025-09-24,False,36,1.0666666666666667,-1.0444444444444445,-94.0,True,77.0,292.0,0.041689225771521385,131.92857142857142,0.0
2025-09-29 12:11:00+00:00,2025-09-29,False,45,1.5797101449275361,-1.0289855072463767,-106.5,False,128.0,277.0,0.04280936454849498,134.38202247191012,0.0
2025-10-03 12:42:00+00:00,2025-10-03,False,5,1.1578947368421053,-1.0350877192982455,-59.0,False,431.0,65.0,0.10804712960641764,97.88957055214723,0.0
2025-10-06 13:07:00+00:00,2025-10-06,False,22,2.347826086956522,0.1630434782608695,48.75,True,176.0,223.0,0.03461841070023604,170.890756302521,0.0
