fib,side,score,R,fill,day,hm,hold_min,htf,has_sweep,span,ft,dir,won,cvd_aligned,divergence,wall_ahead,has_depth,cvd15
0.75,short,3,-1.0,2025-06-02 09:31:00-04:00,2025-06-02,571,1,discount,True,127.25,2025-06-02 13:31:00+00:00,-1,False,False,False,True,True,91.0
0.75,short,4,-1.0,2025-06-04 10:45:00-04:00,2025-06-04,645,13,premium,True,115.0,2025-06-04 14:45:00+00:00,-1,False,True,False,True,True,-334.0
0.75,long,3,-1.0,2025-06-05 12:46:00-04:00,2025-06-05,766,6,premium,True,231.75,2025-06-05 16:46:00+00:00,1,False,False,False,True,True,-1509.0
0.75,short,4,-1.0,2025-06-06 09:31:00-04:00,2025-06-06,571,95,premium,True,207.75,2025-06-06 13:31:00+00:00,-1,False,False,False,True,True,367.0
0.75,short,3,-1.0,2025-06-06 09:31:00-04:00,2025-06-06,571,2035,premium,False,464.0,2025-06-06 13:31:00+00:00,-1,False,False,False,True,True,367.0
0.75,short,3,-1.0,2025-06-10 12:05:00-04:00,2025-06-10,725,171,premium,False,229.75,2025-06-10 16:05:00+00:00,-1,False,False,False,True,True,633.0
0.75,long,3,-1.0,2025-06-10 09:31:00-04:00,2025-06-10,571,3,premium,True,45.75,2025-06-10 13:31:00+00:00,1,False,False,True,True,True,-265.0
0.75,long,3,-1.0,2025-06-10 11:31:00-04:00,2025-06-10,691,1,premium,True,68.5,2025-06-10 15:31:00+00:00,1,False,False,False,True,True,-79.0
0.75,long,3,-1.0,2025-06-11 09:46:00-04:00,2025-06-11,586,256,premium,True,224.0,2025-06-11 13:46:00+00:00,1,False,False,False,True,True,-1021.0
0.75,short,3,3.0,2025-06-12 11:02:00-04:00,2025-06-12,662,477,premium,False,200.5,2025-06-12 15:02:00+00:00,-1,True,False,False,True,True,650.0
0.75,short,3,-1.0,2025-06-12 09:38:00-04:00,2025-06-12,578,36,premium,False,160.25,2025-06-12 13:38:00+00:00,-1,False,True,True,True,True,-553.0
0.75,short,3,-1.0,2025-06-12 09:38:00-04:00,2025-06-12,578,36,premium,False,160.25,2025-06-12 13:38:00+00:00,-1,False,True,True,True,True,-553.0
0.75,long,3,-1.0,2025-06-13 14:27:00-04:00,2025-06-13,867,11,premium,True,233.0,2025-06-13 18:27:00+00:00,1,False,False,False,True,True,-641.0
0.75,long,3,-1.0,2025-06-17 14:28:00-04:00,2025-06-17,868,183,premium,True,121.0,2025-06-17 18:28:00+00:00,1,False,False,False,True,True,-573.0
