fib,side,score,R,fill,day,hm,hold_min,htf,has_sweep,span
0.75,short,1,-1.0,2023-01-03 03:01:00-05:00,2023-01-03,181,62,,False,198.0
0.71,short,1,-1.0,2023-01-03 03:00:00-05:00,2023-01-03,180,63,,False,198.0
0.75,long,2,-1.0,2023-01-03 10:07:00-05:00,2023-01-03,607,6,,False,113.0
0.71,long,2,-1.0,2023-01-03 10:04:00-05:00,2023-01-03,604,9,,False,113.0
0.75,long,2,-1.0,2023-01-03 09:52:00-05:00,2023-01-03,592,6,,False,165.75
0.71,long,2,2.4482758620689653,2023-01-03 07:02:00-05:00,2023-01-03,422,159,,False,165.75
0.75,short,3,3.0,2023-01-04 11:36:00-05:00,2023-01-04,696,1264,,True,282.5
0.71,short,3,2.4482758620689653,2023-01-04 03:23:00-05:00,2023-01-04,203,1757,,True,282.5
0.75,long,1,3.0,2023-01-04 10:11:00-05:00,2023-01-04,611,33,,False,84.5
0.71,long,1,2.4482758620689653,2023-01-04 10:11:00-05:00,2023-01-04,611,33,,False,84.5
0.75,long,2,3.0,2023-01-04 10:11:00-05:00,2023-01-04,611,59,,False,128.25
0.71,long,2,2.4482758620689653,2023-01-04 10:11:00-05:00,2023-01-04,611,59,,False,128.25
0.75,long,2,3.0,2023-01-04 10:00:00-05:00,2023-01-04,600,2,,True,65.0
0.71,long,2,2.4482758620689653,2023-01-04 10:00:00-05:00,2023-01-04,600,2,,True,65.0
0.71,long,2,2.4482758620689653,2023-01-04 09:46:00-05:00,2023-01-04,586,2,,False,47.75
0.75,long,3,-1.0,2023-01-04 05:40:00-05:00,2023-01-04,340,233,,True,86.25
0.71,long,3,-1.0,2023-01-04 05:39:00-05:00,2023-01-04,339,234,,True,86.25
0.75,short,3,-1.0,2023-01-04 11:28:00-05:00,2023-01-04,688,5,,True,177.25
0.71,short,3,-1.0,2023-01-04 11:28:00-05:00,2023-01-04,688,5,,True,177.25
0.75,short,3,-1.0,2023-01-04 13:45:00-05:00,2023-01-04,825,15,,True,177.25
