date,kind,day_range,R,entry_min,direction,skip,R_if_up_first,R_if_down_first,skip_up,skip_down
2025-06-02,decidable,413.25,-1.0,8.0,long,,,,,
2025-06-03,decidable,360.5,-1.0,10.0,short,,,,,
2025-06-04,decidable,162.0,,,,no close through the level,,,,
2025-06-05,decidable,464.0,0.0,9.0,short,,,,,
2025-06-06,ambiguous,272.0,,,,,2.0,,,no close through the level
2025-06-09,decidable,244.25,,,,no close through the level,,,,
2025-06-10,decidable,270.75,-1.0,5.0,short,,,,,
2025-06-11,decidable,352.0,,,,no close through the level,,,,
2025-06-12,decidable,506.25,-1.0,4.0,short,,,,,
2025-06-13,decidable,341.25,-1.0,3.0,short,,,,,
2025-06-16,decidable,333.75,-1.0,10.0,short,,,,,
2025-06-17,decidable,272.75,-1.0,7.0,short,,,,,
2025-06-19,decidable,280.0,-1.0,2.0,short,,,,,
2025-06-20,decidable,365.5,-1.0,5.0,long,,,,,
2025-06-23,decidable,533.25,,,,no close through the level,,,,
2025-06-26,decidable,237.5,-1.0,7.0,short,,,,,
2025-06-27,decidable,225.5,,,,no close through the level,,,,
2025-06-30,decidable,153.75,-1.0,7.0,short,,,,,
2025-07-01,ambiguous,283.5,,,,,0.0,-1.0,,
2025-07-02,decidable,300.0,,,,no close through the level,,,,
2025-07-03,decidable,272.5,,,,no close through the level,,,,
2025-07-04,decidable,133.25,,,,no close through the level,,,,
2025-07-07,decidable,222.0,,,,limit never filled,,,,
2025-07-08,decidable,131.75,0.0,6.0,short,,,,,
2025-07-10,decidable,258.5,,,,no close through the level,,,,
2025-07-11,decidable,169.5,-1.0,8.0,long,,,,,
2025-07-14,decidable,369.5,,,,no close through the level,,,,
2025-07-15,decidable,249.0,,,,limit never filled,,,,
2025-07-16,decidable,264.5,-1.0,8.0,short,,,,,
2025-07-17,decidable,261.75,2.0,12.0,short,,,,,
2025-07-18,decidable,151.25,,,,limit never filled,,,,
2025-07-21,decidable,201.0,,,,no close through the level,,,,
2025-07-22,decidable,241.75,2.0,6.0,long,,,,,
2025-07-23,decidable,276.0,0.0,3.0,long,,,,,
2025-07-24,decidable,143.5,,,,no close through the level,,,,
2025-07-25,decidable,145.25,-1.0,5.0,short,,,,,
2025-07-28,decidable,148.5,-1.0,9.0,long,,,,,
2025-07-29,decidable,231.25,,,,no close through the level,,,,
2025-07-31,decidable,613.5,2.0,13.0,short,,,,,
2025-08-01,decidable,550.0,,,,limit never filled,,,,
2025-08-04,decidable,427.0,2.0,4.0,short,,,,,
2025-08-05,decidable,358.75,,,,no close through the level,,,,
2025-08-06,decidable,404.0,,,,no close through the level,,,,
2025-08-07,decidable,342.0,2.0,7.0,short,,,,,
2025-08-08,decidable,264.75,0.0,2.0,long,,,,,
2025-08-11,decidable,217.0,0.0,13.0,long,,,,,
2025-08-12,decidable,374.0,,,,limit never filled,,,,
2025-08-13,decidable,182.5,,,,no close through the level,,,,
2025-08-14,decidable,214.5,,,,no close through the level,,,,
2025-08-15,decidable,228.5,,,,limit never filled,,,,
2025-08-18,decidable,141.0,,,,no close through the level,,,,
2025-08-19,decidable,468.25,,,,no close through the level,,,,
2025-08-21,ambiguous,249.25,,,,,,,no close through the level,limit never filled
2025-08-22,decidable,573.25,,,,no close through the level,,,,
2025-08-25,decidable,244.75,,,,no close through the level,,,,
2025-08-26,decidable,213.75,-1.0,7.0,short,,,,,
2025-08-27,decidable,254.25,,,,no close through the level,,,,
2025-08-28,decidable,264.25,2.0,4.0,long,,,,,
2025-08-29,ambiguous,339.5,,,,,,-1.0,limit never filled,
2025-09-02,decidable,426.75,-1.0,3.0,short,,,,,
