trading_date,entry_price,n_bars,prev_poc,midnight_open,day_open,prev_val,prev_vah,R_long,MFE_long,MAE_long,pts_long,stopped_long,R_short,MFE_short,MAE_short,pts_short,stopped_short
2023-01-04,11033.5,391,10932.75,10983.0,10941.25,10852.25,11029.75,-1.0,7.75,30.0,-47.75,True,-1.0,170.0,30.0,47.75,True
2023-01-05,10922.5,391,10994.25,10983.0,10988.5,10954.75,11041.75,-1.0,2.25,30.0,-94.0,True,3.1333333333333333,117.5,4.75,94.0,False
2023-01-06,10891.0,391,10865.75,10874.25,10838.75,10828.75,10905.75,-1.0,12.25,30.0,224.0,True,-1.0,37.75,30.0,-224.0,True
2023-01-09,11199.75,391,11008.25,11173.75,11126.5,10799.25,11046.75,-1.0,185.75,30.0,-20.0,True,-1.0,0.5,30.0,20.0,True
2023-01-10,11142.75,391,11350.0,11145.0,11184.75,11216.0,11381.5,4.641666666666667,146.0,22.0,139.25,False,-1.0,4.75,30.0,-139.25,True
2023-01-11,11323.75,391,11190.25,11276.5,11282.5,11155.25,11247.75,-1.0,24.25,30.0,144.75,True,-1.0,32.75,30.0,-144.75,True
2023-01-12,11490.0,391,11403.75,11487.0,11474.5,11321.75,11453.25,-1.0,28.75,30.0,42.0,True,-1.0,178.75,30.0,-42.0,True
2023-01-13,11424.0,391,11467.0,11491.5,11528.5,11442.0,11552.0,5.941666666666666,195.5,15.25,178.25,False,-1.0,4.0,30.0,-178.25,True
2023-01-16,11591.25,210,11519.5,11617.75,11613.5,11416.0,11536.5,-1.0,20.0,30.0,-27.25,True,0.9083333333333333,30.75,20.0,27.25,False
2023-01-17,11598.75,391,11589.25,11545.25,11570.0,11555.75,11609.25,-1.0,21.75,30.0,35.25,True,-1.0,49.25,30.0,-35.25,True
2023-01-18,11695.0,391,11621.25,11645.0,11619.75,11579.75,11648.75,-1.0,64.5,30.0,-216.25,True,-1.0,3.5,30.0,216.25,True
2023-01-19,11407.25,391,11517.25,11468.75,11470.5,11468.25,11664.25,-1.0,39.25,30.0,-6.5,True,-1.0,10.5,30.0,6.5,True
2023-01-20,11428.25,391,11381.0,11399.0,11401.0,11342.0,11420.0,-1.0,1.0,30.0,236.0,True,-1.0,44.75,30.0,-236.0,True
2023-01-23,11704.0,391,11528.75,11667.0,11676.75,11383.75,11553.75,-1.0,10.0,30.0,213.5,True,-1.0,32.25,30.0,-213.5,True
2023-01-24,11860.0,391,11938.5,11929.75,11933.0,11825.5,11983.0,1.825,91.5,21.75,54.75,False,-1.0,19.75,30.0,-54.75,True
2023-01-25,11712.5,391,11916.0,11818.75,11970.5,11882.0,11936.5,-1.0,0.25,30.0,169.25,True,-1.0,108.0,30.0,-169.25,True
2023-01-26,12017.75,391,11762.75,11916.0,11874.75,11604.75,11818.25,-1.0,57.25,30.0,85.25,True,-1.0,1.25,30.0,-85.25,True
2023-01-27,12047.25,391,11999.25,12033.5,12049.0,11930.25,12044.25,5.991666666666666,261.25,5.5,179.75,False,-1.0,5.5,30.0,-179.75,True
2023-01-30,12082.25,391,12041.75,12179.25,12212.5,12022.75,12223.75,-1.0,61.0,30.0,-99.5,True,-1.0,22.75,30.0,99.5,True
2023-01-31,11974.25,391,12013.0,11938.0,11984.0,11982.5,12084.5,5.675,181.75,5.25,170.25,False,-1.0,5.25,30.0,-170.25,True
2023-02-01,12143.75,391,12075.75,12106.75,12116.0,11991.25,12126.75,-1.0,12.25,30.0,260.5,True,-1.0,71.25,30.0,-260.5,True
2023-02-02,12681.25,391,12126.0,12540.0,12520.0,12072.5,12326.5,-1.0,67.0,30.0,166.0,True,-1.0,0.5,30.0,-166.0,True
2023-02-07,12504.0,391,12512.75,12531.0,12513.0,12502.25,12568.75,-1.0,274.5,30.0,254.0,True,-1.0,15.25,30.0,-254.0,True
2023-02-08,12713.75,391,12545.25,12787.5,12747.0,12476.75,12651.25,-1.0,19.5,30.0,-171.75,True,-1.0,30.0,30.0,171.75,True
2023-02-09,12722.5,391,12548.5,12577.0,12555.0,12517.5,12697.5,-1.0,6.0,30.0,-293.5,True,9.783333333333333,356.0,6.0,293.5,False
2023-02-10,12335.25,391,12579.25,12389.5,12448.75,12527.25,12726.25,-1.0,58.75,30.0,5.75,True,-1.0,5.0,30.0,-5.75,True
2023-02-13,12402.25,391,12316.25,12285.25,12357.5,12281.25,12360.75,-1.0,7.75,30.0,143.0,True,-1.0,50.25,30.0,-143.0,True
2023-02-14,12474.0,391,12541.25,12524.25,12547.25,12431.25,12566.75,-1.0,5.0,30.0,150.5,True,-1.0,83.5,30.0,-150.5,True
2023-02-15,12553.5,391,12592.5,12564.75,12620.75,12492.0,12639.5,5.775,182.0,29.25,173.25,False,-1.0,1.25,30.0,-173.25,True
2023-02-16,12524.0,391,12558.0,12779.5,12740.0,12541.0,12650.0,-1.0,170.25,30.0,-49.25,True,-1.0,1.5,30.0,49.25,True
2023-02-17,12390.0,391,12656.25,12413.5,12462.5,12528.75,12677.75,-1.0,33.75,30.0,-4.0,True,-1.0,17.0,30.0,4.0,True
2023-02-20,12393.25,210,12384.25,12395.0,12380.0,12315.25,12402.25,-0.8833333333333333,2.5,27.25,-26.5,False,0.8833333333333333,27.25,2.5,26.5,False
2023-02-21,12229.0,391,12374.75,12345.0,12369.25,12371.25,12402.25,-1.0,61.0,30.0,-122.0,True,-1.0,8.5,30.0,122.0,True
2023-02-22,12120.75,391,12144.75,12129.0,12108.0,12090.25,12234.25,-1.0,53.75,30.0,-13.25,True,-1.0,5.25,30.0,13.25,True
2023-02-23,12252.5,391,12103.0,12206.25,12176.25,12076.5,12145.5,-1.0,7.25,30.0,-44.0,True,1.4666666666666666,224.0,7.25,44.0,False
2023-02-24,11993.75,391,12203.0,12176.75,12190.0,12129.5,12260.0,-1.0,49.25,30.0,1.5,True,-1.0,12.75,30.0,-1.5,True
2023-02-27,12131.0,391,11961.5,12031.0,12003.0,11938.5,12004.0,-1.0,58.5,30.0,-38.75,True,-1.0,24.75,30.0,38.75,True
2023-02-28,12055.75,391,12088.75,12106.0,12093.5,12069.25,12136.75,-0.18333333333333332,117.0,14.25,-5.5,False,-1.0,14.25,30.0,5.5,True
2023-03-01,12052.0,391,12093.0,12071.25,12041.25,12062.0,12125.5,-1.0,8.0,30.0,-92.75,True,3.091666666666667,127.25,27.5,92.75,False
2023-03-02,11857.5,391,11958.5,11904.25,11967.0,11942.5,12029.5,6.925,238.75,11.25,207.75,False,-1.0,11.25,30.0,-207.75,True
2023-03-03,12134.75,391,11907.0,12033.0,12049.0,11838.0,11951.0,5.8,186.5,23.25,174.0,False,-1.0,23.25,30.0,-174.0,True
2023-03-06,12360.75,391,12307.0,12341.25,12306.25,12173.5,12326.5,-1.0,125.5,30.0,-37.75,True,-1.0,3.0,30.0,37.75,True
2023-03-07,12324.25,391,12354.5,12367.5,12320.25,12311.0,12406.5,-1.0,38.5,30.0,-150.0,True,-1.0,11.25,30.0,150.0,True
2023-03-08,12185.25,391,12256.75,12162.0,12170.0,12208.25,12354.25,-1.0,30.75,30.0,39.75,True,-1.0,1.25,30.0,-39.75,True
2023-03-09,12246.25,391,12185.25,12204.25,12231.0,12155.25,12207.25,-1.0,107.25,30.0,-230.0,True,-1.0,16.25,30.0,230.0,True
2023-03-10,12018.0,391,12282.25,11936.75,12005.0,12117.25,12353.25,-1.0,1.5,30.0,-172.25,True,-1.0,153.0,30.0,172.25,True
2023-03-13,11886.5,391,11984.25,12177.25,11894.75,11864.75,12031.25,-1.0,47.0,30.0,165.25,True,-1.0,10.5,30.0,-165.25,True
2023-03-14,12208.5,391,12141.5,12115.75,12080.0,12029.0,12197.0,-1.0,148.0,30.0,122.5,True,-1.0,7.75,30.0,-122.5,True
2023-03-15,12210.5,391,12246.0,12348.25,12329.75,12220.5,12347.0,-1.0,65.75,30.0,184.0,True,-1.0,12.5,30.0,-184.0,True
2023-03-16,12345.25,391,12233.75,12430.0,12398.75,12145.25,12325.75,-1.0,17.75,30.0,359.0,True,-1.0,31.25,30.0,-359.0,True
2023-03-17,12712.5,391,12416.75,12720.5,12708.0,12314.25,12641.75,-1.0,98.75,30.0,-53.75,True,-1.0,20.75,30.0,53.75,True
2023-03-21,12775.25,391,12645.5,12695.0,12699.75,12586.5,12679.0,-1.0,62.0,30.0,103.0,True,-1.0,1.25,30.0,-103.0,True
2023-03-22,12872.75,391,12771.5,12875.0,12873.25,12716.5,12818.0,-1.0,209.25,30.0,-165.0,True,-1.0,21.5,30.0,165.0,True
2023-03-23,12855.0,391,12919.25,12770.25,12695.0,12833.75,12964.75,-1.0,176.0,30.0,-22.75,True,-1.0,1.5,30.0,22.75,True
2023-03-24,12826.75,391,12826.5,12861.5,12871.5,12763.5,12947.5,-1.0,18.0,30.0,71.25,True,-1.0,98.75,30.0,-71.25,True
2023-03-27,12919.25,391,12805.5,12950.75,12916.0,12761.5,12846.0,-1.0,6.5,30.0,-118.25,True,-1.0,38.5,30.0,118.25,True
2023-03-28,12776.25,391,12800.75,12809.0,12810.5,12768.25,12903.25,-1.0,1.0,30.0,-42.75,True,1.425,142.0,1.0,42.75,False
2023-03-29,12887.25,391,12682.75,12774.0,12745.5,12654.25,12728.25,-1.0,45.5,30.0,74.25,True,-1.0,6.25,30.0,-74.25,True
2023-03-30,13064.75,391,12915.5,12943.0,12962.5,12845.5,12937.0,-1.0,31.25,30.0,23.0,True,-1.0,27.75,30.0,-23.0,True
2023-03-31,13092.0,391,13073.25,13130.0,13084.25,13038.75,13091.25,6.741666666666666,219.5,11.75,202.25,False,-1.0,11.75,30.0,-202.25,True
